participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
d1-018,2,26,wrist,0.2954,0.7637,-1.4185,0.0000,0,start
d1-018,2,26,wrist,0.2986,0.7594,-1.4226,0.0000,5.9835,start
d1-018,2,26,wrist,0.2984,0.7594,-1.4226,0.0000,10.971,start
d1-018,2,26,wrist,0.2984,0.7594,-1.4226,0.0000,16.9547,start
d1-018,2,26,wrist,0.2979,0.7596,-1.4228,0.0000,21.9409,start
d1-018,2,26,wrist,0.2979,0.7596,-1.4228,0.0000,26.9709,start
d1-018,2,26,wrist,0.2979,0.7596,-1.4228,0.0000,31.915,start
d1-018,2,26,wrist,0.2984,0.7593,-1.4227,0.0000,36.6806,start
d1-018,2,26,wrist,0.2985,0.7593,-1.4227,0.0000,41.6687,start
d1-018,2,26,wrist,0.2981,0.7595,-1.4226,0.0000,46.6551,start
d1-018,2,26,wrist,0.2980,0.7596,-1.4227,0.0000,52.6379,start
d1-018,2,26,wrist,0.2983,0.7595,-1.4226,0.0000,57.6248,begin
d1-018,2,26,wrist,0.2984,0.7594,-1.4225,0.0000,62.6113,begin
d1-018,2,26,wrist,0.2976,0.7585,-1.4238,0.0000,67.5989,begin
d1-018,2,26,wrist,0.2984,0.7594,-1.4226,0.0000,72.5839,begin
d1-018,2,26,wrist,0.2984,0.7594,-1.4226,0.0000,77.5716,begin
d1-018,2,26,wrist,0.2984,0.7594,-1.4226,0.0000,82.5579,begin
d1-018,2,26,wrist,0.2984,0.7594,-1.4226,0.0000,87.5447,begin
d1-018,2,26,wrist,0.2984,0.7594,-1.4226,0.0000,92.5317,begin
d1-018,2,26,wrist,0.2984,0.7594,-1.4226,0.0000,97.0329,begin
d1-018,2,26,wrist,0.2980,0.7596,-1.4227,0.0000,102.0145,begin
d1-018,2,26,wrist,0.2980,0.7596,-1.4227,0.0000,107.0011,begin
d1-018,2,26,wrist,0.2986,0.7594,-1.4226,0.0000,111.9877,begin
d1-018,2,26,wrist,0.2978,0.7584,-1.4240,0.0000,116.4832,begin
d1-018,2,26,wrist,0.2978,0.7584,-1.4240,0.0000,121.4705,begin
d1-018,2,26,wrist,0.2982,0.7594,-1.4227,0.0000,126.457,begin
d1-018,2,26,wrist,0.2981,0.7595,-1.4228,0.0000,131.444,begin
d1-018,2,26,wrist,0.2983,0.7594,-1.4227,0.0000,135.4567,begin
d1-018,2,26,wrist,0.2983,0.7594,-1.4227,0.0000,140.4435,begin
d1-018,2,26,wrist,0.2985,0.7594,-1.4225,0.0000,144.9419,begin
d1-018,2,26,wrist,0.2983,0.7594,-1.4226,0.0000,149.7241,begin
d1-018,2,26,wrist,0.2980,0.7596,-1.4226,0.0000,154.2796,begin
d1-018,2,26,wrist,0.2976,0.7588,-1.4235,0.0000,159.2653,begin
d1-018,2,26,wrist,0.2987,0.7593,-1.4226,0.0000,163.7694,begin
d1-018,2,26,wrist,0.2987,0.7593,-1.4226,0.0000,168.7484,begin
d1-018,2,26,wrist,0.2978,0.7584,-1.4240,0.0000,173.7348,begin
d1-018,2,26,wrist,0.2981,0.7594,-1.4228,0.0000,178.232,begin
d1-018,2,26,wrist,0.2981,0.7594,-1.4228,0.0000,183.2191,begin
d1-018,2,26,wrist,0.2985,0.7594,-1.4226,0.0000,189.2028,begin
d1-018,2,26,wrist,0.2987,0.7593,-1.4226,0.0000,194.1888,begin
d1-018,2,26,wrist,0.2979,0.7584,-1.4240,0.0000,198.6855,begin
d1-018,2,26,wrist,0.2983,0.7594,-1.4227,0.0000,203.6724,begin
d1-018,2,26,wrist,0.2981,0.7594,-1.4228,0.0000,208.6592,begin
d1-018,2,26,wrist,0.2983,0.7594,-1.4227,0.0000,213.6459,begin
d1-018,2,26,wrist,0.2985,0.7593,-1.4225,0.0000,218.632,begin
d1-018,2,26,wrist,0.2976,0.7585,-1.4238,0.0000,223.6191,begin
d1-018,2,26,wrist,0.2984,0.7593,-1.4225,0.0000,228.6052,begin
d1-018,2,26,wrist,0.2981,0.7594,-1.4228,0.0000,233.1005,begin
d1-018,2,26,wrist,0.2981,0.7594,-1.4228,0.0000,238.0873,begin
d1-018,2,26,wrist,0.2981,0.7594,-1.4228,0.0000,243.074,begin
d1-018,2,26,wrist,0.2987,0.7593,-1.4226,0.0000,248.061,begin
d1-018,2,26,wrist,0.2987,0.7593,-1.4225,0.0000,253.0475,begin
d1-018,2,26,wrist,0.2982,0.7594,-1.4225,0.0000,258.034,begin
d1-018,2,26,wrist,0.2980,0.7595,-1.4226,0.0000,263.0211,begin
d1-018,2,26,wrist,0.2980,0.7595,-1.4226,0.0000,267.5162,begin
d1-018,2,26,wrist,0.2979,0.7584,-1.4238,0.0000,272.5032,begin
d1-018,2,26,wrist,0.2979,0.7584,-1.4239,0.0000,277.4897,begin
d1-018,2,26,wrist,0.2979,0.7584,-1.4239,0.0000,282.4763,begin
d1-018,2,26,wrist,0.2985,0.7593,-1.4227,0.0000,287.4629,begin
d1-018,2,26,wrist,0.2985,0.7593,-1.4227,0.0000,292.4497,begin
d1-018,2,26,wrist,0.2985,0.7593,-1.4227,0.0000,297.4364,begin
d1-018,2,26,wrist,0.2980,0.7583,-1.4239,0.0000,302.4229,begin
d1-018,2,26,wrist,0.2987,0.7592,-1.4226,0.0000,307.4096,begin
d1-018,2,26,wrist,0.2987,0.7592,-1.4226,0.0000,312.3964,begin
d1-018,2,26,wrist,0.2980,0.7594,-1.4227,0.0000,317.3829,begin
d1-018,2,26,wrist,0.2984,0.7593,-1.4225,0.0000,322.3704,begin
d1-018,2,26,wrist,0.2980,0.7584,-1.4239,0.0000,327.3562,begin
d1-018,2,26,wrist,0.2980,0.7584,-1.4239,0.0000,332.3439,begin
d1-018,2,26,wrist,0.2983,0.7593,-1.4226,0.0000,337.3272,begin
d1-018,2,26,wrist,0.2980,0.7594,-1.4227,0.0000,342.314,begin
d1-018,2,26,wrist,0.2981,0.7594,-1.4227,0.0000,347.1286,begin
d1-018,2,26,wrist,0.2984,0.7593,-1.4227,0.0000,352.1148,begin
d1-018,2,26,wrist,0.2979,0.7585,-1.4237,0.0000,356.1274,begin
d1-018,2,26,wrist,0.2985,0.7593,-1.4227,0.0000,361.1146,begin
d1-018,2,26,wrist,0.2985,0.7593,-1.4227,0.0000,365.6102,begin
d1-018,2,26,wrist,0.2985,0.7593,-1.4227,0.0000,370.5971,begin
d1-018,2,26,wrist,0.2985,0.7593,-1.4227,0.0000,375.5839,begin
d1-018,2,26,wrist,0.2981,0.7585,-1.4238,0.0000,380.571,begin
