participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-006,5,117,Wrist,0.9975,startbuffer,0.2856,0.8252,-0.8419
d3-006,5,117,Wrist,6.9810,startbuffer,0.2849,0.8136,-0.8652
d3-006,5,117,Wrist,12.9652,startbuffer,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,18.9492,startbuffer,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,24.9332,startbuffer,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,30.9168,startbuffer,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,36.9013,startbuffer,0.2848,0.8139,-0.8652
d3-006,5,117,Wrist,42.8855,startbuffer,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,48.8689,startbuffer,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,53.8719,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,59.8552,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,65.8395,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,71.8230,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,77.8076,begin,0.2849,0.8137,-0.8652
d3-006,5,117,Wrist,83.7912,begin,0.2849,0.8136,-0.8652
d3-006,5,117,Wrist,89.7756,begin,0.2847,0.8139,-0.8652
d3-006,5,117,Wrist,95.7592,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,101.7437,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,107.7273,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,113.7113,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,119.6950,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,125.6791,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,131.6634,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,137.6472,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,143.6312,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,149.6153,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,155.5991,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,161.5830,begin,0.2850,0.8136,-0.8652
d3-006,5,117,Wrist,167.5675,begin,0.2850,0.8136,-0.8652
d3-006,5,117,Wrist,173.5512,begin,0.2847,0.8139,-0.8652
d3-006,5,117,Wrist,179.5348,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,185.5194,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,191.5033,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,197.4869,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,203.4711,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,209.4552,begin,0.2847,0.8140,-0.8652
d3-006,5,117,Wrist,215.4390,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,221.4233,begin,0.2849,0.8138,-0.8652
d3-006,5,117,Wrist,227.4068,begin,0.2846,0.8141,-0.8652
d3-006,5,117,Wrist,233.3911,begin,0.2846,0.8141,-0.8652
d3-006,5,117,Wrist,239.3752,begin,0.2848,0.8137,-0.8652
d3-006,5,117,Wrist,245.3592,begin,0.2848,0.8136,-0.8652
d3-006,5,117,Wrist,251.3436,begin,0.2845,0.8138,-0.8652
d3-006,5,117,Wrist,257.3273,begin,0.2845,0.8139,-0.8652
d3-006,5,117,Wrist,263.3110,begin,0.2844,0.8139,-0.8652
d3-006,5,117,Wrist,269.2951,begin,0.2844,0.8139,-0.8652
d3-006,5,117,Wrist,275.2798,begin,0.2844,0.8139,-0.8652
d3-006,5,117,Wrist,281.2632,begin,0.2845,0.8139,-0.8652
d3-006,5,117,Wrist,287.2472,begin,0.2844,0.8139,-0.8652
d3-006,5,117,Wrist,293.2312,begin,0.2846,0.8137,-0.8651
d3-006,5,117,Wrist,298.8479,begin,0.2846,0.8137,-0.8651
d3-006,5,117,Wrist,304.8322,begin,0.2846,0.8140,-0.8652
d3-006,5,117,Wrist,310.8162,begin,0.2846,0.8140,-0.8652
d3-006,5,117,Wrist,316.8001,begin,0.2849,0.8135,-0.8653
d3-006,5,117,Wrist,322.7839,begin,0.2849,0.8135,-0.8653
d3-006,5,117,Wrist,328.7678,begin,0.2846,0.8137,-0.8653
d3-006,5,117,Wrist,334.7526,begin,0.2845,0.8137,-0.8653
d3-006,5,117,Wrist,340.7362,begin,0.2845,0.8137,-0.8653
d3-006,5,117,Wrist,346.7201,begin,0.2845,0.8137,-0.8653
d3-006,5,117,Wrist,352.2132,begin,0.2845,0.8137,-0.8653
d3-006,5,117,Wrist,358.1971,begin,0.2845,0.8137,-0.8653
d3-006,5,117,Wrist,364.1816,begin,0.2845,0.8137,-0.8653
d3-006,5,117,Wrist,370.1649,begin,0.2849,0.8135,-0.8653
d3-006,5,117,Wrist,376.1492,begin,0.2849,0.8135,-0.8653
d3-006,5,117,Wrist,382.1326,begin,0.2845,0.8137,-0.8653
d3-006,5,117,Wrist,388.1168,begin,0.2845,0.8137,-0.8653
d3-006,5,117,Wrist,394.1007,begin,0.2848,0.8135,-0.8653
d3-006,5,117,Wrist,400.0849,begin,0.2848,0.8135,-0.8653
d3-006,5,117,Wrist,406.0692,begin,0.2848,0.8135,-0.8653
d3-006,5,117,Wrist,412.0529,begin,0.2844,0.8137,-0.8653
d3-006,5,117,Wrist,418.0372,begin,0.2844,0.8137,-0.8653
d3-006,5,117,Wrist,424.0210,begin,0.2844,0.8137,-0.8653
d3-006,5,117,Wrist,430.0051,begin,0.2844,0.8137,-0.8653
d3-006,5,117,Wrist,435.9889,begin,0.2844,0.8137,-0.8653
d3-006,5,117,Wrist,441.9732,begin,0.2844,0.8137,-0.8653
d3-006,5,117,Wrist,447.9567,begin,0.2844,0.8137,-0.8653
d3-006,5,117,Wrist,453.1902,begin,0.2849,0.8135,-0.8653
d3-006,5,117,Wrist,459.1742,begin,0.2849,0.8135,-0.8653
d3-006,5,117,Wrist,465.1584,begin,0.2847,0.8138,-0.8652
d3-006,5,117,Wrist,471.1420,begin,0.2847,0.8138,-0.8652
d3-006,5,117,Wrist,477.1263,begin,0.2850,0.8136,-0.8651
d3-006,5,117,Wrist,483.1102,begin,0.2852,0.8134,-0.8651
d3-006,5,117,Wrist,489.0943,begin,0.2853,0.8136,-0.8650
d3-006,5,117,Wrist,495.0780,begin,0.2854,0.8138,-0.8649
d3-006,5,117,Wrist,501.0627,begin,0.2856,0.8137,-0.8649
d3-006,5,117,Wrist,507.0470,begin,0.2857,0.8135,-0.8648
d3-006,5,117,Wrist,513.0302,begin,0.2858,0.8135,-0.8648
d3-006,5,117,Wrist,519.0141,begin,0.2859,0.8138,-0.8646
d3-006,5,117,Wrist,524.9982,begin,0.2859,0.8139,-0.8644
d3-006,5,117,Wrist,530.9826,begin,0.2861,0.8133,-0.8645
d3-006,5,117,Wrist,536.9662,begin,0.2863,0.8133,-0.8643
d3-006,5,117,Wrist,542.9506,begin,0.2863,0.8133,-0.8648
d3-006,5,117,Wrist,547.9806,begin,0.2865,0.8134,-0.8647
d3-006,5,117,Wrist,553.9649,begin,0.2866,0.8131,-0.8644
d3-006,5,117,Wrist,559.9487,begin,0.2867,0.8129,-0.8645
d3-006,5,117,Wrist,565.9326,begin,0.2869,0.8132,-0.8641
d3-006,5,117,Wrist,571.9167,begin,0.2872,0.8136,-0.8639
d3-006,5,117,Wrist,577.9007,begin,0.2874,0.8136,-0.8635
d3-006,5,117,Wrist,583.8847,begin,0.2873,0.8131,-0.8634
d3-006,5,117,Wrist,589.8687,begin,0.2876,0.8132,-0.8630
d3-006,5,117,Wrist,595.8525,begin,0.2876,0.8139,-0.8627
d3-006,5,117,Wrist,601.8367,begin,0.2878,0.8139,-0.8625
d3-006,5,117,Wrist,607.8216,begin,0.2883,0.8134,-0.8620
d3-006,5,117,Wrist,613.8045,begin,0.2885,0.8134,-0.8617
d3-006,5,117,Wrist,619.7887,begin,0.2887,0.8135,-0.8614
d3-006,5,117,Wrist,625.7721,begin,0.2890,0.8143,-0.8607
d3-006,5,117,Wrist,631.7570,begin,0.2897,0.8142,-0.8601
d3-006,5,117,Wrist,637.7404,begin,0.2898,0.8139,-0.8599
d3-006,5,117,Wrist,643.7250,begin,0.2901,0.8140,-0.8596
d3-006,5,117,Wrist,649.7085,begin,0.2910,0.8147,-0.8587
d3-006,5,117,Wrist,655.6928,begin,0.2911,0.8148,-0.8584
d3-006,5,117,Wrist,661.6765,begin,0.2922,0.8146,-0.8578
d3-006,5,117,Wrist,667.6609,begin,0.2926,0.8147,-0.8575
d3-006,5,117,Wrist,673.6444,begin,0.2934,0.8153,-0.8569
d3-006,5,117,Wrist,679.6285,begin,0.2938,0.8154,-0.8567
d3-006,5,117,Wrist,685.6126,begin,0.2943,0.8156,-0.8565
d3-006,5,117,Wrist,691.5967,begin,0.2953,0.8152,-0.8560
d3-006,5,117,Wrist,697.5803,begin,0.2956,0.8154,-0.8558
d3-006,5,117,Wrist,703.5646,begin,0.2969,0.8166,-0.8552
d3-006,5,117,Wrist,709.5489,begin,0.2973,0.8168,-0.8550
d3-006,5,117,Wrist,715.5325,begin,0.2974,0.8167,-0.8549
d3-006,5,117,Wrist,721.5168,begin,0.2977,0.8171,-0.8549
d3-006,5,117,Wrist,727.5003,begin,0.2983,0.8185,-0.8545
d3-006,5,117,Wrist,733.4849,begin,0.2984,0.8190,-0.8545
d3-006,5,117,Wrist,739.4686,begin,0.2983,0.8195,-0.8548
d3-006,5,117,Wrist,745.4528,begin,0.2984,0.8206,-0.8547
d3-006,5,117,Wrist,751.4366,begin,0.2984,0.8214,-0.8547
d3-006,5,117,Wrist,757.4203,begin,0.2984,0.8233,-0.8549
d3-006,5,117,Wrist,763.4041,begin,0.2983,0.8241,-0.8550
d3-006,5,117,Wrist,769.3889,begin,0.2978,0.8258,-0.8551
d3-006,5,117,Wrist,775.3726,out,0.2975,0.8269,-0.8553
d3-006,5,117,Wrist,781.3564,out,0.2967,0.8294,-0.8554
d3-006,5,117,Wrist,787.3405,out,0.2962,0.8307,-0.8555
d3-006,5,117,Wrist,793.3245,out,0.2957,0.8321,-0.8552
d3-006,5,117,Wrist,799.3087,out,0.2941,0.8345,-0.8556
d3-006,5,117,Wrist,805.2958,out,0.2936,0.8361,-0.8552
d3-006,5,117,Wrist,811.2800,out,0.2917,0.8396,-0.8549
d3-006,5,117,Wrist,817.2634,out,0.2904,0.8414,-0.8544
d3-006,5,117,Wrist,823.2480,out,0.2882,0.8447,-0.8536
d3-006,5,117,Wrist,829.2316,out,0.2870,0.8466,-0.8531
d3-006,5,117,Wrist,835.2157,out,0.2856,0.8486,-0.8527
d3-006,5,117,Wrist,841.1999,out,0.2827,0.8524,-0.8515
d3-006,5,117,Wrist,847.1837,out,0.2811,0.8541,-0.8507
d3-006,5,117,Wrist,853.1677,out,0.2782,0.8580,-0.8492
d3-006,5,117,Wrist,859.1519,out,0.2767,0.8598,-0.8482
d3-006,5,117,Wrist,865.1358,out,0.2751,0.8618,-0.8472
d3-006,5,117,Wrist,871.1196,out,0.2717,0.8653,-0.8451
d3-006,5,117,Wrist,877.1046,out,0.2701,0.8667,-0.8442
d3-006,5,117,Wrist,883.0878,out,0.2658,0.8702,-0.8422
d3-006,5,117,Wrist,889.0721,out,0.2639,0.8722,-0.8405
d3-006,5,117,Wrist,895.0556,out,0.2604,0.8753,-0.8373
d3-006,5,117,Wrist,901.0398,out,0.2588,0.8761,-0.8358
d3-006,5,117,Wrist,907.0234,out,0.2571,0.8777,-0.8342
d3-006,5,117,Wrist,913.0078,out,0.2533,0.8811,-0.8304
d3-006,5,117,Wrist,918.9922,out,0.2496,0.8837,-0.8264
d3-006,5,117,Wrist,924.9759,out,0.2478,0.8846,-0.8245
d3-006,5,117,Wrist,930.8025,out,0.2465,0.8852,-0.8220
d3-006,5,117,Wrist,936.7734,out,0.2426,0.8880,-0.8179
d3-006,5,117,Wrist,942.7574,out,0.2401,0.8893,-0.8154
d3-006,5,117,Wrist,948.7418,out,0.2361,0.8912,-0.8105
d3-006,5,117,Wrist,954.7256,out,0.2347,0.8920,-0.8082
d3-006,5,117,Wrist,960.7090,out,0.2306,0.8942,-0.8032
d3-006,5,117,Wrist,966.6937,out,0.2280,0.8953,-0.8006
d3-006,5,117,Wrist,972.6797,out,0.2260,0.8962,-0.7979
d3-006,5,117,Wrist,978.6642,out,0.2226,0.8972,-0.7924
d3-006,5,117,Wrist,984.6479,out,0.2203,0.8979,-0.7895
d3-006,5,117,Wrist,990.6322,out,0.2165,0.9001,-0.7840
d3-006,5,117,Wrist,996.6160,out,0.2134,0.9004,-0.7807
d3-006,5,117,Wrist,1002.6001,out,0.2091,0.9010,-0.7741
d3-006,5,117,Wrist,1008.5841,out,0.2068,0.9014,-0.7711
d3-006,5,117,Wrist,1014.5681,out,0.2046,0.9019,-0.7683
d3-006,5,117,Wrist,1020.5523,out,0.2002,0.9033,-0.7624
d3-006,5,117,Wrist,1026.5372,out,0.1983,0.9035,-0.7591
d3-006,5,117,Wrist,1031.7224,out,0.1946,0.9038,-0.7525
d3-006,5,117,Wrist,1037.7059,out,0.1923,0.9039,-0.7493
d3-006,5,117,Wrist,1043.6904,out,0.1900,0.9041,-0.7461
d3-006,5,117,Wrist,1049.6741,out,0.1853,0.9047,-0.7399
d3-006,5,117,Wrist,1055.4405,out,0.1833,0.9045,-0.7365
d3-006,5,117,Wrist,1061.4240,out,0.1798,0.9037,-0.7295
d3-006,5,117,Wrist,1067.4081,out,0.1770,0.9034,-0.7259
d3-006,5,117,Wrist,1073.3922,out,0.1732,0.9032,-0.7198
d3-006,5,117,Wrist,1079.3761,out,0.1709,0.9026,-0.7163
d3-006,5,117,Wrist,1085.3599,out,0.1694,0.9017,-0.7123
d3-006,5,117,Wrist,1091.3443,out,0.1672,0.9031,-0.7087
d3-006,5,117,Wrist,1097.3279,out,0.1637,0.9002,-0.7029
d3-006,5,117,Wrist,1103.3119,out,0.1596,0.8987,-0.6956
d3-006,5,117,Wrist,1109.2960,out,0.1579,0.8977,-0.6918
d3-006,5,117,Wrist,1115.2795,out,0.1551,0.8986,-0.6851
d3-006,5,117,Wrist,1121.2649,out,0.1519,0.8950,-0.6823
d3-006,5,117,Wrist,1127.2479,out,0.1500,0.8944,-0.6788
d3-006,5,117,Wrist,1133.2324,out,0.1465,0.8924,-0.6725
d3-006,5,117,Wrist,1139.2158,out,0.1458,0.8899,-0.6673
d3-006,5,117,Wrist,1145.2001,out,0.1443,0.8876,-0.6599
d3-006,5,117,Wrist,1151.1840,out,0.1425,0.8866,-0.6575
d3-006,5,117,Wrist,1157.1683,out,0.1402,0.8856,-0.6544
d3-006,5,117,Wrist,1163.1521,out,0.1396,0.8824,-0.6457
d3-006,5,117,Wrist,1169.1360,out,0.1379,0.8790,-0.6398
d3-006,5,117,Wrist,1174.6557,out,0.1364,0.8780,-0.6372
d3-006,5,117,Wrist,1180.6401,out,0.1344,0.8771,-0.6341
d3-006,5,117,Wrist,1186.6239,out,0.1333,0.8737,-0.6271
d3-006,5,117,Wrist,1192.6082,out,0.1331,0.8721,-0.6215
d3-006,5,117,Wrist,1198.5924,out,0.1318,0.8707,-0.6209
d3-006,5,117,Wrist,1204.5761,out,0.1284,0.8685,-0.6159
d3-006,5,117,Wrist,1210.5603,out,0.1273,0.8670,-0.6122
d3-006,5,117,Wrist,1216.5439,out,0.1274,0.8636,-0.6053
d3-006,5,117,Wrist,1222.5282,out,0.1263,0.8617,-0.6008
d3-006,5,117,Wrist,1228.5122,out,0.1242,0.8600,-0.5992
d3-006,5,117,Wrist,1234.4961,out,0.1227,0.8589,-0.5949
d3-006,5,117,Wrist,1240.4804,out,0.1249,0.8547,-0.5863
d3-006,5,117,Wrist,1246.4641,out,0.1252,0.8533,-0.5859
d3-006,5,117,Wrist,1252.4483,out,0.1229,0.8521,-0.5823
d3-006,5,117,Wrist,1258.4326,out,0.1185,0.8520,-0.5829
d3-006,5,117,Wrist,1264.4159,out,0.1199,0.8503,-0.5781
d3-006,5,117,Wrist,1270.3999,out,0.1199,0.8468,-0.5718
d3-006,5,117,Wrist,1275.8879,out,0.1214,0.8453,-0.5703
d3-006,5,117,Wrist,1281.8713,out,0.1177,0.8452,-0.5679
d3-006,5,117,Wrist,1287.8558,out,0.1086,0.8415,-0.5570
d3-006,5,117,Wrist,1293.8401,out,0.1132,0.8445,-0.5674
d3-006,5,117,Wrist,1299.8232,out,0.1181,0.8397,-0.5595
d3-006,5,117,Wrist,1305.8075,out,0.1153,0.8390,-0.5564
d3-006,5,117,Wrist,1311.7916,out,0.1043,0.8421,-0.5609
d3-006,5,117,Wrist,1317.7758,out,0.1095,0.8390,-0.5575
d3-006,5,117,Wrist,1323.7595,out,0.1144,0.8342,-0.5495
d3-006,5,117,Wrist,1329.7438,out,0.1144,0.8342,-0.5495
d3-006,5,117,Wrist,1335.7276,out,0.0999,0.8368,-0.5513
d3-006,5,117,Wrist,1341.7122,out,0.0995,0.8360,-0.5505
d3-006,5,117,Wrist,1347.6951,out,0.1050,0.8325,-0.5467
d3-006,5,117,Wrist,1353.6798,out,0.1095,0.8279,-0.5401
d3-006,5,117,Wrist,1359.6634,out,0.1080,0.8282,-0.5408
d3-006,5,117,Wrist,1365.6475,out,0.0974,0.8312,-0.5448
d3-006,5,117,Wrist,1372.1166,out,0.0967,0.8306,-0.5440
d3-006,5,117,Wrist,1377.6083,out,0.1067,0.8237,-0.5343
d3-006,5,117,Wrist,1383.5923,lift,0.1051,0.8243,-0.5351
d3-006,5,117,Wrist,1389.5764,lift,0.1049,0.8241,-0.5351
d3-006,5,117,Wrist,1395.5605,lift,0.0924,0.8272,-0.5364
d3-006,5,117,Wrist,1401.5443,lift,0.1031,0.8221,-0.5306
d3-006,5,117,Wrist,1407.5289,lift,0.1037,0.8209,-0.5299
d3-006,5,117,Wrist,1413.5124,lift,0.1011,0.8208,-0.5283
d3-006,5,117,Wrist,1419.4965,lift,0.0935,0.8245,-0.5346
d3-006,5,117,Wrist,1424.4831,lift,0.0904,0.8245,-0.5327
