participant,block,trial,phase,time_ms,tracker,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,velocity_x,velocity_y,velocity_z
d3-006,2,24,startbuffer,2.0000,right_hand,0.2589,0.7514,-0.9627,0.3978,-0.8345,0.3608,-0.1232,0.0004,-0.0020,-0.0009
d3-006,2,24,startbuffer,2.0000,right_elbow,0.1281,0.1860,-0.6506,0.0508,-0.0649,0.0923,0.9923,0.0019,-0.0007,-0.0011
d3-006,2,24,startbuffer,2.0000,stimulus,0.0006,0.7881,-0.4998,0.7021,-0.7119,0.0150,0.0085,-0.0018,0.0008,-0.0017
d3-006,2,24,startbuffer,2.0000,origin,-0.0002,0.0091,0.0000,0.0081,0.0083,0.7111,0.7033,0.0011,-0.0011,0.0004
d3-006,2,24,startbuffer,7.0000,right_hand,0.2589,0.7513,-0.9627,0.3978,-0.8345,0.3608,-0.1232,0.0004,-0.0020,-0.0009
d3-006,2,24,startbuffer,7.0000,right_elbow,0.1281,0.1860,-0.6506,0.0508,-0.0649,0.0923,0.9923,0.0019,-0.0008,-0.0011
d3-006,2,24,startbuffer,7.0000,stimulus,0.0006,0.7881,-0.4998,0.7021,-0.7119,0.0150,0.0085,-0.0019,0.0007,-0.0018
d3-006,2,24,startbuffer,7.0000,origin,0.0000,0.0090,-0.0001,0.0081,0.0083,0.7111,0.7033,0.0029,-0.0011,0.0008
d3-006,2,24,startbuffer,12.0000,right_hand,0.2589,0.7513,-0.9627,0.3978,-0.8346,0.3607,-0.1232,0.0005,-0.0020,-0.0008
d3-006,2,24,startbuffer,12.0000,right_elbow,0.1282,0.1860,-0.6506,0.0508,-0.0649,0.0923,0.9923,0.0020,-0.0009,-0.0008
d3-006,2,24,startbuffer,12.0000,stimulus,0.0006,0.7881,-0.4998,0.7021,-0.7119,0.0150,0.0085,-0.0020,0.0007,-0.0020
d3-006,2,24,startbuffer,12.0000,origin,0.0000,0.0090,-0.0001,0.0081,0.0083,0.7111,0.7033,0.0029,-0.0013,0.0009
d3-006,2,24,startbuffer,17.0000,right_hand,0.2589,0.7513,-0.9627,0.3977,-0.8346,0.3607,-0.1232,0.0005,-0.0020,-0.0007
d3-006,2,24,startbuffer,17.0000,right_elbow,0.1282,0.1860,-0.6506,0.0508,-0.0649,0.0923,0.9923,0.0018,-0.0008,-0.0008
d3-006,2,24,startbuffer,17.0000,stimulus,0.0006,0.7881,-0.4998,0.7021,-0.7119,0.0150,0.0085,-0.0020,0.0008,-0.0019
d3-006,2,24,startbuffer,17.0000,origin,0.0000,0.0090,-0.0001,0.0081,0.0083,0.7112,0.7034,0.0030,-0.0016,0.0007
