participant,block,trial,phase,time_ms,tracker,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,velocity_x,velocity_y,velocity_z
d3-006,5,119,startbuffer,1.0000,right_hand,0.2800,0.7414,-0.9587,0.3554,-0.8755,0.2907,-0.1505,0.0003,-0.0007,0.0018
d3-006,5,119,startbuffer,1.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-006,5,119,startbuffer,1.0000,stimulus,0.0025,0.7945,-0.5085,0.0410,-0.0282,0.7137,0.6987,-0.0014,-0.0003,0.0004
d3-006,5,119,startbuffer,1.0000,origin,-0.0001,0.0088,-0.0002,0.0090,0.0089,0.7105,0.7036,-0.0002,-0.0012,0.0017
d3-006,5,119,startbuffer,6.0000,right_hand,0.2800,0.7414,-0.9587,0.3555,-0.8755,0.2907,-0.1505,0.0001,-0.0007,0.0017
d3-006,5,119,startbuffer,6.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-006,5,119,startbuffer,6.0000,stimulus,0.0025,0.7945,-0.5085,0.0410,-0.0282,0.7137,0.6987,-0.0011,-0.0006,0.0004
d3-006,5,119,startbuffer,6.0000,origin,-0.0001,0.0089,-0.0003,0.0090,0.0089,0.7105,0.7036,-0.0002,-0.0005,0.0025
d3-006,5,119,startbuffer,11.0000,right_hand,0.2800,0.7414,-0.9587,0.3555,-0.8755,0.2907,-0.1505,0.0005,-0.0007,0.0022
d3-006,5,119,startbuffer,11.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-006,5,119,startbuffer,11.0000,stimulus,0.0025,0.7945,-0.5085,0.0410,-0.0282,0.7137,0.6987,-0.0012,-0.0004,0.0003
d3-006,5,119,startbuffer,11.0000,origin,-0.0001,0.0089,-0.0003,0.0090,0.0089,0.7106,0.7037,-0.0003,-0.0007,0.0025
d3-006,5,119,startbuffer,16.0000,right_hand,0.2800,0.7414,-0.9588,0.3554,-0.8755,0.2907,-0.1506,0.0007,-0.0010,0.0030
d3-006,5,119,startbuffer,16.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-006,5,119,startbuffer,16.0000,stimulus,0.0025,0.7945,-0.5085,0.0410,-0.0282,0.7137,0.6987,-0.0013,-0.0001,0.0003
d3-006,5,119,startbuffer,16.0000,origin,0.0000,0.0089,-0.0003,0.0090,0.0090,0.7105,0.7036,0.0010,0.0002,0.0016
d3-006,5,119,startbuffer,21.0000,right_hand,0.2800,0.7414,-0.9588,0.3554,-0.8755,0.2906,-0.1506,0.0007,-0.0012,0.0033
d3-006,5,119,startbuffer,21.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-006,5,119,startbuffer,21.0000,stimulus,0.0025,0.7945,-0.5085,0.0410,-0.0282,0.7137,0.6987,-0.0013,-0.0001,0.0002
d3-006,5,119,startbuffer,21.0000,origin,0.0000,0.0089,-0.0003,0.0090,0.0089,0.7106,0.7036,0.0008,0.0004,0.0016
d3-006,5,119,startbuffer,26.0000,right_hand,0.2800,0.7414,-0.9588,0.3554,-0.8755,0.2906,-0.1506,0.0009,-0.0007,0.0031
d3-006,5,119,startbuffer,26.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-006,5,119,startbuffer,26.0000,stimulus,0.0025,0.7945,-0.5085,0.0410,-0.0281,0.7137,0.6987,-0.0009,-0.0002,0.0005
d3-006,5,119,startbuffer,26.0000,origin,0.0000,0.0090,-0.0003,0.0090,0.0089,0.7105,0.7037,0.0011,0.0007,0.0015
d3-006,5,119,startbuffer,31.0000,right_hand,0.2800,0.7414,-0.9588,0.3554,-0.8755,0.2906,-0.1506,0.0012,-0.0003,0.0037
d3-006,5,119,startbuffer,31.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-006,5,119,startbuffer,31.0000,stimulus,0.0025,0.7945,-0.5086,0.0410,-0.0282,0.7137,0.6987,-0.0013,0.0001,0.0008
d3-006,5,119,startbuffer,31.0000,origin,0.0001,0.0089,-0.0002,0.0090,0.0089,0.7105,0.7037,0.0020,-0.0003,0.0007
d3-006,5,119,startbuffer,36.0000,right_hand,0.2800,0.7414,-0.9588,0.3554,-0.8755,0.2906,-0.1507,0.0012,-0.0003,0.0037
d3-006,5,119,startbuffer,36.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-006,5,119,startbuffer,36.0000,stimulus,0.0025,0.7946,-0.5086,0.0410,-0.0282,0.7137,0.6987,-0.0014,0.0013,0.0009
d3-006,5,119,startbuffer,36.0000,origin,0.0001,0.0089,-0.0002,0.0090,0.0089,0.7106,0.7038,0.0020,-0.0001,0.0007
d3-006,5,119,startbuffer,41.0000,right_hand,0.2800,0.7414,-0.9588,0.3554,-0.8755,0.2906,-0.1507,0.0006,-0.0004,0.0030
