participant,block,trial,phase,time_ms,tracker,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,velocity_x,velocity_y,velocity_z
d3-006,2,35,begin,203.0000,origin,0.0001,0.0092,0.0001,0.0082,0.0081,0.7110,0.7033,0.0001,-0.0007,0.0006
d3-006,2,35,begin,208.0000,right_hand,0.2652,0.7529,-0.9581,0.3698,-0.8550,0.3344,-0.1428,0.0010,0.0002,-0.0011
d3-006,2,35,begin,208.0000,right_elbow,0.1251,0.1895,-0.6463,0.0563,-0.0619,0.0926,0.9922,0.0002,0.0007,0.0005
d3-006,2,35,begin,208.0000,stimulus,0.0025,0.7887,-0.4941,0.7016,-0.7126,0.0025,-0.0051,0.0016,0.0019,-0.0009
d3-006,2,35,begin,208.0000,origin,0.0001,0.0092,0.0001,0.0082,0.0082,0.7110,0.7033,0.0001,-0.0007,0.0007
d3-006,2,35,begin,213.0000,right_hand,0.2652,0.7529,-0.9581,0.3698,-0.8550,0.3344,-0.1429,0.0010,0.0001,-0.0009
d3-006,2,35,begin,213.0000,right_elbow,0.1250,0.1895,-0.6463,0.0563,-0.0619,0.0926,0.9922,0.0000,0.0009,0.0003
d3-006,2,35,begin,213.0000,stimulus,0.0025,0.7886,-0.4943,0.7015,-0.7127,0.0025,-0.0050,0.0013,0.0010,0.0011
d3-006,2,35,begin,213.0000,origin,0.0001,0.0092,0.0001,0.0082,0.0082,0.7109,0.7032,0.0000,-0.0008,0.0010
d3-006,2,35,begin,218.0000,right_hand,0.2652,0.7529,-0.9581,0.3698,-0.8550,0.3344,-0.1429,0.0011,0.0001,-0.0009
d3-006,2,35,begin,218.0000,right_elbow,0.1250,0.1895,-0.6463,0.0563,-0.0619,0.0926,0.9922,-0.0001,0.0007,0.0005
d3-006,2,35,begin,218.0000,stimulus,0.0024,0.7886,-0.4942,0.7015,-0.7126,0.0024,-0.0050,0.0004,0.0001,0.0004
d3-006,2,35,begin,218.0000,origin,0.0001,0.0092,0.0000,0.0082,0.0082,0.7109,0.7032,0.0001,-0.0010,0.0010
d3-006,2,35,begin,223.0000,right_hand,0.2652,0.7529,-0.9580,0.3698,-0.8550,0.3344,-0.1429,0.0012,0.0002,-0.0009
d3-006,2,35,begin,223.0000,right_elbow,0.1251,0.1895,-0.6463,0.0563,-0.0619,0.0926,0.9922,0.0006,0.0009,0.0002
d3-006,2,35,begin,223.0000,stimulus,0.0024,0.7886,-0.4942,0.7015,-0.7126,0.0024,-0.0050,0.0003,0.0001,0.0004
d3-006,2,35,begin,223.0000,origin,0.0002,0.0092,0.0001,0.0082,0.0082,0.7110,0.7033,0.0006,-0.0008,0.0006
