participant,block,trial,phase,time_ms,tracker,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,velocity_x,velocity_y,velocity_z
d3-006,2,31,startbuffer,2.0000,right_hand,0.2408,0.7497,-0.9583,0.3025,-0.9074,0.2897,-0.0345,-0.0003,-0.0003,0.0000
d3-006,2,31,startbuffer,2.0000,right_elbow,0.1269,0.1873,-0.6491,0.0521,-0.0629,0.0942,0.9922,-0.0007,-0.0004,0.0003
d3-006,2,31,startbuffer,2.0000,stimulus,0.0014,0.7880,-0.5016,0.7022,-0.7120,0.0085,0.0027,0.0004,-0.0006,0.0001
d3-006,2,31,startbuffer,2.0000,origin,0.0000,0.0090,-0.0001,0.0083,0.0084,0.7111,0.7033,0.0003,-0.0014,0.0018
d3-006,2,31,startbuffer,8.0000,right_hand,0.2408,0.7497,-0.9583,0.3026,-0.9074,0.2897,-0.0345,-0.0002,-0.0003,0.0001
d3-006,2,31,startbuffer,8.0000,right_elbow,0.1269,0.1873,-0.6491,0.0521,-0.0629,0.0942,0.9922,-0.0009,-0.0003,0.0000
d3-006,2,31,startbuffer,8.0000,stimulus,0.0015,0.7881,-0.5016,0.7022,-0.7120,0.0085,0.0027,0.0009,-0.0001,0.0000
d3-006,2,31,startbuffer,8.0000,origin,0.0000,0.0090,-0.0001,0.0083,0.0084,0.7111,0.7032,0.0003,-0.0014,0.0016
d3-006,2,31,startbuffer,13.0000,right_hand,0.2408,0.7496,-0.9583,0.3026,-0.9074,0.2897,-0.0345,-0.0003,-0.0005,-0.0002
d3-006,2,31,startbuffer,13.0000,right_elbow,0.1268,0.1873,-0.6491,0.0520,-0.0629,0.0942,0.9922,-0.0010,-0.0002,-0.0001
d3-006,2,31,startbuffer,13.0000,stimulus,0.0015,0.7881,-0.5016,0.7022,-0.7120,0.0085,0.0026,0.0010,0.0003,0.0001
d3-006,2,31,startbuffer,13.0000,origin,-0.0001,0.0091,0.0000,0.0083,0.0084,0.7111,0.7033,-0.0005,-0.0002,0.0008
d3-006,2,31,startbuffer,18.0000,right_hand,0.2408,0.7496,-0.9583,0.3026,-0.9073,0.2897,-0.0345,-0.0003,-0.0005,-0.0004
d3-006,2,31,startbuffer,18.0000,right_elbow,0.1268,0.1873,-0.6491,0.0521,-0.0629,0.0942,0.9922,-0.0009,-0.0002,0.0002
d3-006,2,31,startbuffer,18.0000,stimulus,0.0015,0.7881,-0.5016,0.7022,-0.7120,0.0085,0.0026,0.0010,0.0003,0.0001
d3-006,2,31,startbuffer,18.0000,origin,-0.0001,0.0091,0.0000,0.0083,0.0084,0.7111,0.7032,-0.0006,-0.0003,0.0006
d3-006,2,31,startbuffer,23.0000,right_hand,0.2408,0.7496,-0.9583,0.3027,-0.9073,0.2897,-0.0345,-0.0002,-0.0008,-0.0002
d3-006,2,31,startbuffer,23.0000,right_elbow,0.1269,0.1874,-0.6492,0.0521,-0.0629,0.0942,0.9922,-0.0003,0.0002,0.0010
d3-006,2,31,startbuffer,23.0000,stimulus,0.0014,0.7882,-0.5016,0.7022,-0.7120,0.0085,0.0027,0.0003,0.0009,0.0001
d3-006,2,31,startbuffer,23.0000,origin,-0.0001,0.0091,0.0000,0.0083,0.0084,0.7111,0.7033,-0.0001,0.0000,0.0006
d3-006,2,31,startbuffer,28.0000,right_hand,0.2408,0.7496,-0.9583,0.3027,-0.9073,0.2897,-0.0345,0.0000,-0.0010,-0.0004
d3-006,2,31,startbuffer,28.0000,right_elbow,0.1269,0.1874,-0.6492,0.0521,-0.0629,0.0942,0.9922,-0.0004,0.0004,0.0009
d3-006,2,31,startbuffer,28.0000,stimulus,0.0014,0.7882,-0.5016,0.7022,-0.7120,0.0085,0.0027,0.0005,0.0010,0.0001
d3-006,2,31,startbuffer,28.0000,origin,-0.0001,0.0091,0.0000,0.0083,0.0084,0.7112,0.7033,-0.0001,0.0000,0.0006
d3-006,2,31,startbuffer,33.0000,right_hand,0.2408,0.7496,-0.9583,0.3027,-0.9073,0.2897,-0.0345,0.0003,-0.0010,-0.0003
d3-006,2,31,startbuffer,33.0000,right_elbow,0.1269,0.1873,-0.6492,0.0521,-0.0629,0.0942,0.9922,-0.0001,-0.0001,0.0011
d3-006,2,31,startbuffer,33.0000,stimulus,0.0014,0.7882,-0.5016,0.7022,-0.7120,0.0085,0.0027,0.0005,0.0010,0.0000
d3-006,2,31,startbuffer,33.0000,origin,-0.0001,0.0091,0.0000,0.0083,0.0083,0.7111,0.7033,-0.0004,-0.0005,-0.0002
d3-006,2,31,startbuffer,38.0000,right_hand,0.2408,0.7496,-0.9583,0.3028,-0.9073,0.2898,-0.0345,0.0004,-0.0011,-0.0004
d3-006,2,31,startbuffer,38.0000,right_elbow,0.1269,0.1873,-0.6492,0.0521,-0.0629,0.0942,0.9922,-0.0001,-0.0001,0.0011
d3-006,2,31,startbuffer,38.0000,stimulus,0.0014,0.7882,-0.5016,0.7022,-0.7120,0.0085,0.0027,0.0007,0.0013,0.0001
d3-006,2,31,startbuffer,38.0000,origin,-0.0001,0.0091,0.0001,0.0082,0.0084,0.7110,0.7033,-0.0001,-0.0009,-0.0008
d3-006,2,31,startbuffer,43.0000,right_hand,0.2409,0.7497,-0.9584,0.3028,-0.9073,0.2898,-0.0345,0.0010,-0.0009,0.0004
d3-006,2,31,startbuffer,43.0000,right_elbow,0.1269,0.1873,-0.6492,0.0521,-0.0629,0.0941,0.9922,0.0006,-0.0002,0.0013
d3-006,2,31,startbuffer,43.0000,stimulus,0.0014,0.7882,-0.5016,0.7022,-0.7120,0.0085,0.0027,0.0007,0.0013,0.0001
d3-006,2,31,startbuffer,43.0000,origin,-0.0001,0.0091,0.0001,0.0082,0.0084,0.7110,0.7033,0.0001,-0.0007,-0.0006
d3-006,2,31,startbuffer,48.0000,right_hand,0.2409,0.7497,-0.9584,0.3029,-0.9073,0.2898,-0.0345,0.0009,-0.0011,0.0004
d3-006,2,31,startbuffer,48.0000,right_elbow,0.1269,0.1873,-0.6492,0.0521,-0.0629,0.0941,0.9922,0.0005,-0.0003,0.0014
d3-006,2,31,startbuffer,48.0000,stimulus,0.0014,0.7881,-0.5017,0.7021,-0.7120,0.0085,0.0027,0.0004,0.0009,0.0013
d3-006,2,31,startbuffer,48.0000,origin,-0.0001,0.0091,0.0001,0.0082,0.0084,0.7110,0.7033,0.0001,-0.0007,-0.0006
d3-006,2,31,startbuffer,53.0000,right_hand,0.2409,0.7496,-0.9583,0.3029,-0.9072,0.2898,-0.0346,0.0010,-0.0014,0.0007
d3-006,2,31,startbuffer,53.0000,right_elbow,0.1270,0.1873,-0.6492,0.0521,-0.0629,0.0941,0.9922,0.0007,-0.0003,0.0013
