participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-020,5,107,Wrist,0.9973,startbuffer,0.2553,0.8056,-0.6529
d3-020,5,107,Wrist,6.9810,startbuffer,0.2531,0.8018,-0.6502
d3-020,5,107,Wrist,12.9650,startbuffer,0.2532,0.8016,-0.6500
d3-020,5,107,Wrist,18.9486,startbuffer,0.2532,0.8016,-0.6500
d3-020,5,107,Wrist,24.9328,startbuffer,0.2532,0.8018,-0.6501
d3-020,5,107,Wrist,30.9170,startbuffer,0.2532,0.8018,-0.6501
d3-020,5,107,Wrist,36.9008,startbuffer,0.2532,0.8018,-0.6501
d3-020,5,107,Wrist,42.8853,startbuffer,0.2532,0.8015,-0.6500
d3-020,5,107,Wrist,48.8687,startbuffer,0.2532,0.8015,-0.6500
d3-020,5,107,Wrist,54.8528,startbuffer,0.2530,0.8021,-0.6502
d3-020,5,107,Wrist,60.8367,begin,0.2531,0.8019,-0.6501
d3-020,5,107,Wrist,66.8211,begin,0.2531,0.8018,-0.6501
d3-020,5,107,Wrist,72.6743,begin,0.2531,0.8018,-0.6501
d3-020,5,107,Wrist,78.6589,begin,0.2531,0.8021,-0.6502
d3-020,5,107,Wrist,84.6426,begin,0.2530,0.8021,-0.6502
d3-020,5,107,Wrist,90.6265,begin,0.2532,0.8015,-0.6500
d3-020,5,107,Wrist,96.6105,begin,0.2532,0.8015,-0.6500
d3-020,5,107,Wrist,102.5943,begin,0.2530,0.8020,-0.6502
d3-020,5,107,Wrist,108.5785,begin,0.2530,0.8020,-0.6501
d3-020,5,107,Wrist,114.5624,begin,0.2530,0.8020,-0.6501
d3-020,5,107,Wrist,120.5468,begin,0.2532,0.8015,-0.6499
d3-020,5,107,Wrist,126.5304,begin,0.2532,0.8015,-0.6499
d3-020,5,107,Wrist,132.5148,begin,0.2530,0.8020,-0.6501
d3-020,5,107,Wrist,138.4982,begin,0.2530,0.8020,-0.6501
d3-020,5,107,Wrist,144.4827,begin,0.2530,0.8017,-0.6500
d3-020,5,107,Wrist,150.4665,begin,0.2530,0.8017,-0.6500
d3-020,5,107,Wrist,156.4505,begin,0.2530,0.8020,-0.6501
d3-020,5,107,Wrist,162.4342,begin,0.2530,0.8020,-0.6501
