experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-006,2,39,3,3,2458.2,2465.356,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T039.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T039.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T039.csv
3_avatartooluse,d3-006,2,40,3,4,2468.312,2474.023,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T040.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T040.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T040.csv
3_avatartooluse,d3-006,2,41,3,5,2476.981,2483.836,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T041.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T041.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T041.csv
3_avatartooluse,d3-006,2,42,3,6,2486.787,2493.042,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T042.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T042.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T042.csv
3_avatartooluse,d3-006,2,43,3,7,2496.002,2503.462,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T043.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T043.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T043.csv
3_avatartooluse,d3-006,2,44,3,8,2506.417,2512.161,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T044.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T044.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T044.csv
3_avatartooluse,d3-006,2,45,3,9,2515.117,2520.57,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T045.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T045.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T045.csv
3_avatartooluse,d3-006,2,46,3,10,2530.021,2537.097,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T046.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T046.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T046.csv
3_avatartooluse,d3-006,2,47,3,11,2541.3,2546.566,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T047.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T047.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T047.csv
3_avatartooluse,d3-006,2,48,3,12,2549.918,2557.815,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T048.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T048.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T048.csv
