participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
d1-015,4,86,wrist,0.2940,0.7210,-1.4447,0.0000,0,start
d1-015,4,86,wrist,0.2866,0.7367,-1.4481,0.0000,5.9835,start
d1-015,4,86,wrist,0.2866,0.7367,-1.4481,0.0000,10.9704,start
d1-015,4,86,wrist,0.2866,0.7366,-1.4481,0.0000,15.9571,start
d1-015,4,86,wrist,0.2865,0.7367,-1.4480,0.0000,20.9438,start
d1-015,4,86,wrist,0.2865,0.7367,-1.4480,0.0000,25.9309,start
d1-015,4,86,wrist,0.2865,0.7367,-1.4480,0.0000,30.9176,start
d1-015,4,86,wrist,0.2865,0.7367,-1.4480,0.0000,35.904,start
d1-015,4,86,wrist,0.2865,0.7367,-1.4480,0.0000,40.8905,start
d1-015,4,86,wrist,0.2863,0.7374,-1.4478,0.0000,45.8778,begin
d1-015,4,86,wrist,0.2863,0.7374,-1.4478,0.0000,50.8646,begin
d1-015,4,86,wrist,0.2863,0.7374,-1.4478,0.0000,55.8505,begin
d1-015,4,86,wrist,0.2864,0.7371,-1.4478,0.0000,60.8372,begin
d1-015,4,86,wrist,0.2864,0.7371,-1.4478,0.0000,65.8241,begin
d1-015,4,86,wrist,0.2861,0.7375,-1.4477,0.0000,70.8108,begin
d1-015,4,86,wrist,0.2859,0.7376,-1.4476,0.0000,75.7975,begin
d1-015,4,86,wrist,0.2859,0.7376,-1.4476,0.0000,80.7833,begin
d1-015,4,86,wrist,0.2862,0.7373,-1.4475,0.0000,85.7708,begin
d1-015,4,86,wrist,0.2862,0.7373,-1.4475,0.0000,90.757,begin
d1-015,4,86,wrist,0.2861,0.7375,-1.4475,0.0000,95.7435,begin
d1-015,4,86,wrist,0.2859,0.7377,-1.4474,0.0000,100.731,begin
d1-015,4,86,wrist,0.2859,0.7377,-1.4474,0.0000,105.7169,begin
d1-015,4,86,wrist,0.2859,0.7377,-1.4474,0.0000,110.7037,begin
d1-015,4,86,wrist,0.2861,0.7375,-1.4473,0.0000,115.6901,begin
d1-015,4,86,wrist,0.2861,0.7376,-1.4472,0.0000,120.6774,begin
d1-015,4,86,wrist,0.2857,0.7379,-1.4471,0.0000,125.2856,begin
d1-015,4,86,wrist,0.2856,0.7379,-1.4471,0.0000,130.2686,begin
d1-015,4,86,wrist,0.2859,0.7378,-1.4470,0.0000,135.2665,begin
d1-015,4,86,wrist,0.2859,0.7378,-1.4470,0.0000,140.2451,begin
d1-015,4,86,wrist,0.2859,0.7377,-1.4469,0.0000,145.2317,begin
d1-015,4,86,wrist,0.2855,0.7381,-1.4468,0.0000,150.219,begin
d1-015,4,86,wrist,0.2855,0.7381,-1.4468,0.0000,155.2054,begin
d1-015,4,86,wrist,0.2856,0.7380,-1.4467,0.0000,160.1916,begin
d1-015,4,86,wrist,0.2855,0.7380,-1.4467,0.0000,165.1786,begin
d1-015,4,86,wrist,0.2857,0.7379,-1.4466,0.0000,170.1652,begin
d1-015,4,86,wrist,0.2855,0.7381,-1.4465,0.0000,175.1523,begin
d1-015,4,86,wrist,0.2854,0.7383,-1.4464,0.0000,180.1386,begin
d1-015,4,86,wrist,0.2854,0.7384,-1.4463,0.0000,185.1249,begin
d1-015,4,86,wrist,0.2856,0.7382,-1.4462,0.0000,190.1119,begin
d1-015,4,86,wrist,0.2856,0.7381,-1.4461,0.0000,195.0984,begin
d1-015,4,86,wrist,0.2852,0.7380,-1.4459,0.0000,200.0849,begin
d1-015,4,86,wrist,0.2846,0.7383,-1.4458,0.0000,205.0726,begin
d1-015,4,86,wrist,0.2844,0.7384,-1.4456,0.0000,210.0586,begin
d1-015,4,86,wrist,0.2850,0.7381,-1.4455,0.0000,215.0456,begin
d1-015,4,86,wrist,0.2849,0.7381,-1.4454,0.0000,220.032,begin
d1-015,4,86,wrist,0.2848,0.7382,-1.4452,0.0000,225.019,begin
d1-015,4,86,wrist,0.2837,0.7384,-1.4449,0.0000,230.0054,begin
d1-015,4,86,wrist,0.2833,0.7386,-1.4448,0.0000,234.9924,begin
d1-015,4,86,wrist,0.2837,0.7383,-1.4447,0.0000,239.9783,begin
d1-015,4,86,wrist,0.2841,0.7384,-1.4444,0.0000,244.9652,begin
d1-015,4,86,wrist,0.2837,0.7384,-1.4442,0.0000,249.9523,begin
