experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-024,1,1,1,1,615.0951,663.6858,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-024,1,2,1,2,667.7398,669.1945,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-024,1,3,1,3,673.2482,675.869,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-024,1,4,1,4,679.9006,691.8506,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-024,1,5,1,5,695.904,697.681,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-024,1,6,1,6,701.7236,704.7665,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-024,1,7,1,7,708.8099,710.6636,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-024,1,8,1,8,714.7174,717.4273,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-024,1,9,1,9,721.481,725.9787,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-024,1,10,1,10,730.0324,731.5319,1_tooluseinVR/d1-024/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-024/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
