experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0
2_toolusenotinVR,225,1,1,1,1,551.6123,557.5986,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,,,
2_toolusenotinVR,225,1,2,1,2,560.5521,566.2166,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,,,
2_toolusenotinVR,225,1,3,1,3,569.1707,574.5687,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,,,
2_toolusenotinVR,225,1,4,1,4,577.5222,582.9859,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,,,
2_toolusenotinVR,225,1,5,1,5,585.9391,591.1934,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,,,
2_toolusenotinVR,225,1,6,1,6,594.1475,599.4892,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,,,
2_toolusenotinVR,225,1,7,1,7,602.4438,607.6301,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,,,
2_toolusenotinVR,225,1,8,1,8,610.584,615.5594,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,,,
2_toolusenotinVR,225,1,9,1,9,618.5137,623.5894,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,,,
2_toolusenotinVR,225,1,10,1,10,626.543,631.7514,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,,,
2_toolusenotinVR,225,1,11,1,11,634.7052,639.3596,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,,,
2_toolusenotinVR,225,1,12,1,12,642.3139,646.7452,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,,,
2_toolusenotinVR,225,1,13,1,13,649.6987,654.197,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,,,
2_toolusenotinVR,225,1,14,1,14,657.1494,661.8047,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,,,
2_toolusenotinVR,225,1,15,1,15,664.7587,669.5121,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T015.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T015.csv,,,
2_toolusenotinVR,225,1,16,1,16,672.4662,677.1305,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T016.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T016.csv,,,
2_toolusenotinVR,225,1,17,1,17,680.0848,684.727,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T017.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T017.csv,,,
2_toolusenotinVR,225,1,18,1,18,687.6811,692.1797,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T018.csv,2_toolusenotinVR/25/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T018.csv,,,
2_toolusenotinVR,225,1,19,2,1,1095.833,1098.532,,,2_toolusenotinVR/25/S001/trackers/landmark/landmarkstimulus_estimates_T019.csv,,
