experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_ppt_hand_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,landmarkstimulus_estimates_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0
2_toolusenotinVR,221,1,1,1,1,454.2471,460.6668,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,,,
2_toolusenotinVR,221,1,2,1,2,464.2541,470.1847,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,,,
2_toolusenotinVR,221,1,3,1,3,473.1389,479.0796,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,,,
2_toolusenotinVR,221,1,4,1,4,482.0348,487.6432,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,,,
2_toolusenotinVR,221,1,5,1,5,490.5966,496.7286,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,,,
2_toolusenotinVR,221,1,6,1,6,499.6818,505.0576,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,,,
2_toolusenotinVR,221,1,7,1,7,508.0114,513.5609,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,,,
2_toolusenotinVR,221,1,8,1,8,516.5187,521.8602,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,,,
2_toolusenotinVR,221,1,9,1,9,524.8148,530.1235,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,,,
2_toolusenotinVR,221,1,10,1,10,536.1313,541.2286,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,,,
2_toolusenotinVR,221,1,11,1,11,544.1832,549.8795,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,,,
2_toolusenotinVR,221,1,12,1,12,552.8344,558.0427,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,,,
2_toolusenotinVR,221,1,13,1,13,560.9979,566.9056,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,,,
2_toolusenotinVR,221,1,14,1,14,569.8597,575.3019,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,,,
2_toolusenotinVR,221,1,15,1,15,578.2556,583.6537,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T015.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T015.csv,,,
2_toolusenotinVR,221,1,16,1,16,586.6078,592.083,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T016.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T016.csv,,,
2_toolusenotinVR,221,1,17,1,17,595.0372,601.1894,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T017.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T017.csv,,,
2_toolusenotinVR,221,1,18,1,18,604.1432,609.7516,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T018.csv,2_toolusenotinVR/221/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T018.csv,,,
2_toolusenotinVR,221,1,19,2,1,1080.175,1081.208,,,2_toolusenotinVR/221/S001/trackers/landmark/landmarkstimulus_estimates_T019.csv,,
