experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0
2_toolusenotinVR,215,1,1,1,1,584.8718,590.481,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,,,
2_toolusenotinVR,215,1,2,1,2,593.4352,597.8884,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,,,
2_toolusenotinVR,215,1,3,1,3,600.8428,605.5518,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,,,
2_toolusenotinVR,215,1,4,1,4,608.5051,613.1705,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,,,
2_toolusenotinVR,215,1,5,1,5,616.1243,620.6555,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,,,
2_toolusenotinVR,215,1,6,1,6,623.6079,628.1408,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,,,
2_toolusenotinVR,215,1,7,1,7,631.0954,635.4375,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,,,
2_toolusenotinVR,215,1,8,1,8,638.3918,642.8337,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,,,
2_toolusenotinVR,215,1,9,1,9,645.7883,650.175,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,,,
2_toolusenotinVR,215,1,10,1,10,653.1288,657.5486,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,2_toolusenotinVR/215/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,,,
