participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
d1-010,5,112,wrist,0.2972,0.8040,-1.4517,0.0000,0,start
d1-010,5,112,wrist,0.3028,0.8100,-1.4403,0.0000,6.9813,start
d1-010,5,112,wrist,0.3032,0.8100,-1.4403,0.0000,11.5684,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,16.5533,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,21.0486,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,26.0358,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,31.0214,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,36.0081,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,40.9956,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,45.982,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,50.9685,start
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,55.9549,begin
d1-010,5,112,wrist,0.3033,0.8099,-1.4403,0.0000,60.9417,begin
d1-010,5,112,wrist,0.3033,0.8098,-1.4403,0.0000,65.929,begin
d1-010,5,112,wrist,0.3033,0.8098,-1.4402,0.0000,72.156,begin
d1-010,5,112,wrist,0.3029,0.8098,-1.4402,0.0000,77.1431,begin
d1-010,5,112,wrist,0.3029,0.8098,-1.4402,0.0000,81.6382,begin
d1-010,5,112,wrist,0.3032,0.8097,-1.4401,0.0000,86.6244,begin
d1-010,5,112,wrist,0.3033,0.8096,-1.4401,0.0000,91.6115,begin
d1-010,5,112,wrist,0.3033,0.8096,-1.4401,0.0000,96.5983,begin
d1-010,5,112,wrist,0.3032,0.8096,-1.4401,0.0000,101.5847,begin
d1-010,5,112,wrist,0.3031,0.8096,-1.4400,0.0000,106.5715,begin
d1-010,5,112,wrist,0.3031,0.8096,-1.4400,0.0000,111.5586,begin
d1-010,5,112,wrist,0.3032,0.8096,-1.4399,0.0000,116.5444,begin
