experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_ppt_hand_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,landmarkstimulus_estimates_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0
2_toolusenotinVR,220,1,1,1,1,499.042,505.2063,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,,,
2_toolusenotinVR,220,1,2,1,2,508.1596,513.5358,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,,,
2_toolusenotinVR,220,1,3,1,3,516.4896,522.3972,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,,,
2_toolusenotinVR,220,1,4,1,4,525.3517,531.0488,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,,,
2_toolusenotinVR,220,1,5,1,5,534.0031,539.3123,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,,,
2_toolusenotinVR,220,1,6,1,6,542.2661,547.463,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,,,
2_toolusenotinVR,220,1,7,1,7,550.4175,555.5265,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,,,
2_toolusenotinVR,220,1,8,1,8,558.4805,563.5222,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,,,
2_toolusenotinVR,220,1,9,1,9,566.4768,571.2746,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,,,
2_toolusenotinVR,220,1,10,1,10,574.2283,579.027,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,2_toolusenotinVR/220/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,,,
