ppid,trial_num_in_block,time,start_time
d3-008,10,pre,595
d3-008,11,pre,715
d3-008,12,pre,635
d3-008,13,pre,690
d3-008,14,pre,710
d3-008,15,pre,640
d3-008,16,pre,935
d3-008,17,pre,635
d3-008,18,pre,645
d3-009,1,post,335
d3-009,2,post,375
d3-009,3,post,395
d3-009,4,post,465
d3-009,5,post,340
d3-009,6,post,165
d3-009,7,post,765
d3-009,8,post,305
d3-009,9,post,320
d3-009,10,post,365
d3-009,11,post,350
d3-009,12,post,515
d3-009,13,post,330
d3-009,14,post,395
d3-009,15,post,380
d3-009,16,post,360
d3-009,17,post,315
d3-009,18,post,315
d3-009,1,pre,5215
d3-009,2,pre,3340
d3-009,3,pre,1730
d3-009,4,pre,485
d3-009,5,pre,1190
d3-009,6,pre,440
d3-009,7,pre,415
d3-009,8,pre,435
d3-009,9,pre,405
d3-009,10,pre,550
d3-009,11,pre,480
d3-009,12,pre,340
d3-009,13,pre,330
d3-009,14,pre,355
d3-009,15,pre,360
d3-009,16,pre,300
d3-009,17,pre,305
d3-009,18,pre,320
d3-010,1,post,560
d3-010,2,post,485
d3-010,3,post,340
d3-010,4,post,265
d3-010,5,post,350
d3-010,6,post,355
d3-010,7,post,335
d3-010,8,post,215
d3-010,9,post,140
d3-010,10,post,320
d3-010,11,post,365
d3-010,12,post,185
d3-010,13,post,290
d3-010,14,post,490
d3-010,15,post,375
d3-010,16,post,340
d3-010,17,post,300
d3-010,18,post,30
d3-010,1,pre,3940
d3-010,2,pre,3360
d3-010,3,pre,500
d3-010,4,pre,350
d3-010,5,pre,305
d3-010,6,pre,415
d3-010,7,pre,320
d3-010,8,pre,340
d3-010,9,pre,325
d3-010,10,pre,420
d3-010,11,pre,345
d3-010,12,pre,335
d3-010,13,pre,340
d3-010,14,pre,325
d3-010,15,pre,365
d3-010,16,pre,350
d3-010,17,pre,285
d3-010,18,pre,365
d3-011,1,post,110
d3-011,2,post,340
d3-011,3,post,355
d3-011,4,post,370
d3-011,5,post,355
d3-011,6,post,235
d3-011,7,post,505
d3-011,8,post,480
d3-011,9,post,205
d3-011,10,post,485
d3-011,11,post,340
d3-011,12,post,350
d3-011,13,post,390
d3-011,14,post,405
d3-011,15,post,255
d3-011,16,post,340
d3-011,17,post,280
d3-011,18,post,440
d3-011,1,pre,3700
d3-011,2,pre,385
d3-011,3,pre,285
d3-011,4,pre,310
d3-011,5,pre,380
d3-011,6,pre,330
d3-011,7,pre,590
d3-011,8,pre,1095
d3-011,9,pre,285
d3-011,10,pre,380
d3-011,11,pre,325
d3-011,12,pre,305
d3-011,13,pre,375
d3-011,14,pre,350
d3-011,15,pre,460
d3-011,16,pre,400
d3-011,17,pre,445
d3-011,18,pre,275
d3-012,1,post,655
d3-012,2,post,800
d3-012,3,post,365
d3-012,4,post,335
d3-012,5,post,390
d3-012,6,post,1270
d3-012,7,post,310
d3-012,8,post,320
d3-012,9,post,445
d3-012,10,post,405
d3-012,11,post,320
d3-012,12,post,385
d3-012,13,post,255
d3-012,14,post,210
d3-012,15,post,340
d3-012,16,post,390
d3-012,17,post,400
d3-012,18,post,350
d3-012,1,pre,
d3-012,2,pre,
d3-012,3,pre,
d3-012,4,pre,
d3-012,5,pre,
d3-012,6,pre,
d3-012,7,pre,
d3-012,8,pre,
d3-012,9,pre,
d3-012,10,pre,
d3-012,11,pre,
d3-012,12,pre,
d3-012,13,pre,
d3-012,14,pre,
d3-012,15,pre,
d3-012,16,pre,
d3-012,17,pre,
d3-012,18,pre,
d3-013,1,post,400
d3-013,2,post,230
d3-013,3,post,270
d3-013,4,post,275
d3-013,5,post,285
d3-013,6,post,230
d3-013,7,post,310
d3-013,8,post,350
d3-013,9,post,355
d3-013,10,post,340
d3-013,11,post,360
d3-013,12,post,300
d3-013,13,post,320
d3-013,14,post,285
d3-013,15,post,245
d3-013,16,post,310
d3-013,17,post,295
d3-013,18,post,160
d3-013,1,pre,117300
d3-013,2,pre,390
d3-013,3,pre,340
d3-013,4,pre,335
d3-013,5,pre,330
d3-013,6,pre,320
d3-013,7,pre,460
d3-013,8,pre,345
d3-013,9,pre,365
d3-013,10,pre,350
d3-013,11,pre,330
d3-013,12,pre,290
d3-013,13,pre,340
d3-013,14,pre,360
d3-013,15,pre,305
d3-013,16,pre,360
d3-013,17,pre,360
d3-013,18,pre,220
d3-014,1,post,770
d3-014,2,post,535
d3-014,3,post,510
d3-014,4,post,410
d3-014,5,post,610
d3-014,6,post,485
d3-014,7,post,380
d3-014,8,post,345
d3-014,9,post,515
d3-014,10,post,675
d3-014,11,post,600
d3-014,12,post,455
d3-014,13,post,470
d3-014,14,post,385
d3-014,15,post,610
d3-014,16,post,465
d3-014,17,post,645
d3-014,18,post,535
d3-014,1,pre,2355
d3-014,2,pre,620
d3-014,3,pre,680
d3-014,4,pre,755
d3-014,5,pre,545
d3-014,6,pre,415
d3-014,7,pre,440
d3-014,8,pre,390
d3-014,9,pre,335
d3-014,10,pre,330
d3-014,11,pre,335
d3-014,12,pre,330
d3-014,13,pre,355
d3-014,14,pre,485
d3-014,15,pre,325
d3-014,16,pre,465
d3-014,17,pre,520
d3-014,18,pre,375
d3-015,1,post,685
d3-015,2,post,375
d3-015,3,post,385
d3-015,4,post,340
d3-015,5,post,185
d3-015,6,post,330
d3-015,7,post,395
d3-015,8,post,375
d3-015,9,post,360
d3-015,10,post,280
d3-015,11,post,405
d3-015,12,post,300
d3-015,13,post,435
d3-015,14,post,565
d3-015,15,post,345
d3-015,16,post,365
d3-015,17,post,325
d3-015,18,post,570
d3-015,1,pre,40
d3-015,2,pre,14770
d3-015,3,pre,1465
d3-015,4,pre,525
d3-015,5,pre,440
d3-015,6,pre,350
d3-015,7,pre,365
d3-015,8,pre,370
d3-015,9,pre,360
d3-015,10,pre,380
d3-015,11,pre,395
d3-015,12,pre,290
d3-015,13,pre,495
d3-015,14,pre,550
d3-015,15,pre,425
d3-015,16,pre,595
d3-015,17,pre,840
d3-015,18,pre,395
d3-016,1,post,455
d3-016,2,post,295
d3-016,3,post,315
d3-016,4,post,335
d3-016,5,post,430
d3-016,6,post,405
d3-016,7,post,330
d3-016,8,post,340
d3-016,9,post,270
d3-016,10,post,350
d3-016,11,post,8195
d3-016,12,post,565
d3-016,13,post,540
d3-016,14,post,300
d3-016,15,post,285
d3-016,16,post,270
d3-016,17,post,515
d3-016,18,post,365
d3-016,1,pre,4440
d3-016,2,pre,570
d3-016,3,pre,360
d3-016,4,pre,640
d3-016,5,pre,630
d3-016,6,pre,535
d3-016,7,pre,565
d3-016,8,pre,650
d3-016,9,pre,360
d3-016,10,pre,535
d3-016,11,pre,625
d3-016,12,pre,520
d3-016,13,pre,595
d3-016,14,pre,720
d3-016,15,pre,450
d3-016,16,pre,705
d3-016,17,pre,575
d3-016,18,pre,520
d3-017,1,post,530
d3-017,2,post,395
d3-017,3,post,290
d3-017,4,post,335
d3-017,5,post,345
d3-017,6,post,310
d3-017,7,post,325
d3-017,8,post,285
d3-017,9,post,375
d3-017,10,post,370
d3-017,11,post,350
d3-017,12,post,370
d3-017,13,post,310
d3-017,14,post,440
d3-017,15,post,550
d3-017,16,post,375
d3-017,17,post,300
d3-017,18,post,300
d3-017,1,pre,3395
d3-017,2,pre,415
d3-017,3,pre,625
d3-017,4,pre,590
d3-017,5,pre,385
d3-017,6,pre,455
d3-017,7,pre,310
d3-017,8,pre,350
d3-017,9,pre,370
d3-017,10,pre,285
d3-017,11,pre,385
