ppid,experiment,order,block,trial,time,target,lapse_fix_target,error,lapse_fix_error,forearmlength,closest_to,lapse
d3-002,3_avatartooluse,pre,1,17,pre,Forearm,Forearm,0.1345,0.1345,0.3655,Wrist,FALSE
d3-002,3_avatartooluse,pre,1,18,pre,Elbow,Elbow,0.0646,0.0646,0.3657,Elbow,FALSE
d3-002,3_avatartooluse,first,4,1,post,Forearm,Forearm,0.1191,0.1191,0.3229,Wrist,FALSE
d3-002,3_avatartooluse,first,4,2,post,Elbow,Elbow,0.0057,0.0057,0.322,Elbow,FALSE
d3-002,3_avatartooluse,first,4,3,post,Wrist,Wrist,0.1485,0.1485,0.3213,Wrist,FALSE
d3-002,3_avatartooluse,first,4,4,post,Elbow,Elbow,0.0422,0.0422,0.3208,Elbow,FALSE
d3-002,3_avatartooluse,first,4,5,post,Forearm,Forearm,0.0607,0.0607,0.3204,Forearm,FALSE
d3-002,3_avatartooluse,first,4,6,post,Wrist,Wrist,0.1274,0.1274,0.3202,Wrist,FALSE
d3-002,3_avatartooluse,first,4,7,post,Forearm,Forearm,0.1057,0.1057,0.3202,Wrist,FALSE
d3-002,3_avatartooluse,first,4,8,post,Wrist,Wrist,0.1634,0.1634,0.3201,Wrist,FALSE
d3-002,3_avatartooluse,first,4,9,post,Elbow,Elbow,0.0407,0.0407,0.3202,Elbow,FALSE
d3-002,3_avatartooluse,first,4,10,post,Forearm,Wrist,0.2224,0.0631999999999999,0.3203,Wrist,TRUE
d3-002,3_avatartooluse,first,4,11,post,Wrist,Wrist,0.1037,0.1037,0.3204,Wrist,FALSE
d3-002,3_avatartooluse,first,4,12,post,Elbow,Elbow,0.088,0.088,0.3208,Forearm,FALSE
d3-002,3_avatartooluse,first,4,13,post,Forearm,Forearm,0.1506,0.1506,0.3216,Wrist,FALSE
d3-002,3_avatartooluse,first,4,14,post,Wrist,Wrist,0.0962,0.0962,0.322,Wrist,FALSE
d3-002,3_avatartooluse,first,4,15,post,Elbow,Elbow,0.0633,0.0633,0.3224,Elbow,FALSE
d3-002,3_avatartooluse,first,4,16,post,Wrist,Wrist,0.1082,0.1082,0.3227,Wrist,FALSE
d3-002,3_avatartooluse,first,4,17,post,Elbow,Elbow,0.0233,0.0233,0.3233,Elbow,FALSE
d3-002,3_avatartooluse,first,4,18,post,Forearm,Forearm,0.0735,0.0735,0.3239,Forearm,FALSE
d3-003,3_avatartooluse,pre,2,1,pre,Forearm,Forearm,0.0155,0.0155,0.3428,Forearm,FALSE
d3-003,3_avatartooluse,pre,2,2,pre,Wrist,Wrist,0.0317,0.0317,0.3415,Wrist,FALSE
d3-003,3_avatartooluse,pre,2,3,pre,Elbow,Elbow,0.0773,0.0773,0.3407,Elbow,FALSE
d3-003,3_avatartooluse,pre,2,4,pre,Wrist,Wrist,-0.0839,-0.0839,0.3427,Wrist,FALSE
d3-003,3_avatartooluse,pre,2,5,pre,Forearm,Forearm,-0.0244,-0.0244,0.3429,Forearm,FALSE
d3-003,3_avatartooluse,pre,2,6,pre,Elbow,Elbow,0.0442,0.0442,0.3427,Elbow,FALSE
d3-003,3_avatartooluse,pre,2,7,pre,Forearm,Forearm,-0.0498,-0.0498,0.3408,Forearm,FALSE
d3-003,3_avatartooluse,pre,2,8,pre,Elbow,Elbow,0.0341,0.0341,0.3399,Elbow,FALSE
d3-003,3_avatartooluse,pre,2,9,pre,Wrist,Wrist,-0.0121,-0.0121,0.3452,Wrist,FALSE
d3-003,3_avatartooluse,pre,2,10,pre,Forearm,Forearm,-0.0329,-0.0329,0.3473,Forearm,FALSE
