ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt,tracking,combined_vel,combined_vel_lat,combined_acc,combined_acc_lat,combined_dec,combined_dec_lat,ovr_vel_m_filt,ovr_vel_lat_filt,ovr_acc_m_filtfilt,ovr_acc_lat_filtfilt,ovr_dec_m_filtfilt,ovr_dec_lat_filtfilt
d3-001,12,pre,pre,1194.29657812815,275,8450.44981349756,-5273.03787519956,165,455,ppt,,,,,,,,,,,,
d3-001,13,post,first,1248.52566638089,345,9038.37286128301,-6263.95662239025,180,435,ppt,,,,,,,,,,,,
d3-001,13,pre,pre,1310.16160450116,285,9189.75843840052,-5462.21505854291,155,385,ppt,,,,,,,,,,,,
d3-001,14,post,first,1210.0473107741,285,9331.93600689934,-6174.5147241387,145,420,ppt,,,,,,,,,,,,
d3-001,14,pre,pre,1258.23699825846,320,7816.45297795816,-4643.23783113403,195,360,ppt,,,,,,,,,,,,
d3-001,15,post,first,1193.13396723963,255,8963.24739662076,-5736.5340162429,170,470,ppt,,,,,,,,,,,,
d3-001,15,pre,pre,1254.91331961084,310,7908.80538683388,-5364.48220260995,170,410,ppt,,,,,,,,,,,,
d3-001,16,post,first,1095.80007172628,295,7100.55424523786,-5066.20196963346,145,435,ppt,,,,,,,,,,,,
d3-001,16,pre,pre,1241.83108665659,265,10401.199382532,-4822.77130180852,145,420,ppt,,,,,,,,,,,,
d3-001,17,post,first,1176.68372720037,295,8138.54102420449,-5963.4868877414,150,450,ppt,,,,,,,,,,,,
d3-001,17,pre,pre,1222.67570128854,280,8264.15344721629,-5088.47596319196,130,490,ppt,,,,,,,,,,,,
d3-001,18,post,first,1130.6745074717,230,8750.86259828593,-4979.77738120367,120,450,ppt,,,,,,,,,,,,
d3-001,18,pre,pre,1158.75827711009,320,8189.61004432135,-5780.59809946541,150,445,ppt,,,,,,,,,,,,
d3-002,1,post,second,1122.81431831167,315,7683.25479371314,-4920.9543739717,190,500,ppt,,,,,,,,,,,,
d3-002,1,pre,pre,2138.55826490201,245,17469.3270206284,-10337.9069829827,195,335,ppt,,,,,,,,,,,,
d3-002,2,post,second,1385.71047413885,310,8255.98783132034,-5956.37800194612,200,465,ppt,,,,,,,,,,,,
d3-002,2,pre,pre,1112.99997892334,365,5621.04432182786,-3996.91602671446,175,630,ppt,,,,,,,,,,,,
d3-002,3,post,second,1530.12766204843,240,11579.5017261706,-6603.24441813897,140,310,ppt,,,,,,,,,,,,
d3-002,3,pre,pre,1164.73968949952,285,7610.95169860829,-4112.89922581769,190,400,ppt,,,,,,,,,,,,
d3-002,4,post,second,1324.88527921868,280,8481.55469599794,-5701.44471779002,115,385,ppt,,,,,,,,,,,,
d3-002,4,pre,pre,1063.66799379224,375,6588.7494041588,-3751.38269471241,210,565,ppt,,,,,,,,,,,,
d3-002,5,post,second,1323.263098516,285,7580.97447984411,-6772.053977492,180,440,ppt,,,,,,,,,,,,
d3-002,5,pre,pre,1457.77200461084,320,10307.3815376936,-5792.23633132638,265,495,ppt,,,,,,,,,,,,
d3-002,6,post,second,1599.72598456536,345,9284.43140771147,-9558.8987569258,205,455,ppt,,,,,,,,,,,,
d3-002,6,pre,pre,1360.11450474138,290,8738.26619451234,-5050.58112301743,115,515,ppt,,,,,,,,,,,,
d3-002,7,post,second,1370.69733261598,345,7371.85563507643,-8493.34319233264,210,460,ppt,,,,,,,,,,,,
d3-002,7,pre,pre,1336.66158508013,335,8074.59587448597,-5821.11854954954,205,485,ppt,,,,,,,,,,,,
d3-002,8,post,second,1167.28641809112,340,7484.91723703205,-5166.45988420099,155,475,ppt,,,,,,,,,,,,
d3-002,8,pre,pre,1350.0115788523,440,10661.4513884005,-5842.13778546125,360,600,ppt,,,,,,,,,,,,
