ppid,trial_num_in_block,order,time,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d3-001,16,pre,pre,1241.83108665659,265,10401.199382532,-4822.77130180852,145,420
d3-001,17,pre,pre,1222.67570128854,280,8264.15344721629,-5088.47596319196,130,490
d3-001,18,pre,pre,1158.75827711009,320,8189.61004432135,-5780.59809946541,150,445
d3-002,1,second,post,1122.81431831167,315,7683.25479371314,-4920.9543739717,190,500
d3-002,2,second,post,1385.71047413885,310,8255.98783132034,-5956.37800194612,200,465
d3-002,3,second,post,1530.12766204843,240,11579.5017261706,-6603.24441813897,140,310
d3-002,4,second,post,1324.88527921868,280,8481.55469599794,-5701.44471779002,115,385
d3-002,5,second,post,1323.263098516,285,7580.97447984411,-6772.053977492,180,440
d3-002,6,second,post,1599.72598456536,345,9284.43140771147,-9558.8987569258,205,455
d3-002,7,second,post,1370.69733261598,345,7371.85563507643,-8493.34319233264,210,460
d3-002,8,second,post,1167.28641809112,340,7484.91723703205,-5166.45988420099,155,475
d3-002,9,second,post,1669.82382510971,275,12669.4201645854,-8872.62015314638,165,390
d3-002,10,second,post,1154.69324836839,300,7403.74926314304,-4418.62774173341,170,620
d3-002,11,second,post,1344.64715499429,300,7397.70871430375,-5538.60495662095,165,405
d3-002,12,second,post,1266.26702125134,310,7728.53143392289,-6647.32557236282,170,455
d3-002,13,second,post,1160.05136106361,340,8777.02838535204,-4714.25836579937,145,425
d3-002,14,second,post,1206.44734153246,355,6241.18994793159,-5912.44811386107,145,465
d3-002,15,second,post,1303.29651374158,325,7321.80265209855,-7459.5919922324,150,495
d3-002,16,second,post,1559.71064760842,300,8718.4528008204,-8086.66734466879,190,385
d3-002,17,second,post,1522.69592594242,355,9077.41701735001,-8333.36715050833,240,475
d3-002,18,second,post,1428.05634208893,400,8338.34389198873,-6090.15942860402,275,515
d3-002,1,pre,pre,2138.55826490201,245,17469.3270206284,-10337.9069829827,195,335
d3-002,2,pre,pre,1112.99997892334,365,5621.04432182786,-3996.91602671446,175,630
d3-002,3,pre,pre,1164.73968949952,285,7610.95169860829,-4112.89922581769,190,400
d3-002,4,pre,pre,1063.66799379224,375,6588.7494041588,-3751.38269471241,210,565
d3-002,5,pre,pre,1457.77200461084,320,10307.3815376936,-5792.23633132638,265,495
d3-002,6,pre,pre,1360.11450474138,290,8738.26619451234,-5050.58112301743,115,515
d3-002,7,pre,pre,1336.66158508013,335,8074.59587448597,-5821.11854954954,205,485
d3-002,8,pre,pre,1350.0115788523,440,10661.4513884005,-5842.13778546125,360,600
d3-002,9,pre,pre,1150.78371472843,315,8791.05418889673,-5130.96758903664,215,570
d3-002,10,pre,pre,1553.61881361332,290,11588.2043577409,-6298.3506539478,205,400
d3-002,11,pre,pre,1451.09947861034,315,11029.8913184671,-6442.54594520594,215,410
d3-002,12,pre,pre,1336.02142568918,465,8124.56308076558,-6254.64468995213,355,620
d3-002,13,pre,pre,1245.85573693029,265,9662.95207248994,-5058.1173681436,130,400
d3-002,14,pre,pre,1243.73843147262,265,9529.45968761854,-4682.30289186832,195,470
d3-002,15,pre,pre,1298.73648219947,310,8007.65909436604,-6008.33810544986,205,485
d3-002,16,pre,pre,1467.32567153625,305,9714.00947031621,-6518.83840730695,215,445
d3-002,17,pre,pre,1439.53915722354,400,12076.7703500987,-6864.23410227079,320,530
d3-002,18,pre,pre,1274.1616858506,310,8409.05693713936,-4356.65249711133,185,420
d3-003,1,first,post,723.466963750185,350,5132.93405144899,-1706.48287513001,255,550
d3-003,2,first,post,857.72826429922,365,5203.20534279171,-2916.73452874967,210,615
d3-003,3,first,post,900.360967142204,425,6101.37161531927,-3315.6273861574,270,545
d3-003,4,first,post,917.7878557555,330,6642.87694196395,-3977.97122295182,235,570
d3-003,5,first,post,989.667969345683,420,6098.75144455808,-5250.9115395152,280,615
d3-003,6,first,post,935.658570115621,400,5084.40622343238,-4374.1788480043,225,565
d3-003,7,first,post,1030.26541334291,365,7912.72434732381,-4115.92024958274,215,490
d3-003,8,first,post,1063.3362407125,395,5531.25816362982,-4752.93246745165,205,530
d3-003,9,first,post,1008.14681813487,360,6471.62845584046,-3634.12425192859,230,550
d3-003,10,first,post,943.445738920755,395,6741.80668681854,-3613.84164238805,230,540
d3-003,11,first,post,1008.1518705557,340,7573.11698431068,-4127.49876727935,200,470
d3-003,12,first,post,1113.31903926916,375,7999.87987958482,-5138.91008402727,225,525
d3-003,13,first,post,1106.51541559931,405,5273.11463946319,-5464.68056396036,225,550
d3-003,14,first,post,993.620861381158,390,5408.72428110994,-4241.36063816765,225,515
d3-003,15,first,post,1017.24905614153,405,4823.96774071504,-4454.20181921085,245,535
d3-003,16,first,post,1067.16351875378,380,6267.15587901,-4413.81482236876,205,525
d3-003,17,first,post,963.553025052587,310,7162.98426784268,-4106.20228482273,220,535
d3-003,18,first,post,1007.66929894733,410,6057.22760457129,-4325.11561489322,225,515
d3-003,1,pre,pre,1007.46165823477,365,5459.57280209082,-3623.82578335667,210,515
d3-003,2,pre,pre,906.572112502394,450,5279.64083215623,-3165.86294752015,295,695
d3-003,3,pre,pre,858.908035594233,390,4836.20664763477,-2229.7348711227,260,555
d3-003,4,pre,pre,883.090607957937,395,5458.57848443834,-3265.09327211196,235,600
d3-003,5,pre,pre,801.138166780732,450,4676.39349845488,-2610.31295196854,265,585
d3-003,6,pre,pre,736.211743533845,425,3912.62511917361,-2766.05593585856,310,700
d3-003,7,pre,pre,787.214822119487,430,4659.43536530922,-2100.10067800299,255,605
d3-003,8,pre,pre,907.267437399062,405,5374.31033026609,-3246.61176796078,230,510
d3-003,9,pre,pre,945.014667855089,435,5926.22495420092,-3765.1765413782,180,600
d3-003,10,pre,pre,1056.73177009501,390,6098.06984783111,-3849.29518353035,200,615
d3-003,11,pre,pre,978.371784290582,395,5092.53380971419,-3129.62982695704,210,595
d3-003,12,pre,pre,834.546445705528,420,5113.66608558524,-2462.34534641907,270,575
d3-003,13,pre,pre,951.52769370481,390,5210.31211203446,-3134.86008629245,215,480
d3-003,14,pre,pre,896.327773756166,395,6053.08019162052,-3597.43576258188,255,560
d3-003,15,pre,pre,900.988689555943,430,4240.15634396804,-3527.6618653501,260,520
d3-003,16,pre,pre,922.473517207503,400,5482.52322001905,-4018.15579960157,240,510
