experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-019,1,1,1,1,403.228,407.8264,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-019,1,2,1,2,411.8803,416.3439,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-019,1,3,1,3,420.3981,422.1751,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-019,1,4,1,4,426.2288,428.1278,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-019,1,5,1,5,432.1815,435.3801,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-019,1,6,1,6,439.4338,443.0323,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-019,1,7,1,7,447.0641,450.1064,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-019,1,8,1,8,454.1502,456.348,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-019,1,9,1,9,460.4016,461.5899,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-019,1,10,1,10,465.6435,466.9547,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
1_tooluseinVR,d1-019,1,11,1,11,470.9976,473.2176,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
1_tooluseinVR,d1-019,1,12,1,12,477.2492,481.4362,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T012.csv,,,,,,
1_tooluseinVR,d1-019,1,13,1,13,485.4785,488.7995,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T013.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T013.csv,,,,,,
1_tooluseinVR,d1-019,1,14,1,14,492.853,493.5752,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T014.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T014.csv,,,,,,
1_tooluseinVR,d1-019,1,15,1,15,497.7174,499.1615,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T015.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T015.csv,,,,,,
1_tooluseinVR,d1-019,1,16,1,16,512.5882,517.053,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T016.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T016.csv,,,,,,
1_tooluseinVR,d1-019,1,17,1,17,532.9787,534.4446,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T017.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T017.csv,,,,,,
1_tooluseinVR,d1-019,1,18,1,18,538.4984,542.8738,1_tooluseinVR/d1-019/S001/trackers/landmark/landmarkstimulus_estimates_T018.csv,1_tooluseinVR/d1-019/S001/trackers/landmark/landmark_eyeTrackingData_T018.csv,,,,,,
1_tooluseinVR,d1-019,1,19,2,1,822.3749,828.2286,,,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T019.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T019.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T019.csv,,,
1_tooluseinVR,d1-019,1,20,2,2,833.4465,839.1119,,,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T020.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T020.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T020.csv,,,
1_tooluseinVR,d1-019,1,21,2,3,869.5871,874.4291,,,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T021.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T021.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T021.csv,,,
1_tooluseinVR,d1-019,1,22,2,4,878.6818,882.9473,,,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T022.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T022.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T022.csv,,,
1_tooluseinVR,d1-019,1,23,2,5,889.4227,893.7752,,,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T023.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T023.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T023.csv,,,
1_tooluseinVR,d1-019,1,24,2,6,896.7301,901.5267,,,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T024.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T024.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T024.csv,,,
1_tooluseinVR,d1-019,1,25,2,7,904.4816,909.2791,,,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T025.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T025.csv,1_tooluseinVR/d1-019/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T025.csv,,,
