experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse 1,d3-015,1,1,1,1,1656.178,1657.732,0,0,0,359.9847,0,359.9724,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,2,1,2,1661.761,1666.448,0,0,0,359.9847,0,359.9724,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,3,1,3,1670.482,1673.464,0,0,0,359.9845,0,359.9739,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,4,1,4,1677.509,1682.908,0,0,0,359.9845,0,359.9739,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,5,1,5,1686.949,1693.381,0,0,0,359.9845,0,359.9739,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,6,1,6,1697.424,1701.484,0,0,0,359.985,0,359.9735,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,7,1,7,1705.52,1705.991,0,0,0,359.9869,0,359.9761,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,8,1,8,1710.041,1710.879,0,0,0,359.9869,0,359.9761,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,9,1,9,1714.927,1716.085,0,0,0,359.9869,0,359.9761,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse 1,d3-015,1,10,1,10,1720.124,1722.679,0,0,0,359.9858,0,359.9756,1,1,1,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse 1/d3-015/S001/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
