participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-005,4,95,Wrist,0.0000,startbuffer,0.2566,0.8032,-0.8764
d3-005,4,95,Wrist,5.9841,startbuffer,0.2567,0.8001,-0.8811
d3-005,4,95,Wrist,11.9679,startbuffer,0.2570,0.8000,-0.8812
d3-005,4,95,Wrist,17.9518,startbuffer,0.2564,0.8004,-0.8814
d3-005,4,95,Wrist,23.9363,startbuffer,0.2564,0.8005,-0.8814
d3-005,4,95,Wrist,29.9200,startbuffer,0.2567,0.8002,-0.8813
d3-005,4,95,Wrist,35.9037,startbuffer,0.2569,0.8000,-0.8812
d3-005,4,95,Wrist,41.8885,startbuffer,0.2569,0.8000,-0.8812
d3-005,4,95,Wrist,47.8723,startbuffer,0.2568,0.8000,-0.8814
d3-005,4,95,Wrist,53.8565,startbuffer,0.2568,0.8000,-0.8814
d3-005,4,95,Wrist,59.8406,begin,0.2569,0.8000,-0.8814
d3-005,4,95,Wrist,65.8246,begin,0.2569,0.8000,-0.8814
d3-005,4,95,Wrist,71.8084,begin,0.2564,0.8004,-0.8815
d3-005,4,95,Wrist,77.7927,begin,0.2564,0.8004,-0.8815
d3-005,4,95,Wrist,83.7765,begin,0.2564,0.8004,-0.8815
d3-005,4,95,Wrist,89.7610,begin,0.2570,0.8000,-0.8813
d3-005,4,95,Wrist,95.7446,begin,0.2570,0.8000,-0.8813
d3-005,4,95,Wrist,101.6133,begin,0.2564,0.8004,-0.8815
d3-005,4,95,Wrist,107.5977,begin,0.2564,0.8004,-0.8815
d3-005,4,95,Wrist,113.5813,begin,0.2568,0.8002,-0.8813
d3-005,4,95,Wrist,119.5654,begin,0.2568,0.8002,-0.8813
d3-005,4,95,Wrist,125.5496,begin,0.2565,0.8004,-0.8814
d3-005,4,95,Wrist,131.5336,begin,0.2565,0.8004,-0.8814
d3-005,4,95,Wrist,137.5172,begin,0.2565,0.8004,-0.8814
d3-005,4,95,Wrist,143.5017,begin,0.2569,0.7999,-0.8814
d3-005,4,95,Wrist,149.4853,begin,0.2569,0.7999,-0.8814
d3-005,4,95,Wrist,155.4701,begin,0.2564,0.8004,-0.8816
d3-005,4,95,Wrist,161.4537,begin,0.2564,0.8004,-0.8816
d3-005,4,95,Wrist,167.4378,begin,0.2569,0.8000,-0.8814
d3-005,4,95,Wrist,173.4221,begin,0.2570,0.7999,-0.8814
d3-005,4,95,Wrist,179.4059,begin,0.2566,0.8002,-0.8816
d3-005,4,95,Wrist,185.3896,begin,0.2564,0.8004,-0.8816
d3-005,4,95,Wrist,191.3742,begin,0.2567,0.8001,-0.8815
d3-005,4,95,Wrist,197.3578,begin,0.2570,0.7999,-0.8814
d3-005,4,95,Wrist,203.3418,begin,0.2570,0.7999,-0.8814
d3-005,4,95,Wrist,209.3260,begin,0.2570,0.7999,-0.8814
d3-005,4,95,Wrist,215.3095,begin,0.2570,0.7999,-0.8814
d3-005,4,95,Wrist,221.2936,begin,0.2570,0.7999,-0.8814
d3-005,4,95,Wrist,227.2779,begin,0.2570,0.7999,-0.8814
d3-005,4,95,Wrist,233.2621,begin,0.2565,0.8003,-0.8816
d3-005,4,95,Wrist,239.2465,begin,0.2565,0.8004,-0.8816
d3-005,4,95,Wrist,245.2310,begin,0.2568,0.8000,-0.8814
d3-005,4,95,Wrist,251.2143,begin,0.2570,0.7999,-0.8814
d3-005,4,95,Wrist,257.1985,begin,0.2569,0.8000,-0.8815
d3-005,4,95,Wrist,266.1748,begin,0.2566,0.8002,-0.8816
d3-005,4,95,Wrist,273.1562,begin,0.2568,0.8001,-0.8815
d3-005,4,95,Wrist,279.1400,begin,0.2568,0.8001,-0.8815
d3-005,4,95,Wrist,285.1239,begin,0.2568,0.8001,-0.8815
d3-005,4,95,Wrist,291.1082,begin,0.2565,0.8003,-0.8817
d3-005,4,95,Wrist,297.0916,begin,0.2572,0.7998,-0.8815
d3-005,4,95,Wrist,303.0755,begin,0.2572,0.7998,-0.8815
d3-005,4,95,Wrist,309.0602,begin,0.2572,0.7998,-0.8815
d3-005,4,95,Wrist,315.0438,begin,0.2567,0.8003,-0.8817
d3-005,4,95,Wrist,321.0282,begin,0.2567,0.8003,-0.8817
d3-005,4,95,Wrist,327.0122,begin,0.2572,0.7998,-0.8815
d3-005,4,95,Wrist,332.9963,begin,0.2572,0.7998,-0.8815
d3-005,4,95,Wrist,338.9809,begin,0.2570,0.8000,-0.8815
d3-005,4,95,Wrist,344.9641,begin,0.2570,0.8000,-0.8815
d3-005,4,95,Wrist,350.9489,begin,0.2570,0.8001,-0.8816
d3-005,4,95,Wrist,356.9326,begin,0.2570,0.8000,-0.8815
d3-005,4,95,Wrist,362.9161,begin,0.2570,0.8000,-0.8815
d3-005,4,95,Wrist,368.8999,begin,0.2567,0.8003,-0.8818
d3-005,4,95,Wrist,374.8844,begin,0.2567,0.8003,-0.8818
d3-005,4,95,Wrist,380.8682,begin,0.2572,0.7998,-0.8816
d3-005,4,95,Wrist,386.8525,begin,0.2572,0.7998,-0.8816
d3-005,4,95,Wrist,392.0800,begin,0.2568,0.8001,-0.8818
d3-005,4,95,Wrist,398.0640,begin,0.2567,0.8002,-0.8818
d3-005,4,95,Wrist,404.0480,begin,0.2569,0.8000,-0.8819
d3-005,4,95,Wrist,410.0318,begin,0.2571,0.7998,-0.8818
d3-005,4,95,Wrist,416.0158,begin,0.2572,0.7998,-0.8817
d3-005,4,95,Wrist,422.0003,begin,0.2571,0.7998,-0.8818
d3-005,4,95,Wrist,427.9841,begin,0.2571,0.7998,-0.8818
d3-005,4,95,Wrist,433.9683,begin,0.2572,0.7998,-0.8817
d3-005,4,95,Wrist,439.9525,begin,0.2572,0.7998,-0.8817
d3-005,4,95,Wrist,445.9362,begin,0.2567,0.8002,-0.8819
d3-005,4,95,Wrist,451.9205,begin,0.2567,0.8002,-0.8819
d3-005,4,95,Wrist,457.9044,begin,0.2571,0.7998,-0.8817
d3-005,4,95,Wrist,463.8880,begin,0.2572,0.7998,-0.8816
d3-005,4,95,Wrist,469.8720,begin,0.2567,0.8002,-0.8817
d3-005,4,95,Wrist,475.8566,begin,0.2566,0.8003,-0.8817
d3-005,4,95,Wrist,481.8406,begin,0.2571,0.7999,-0.8813
d3-005,4,95,Wrist,487.8244,begin,0.2572,0.7999,-0.8813
d3-005,4,95,Wrist,493.0121,begin,0.2564,0.7994,-0.8814
d3-005,4,95,Wrist,498.9959,begin,0.2561,0.7998,-0.8818
d3-005,4,95,Wrist,504.9805,begin,0.2565,0.7997,-0.8813
d3-005,4,95,Wrist,510.9646,begin,0.2566,0.7994,-0.8809
d3-005,4,95,Wrist,516.9481,begin,0.2567,0.7995,-0.8807
d3-005,4,95,Wrist,522.9323,begin,0.2563,0.8003,-0.8804
d3-005,4,95,Wrist,528.9162,begin,0.2564,0.8004,-0.8801
d3-005,4,95,Wrist,534.9002,begin,0.2567,0.8000,-0.8792
d3-005,4,95,Wrist,540.8851,begin,0.2567,0.8001,-0.8790
d3-005,4,95,Wrist,546.8684,begin,0.2563,0.8009,-0.8785
