experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0
1_tooluseinVR,d1-001,1,89,4,5,1293.501,1296.921,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T089.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T089.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T089.csv,,,
1_tooluseinVR,d1-001,1,90,4,6,1299,1302.375,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T090.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T090.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T090.csv,,,
1_tooluseinVR,d1-001,1,91,4,7,1304.46,1307.783,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T091.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T091.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T091.csv,,,
1_tooluseinVR,d1-001,1,92,4,8,1309.872,1313.457,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T092.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T092.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T092.csv,,,
1_tooluseinVR,d1-001,1,93,4,9,1315.537,1319.175,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T093.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T093.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T093.csv,,,
1_tooluseinVR,d1-001,1,94,4,10,1321.277,1324.842,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T094.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T094.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T094.csv,,,
1_tooluseinVR,d1-001,1,95,4,11,1326.941,1330.584,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T095.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T095.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T095.csv,,,
1_tooluseinVR,d1-001,1,96,4,12,1332.684,1336.503,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T096.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T096.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T096.csv,,,
1_tooluseinVR,d1-001,1,97,4,13,1338.603,1342.656,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T097.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T097.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T097.csv,,,
1_tooluseinVR,d1-001,1,98,4,14,1344.757,1348.163,,,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T098.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T098.csv,1_tooluseinVR/d1-001/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T098.csv,,,
