experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-009,1,52,3,16,2357.165,2363.922,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T052.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T052.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T052.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T052.csv
3_avatartooluse,d3-009,1,53,3,17,2366.874,2373.713,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T053.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T053.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T053.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T053.csv
3_avatartooluse,d3-009,1,54,3,18,2376.669,2384.759,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T054.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T054.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T054.csv
3_avatartooluse,d3-009,1,55,3,19,2387.72,2394.955,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T055.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T055.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T055.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T055.csv
3_avatartooluse,d3-009,1,56,3,20,2397.914,2404.974,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T056.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T056.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T056.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T056.csv
3_avatartooluse,d3-009,1,57,3,21,2407.932,2414.595,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T057.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T057.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T057.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T057.csv
3_avatartooluse,d3-009,1,58,3,22,2417.548,2423.88,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T058.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T058.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T058.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T058.csv
3_avatartooluse,d3-009,1,59,3,23,2426.834,2433.886,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T059.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T059.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T059.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T059.csv
3_avatartooluse,d3-009,1,60,3,24,2436.841,2444.12,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T060.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T060.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T060.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T060.csv
3_avatartooluse,d3-009,1,61,3,25,2447.072,2455.643,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T061.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T061.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T061.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T061.csv
3_avatartooluse,d3-009,1,62,3,26,2460.418,2467.169,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T062.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T062.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T062.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T062.csv
3_avatartooluse,d3-009,1,63,3,27,2470.125,2476.788,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T063.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T063.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T063.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T063.csv
3_avatartooluse,d3-009,1,64,3,28,2479.743,2485.917,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T064.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T064.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T064.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T064.csv
