experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-023,1,40,3,4,2186.486,2192.193,0,0,0,0.275161,0,0.208322,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T040.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T040.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T040.csv
3_avatartooluse,d3-023,1,41,3,5,2195.145,2209.715,0,0,0,0.277477,0,0.207715,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T041.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T041.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T041.csv
3_avatartooluse,d3-023,1,42,3,6,2212.675,2218.345,0,0,0,0.276718,0,0.209573,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T042.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T042.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T042.csv
3_avatartooluse,d3-023,1,43,3,7,2221.304,2227.098,0,0,0,0.276718,0,0.209573,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T043.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T043.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T043.csv
3_avatartooluse,d3-023,1,44,3,8,2230.056,2235.837,0,0,0,0.274925,0,0.207364,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T044.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T044.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T044.csv
3_avatartooluse,d3-023,1,45,3,9,2238.796,2245.625,0,0,0,0.273199,0,0.212317,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T045.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T045.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T045.csv
3_avatartooluse,d3-023,1,46,3,10,2248.58,2257.542,0,0,0,0.272273,0,0.2224,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T046.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T046.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T046.csv
3_avatartooluse,d3-023,1,47,3,11,2260.497,2267.027,0,0,0,0.270251,0,0.233191,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T047.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T047.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T047.csv
3_avatartooluse,d3-023,1,48,3,12,2269.981,2275.752,0,0,0,0.267951,0,0.245844,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T048.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T048.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T048.csv
3_avatartooluse,d3-023,1,49,3,13,2278.711,2284.786,0,0,0,0.269073,0,0.259402,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T049.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T049.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T049.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T049.csv
3_avatartooluse,d3-023,1,50,3,14,2287.74,2293.581,0,0,0,0.269073,0,0.259402,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T050.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T050.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T050.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T050.csv
3_avatartooluse,d3-023,1,51,3,15,2296.536,2303.187,0,0,0,0.269073,0,0.259402,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T051.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T051.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T051.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T051.csv
3_avatartooluse,d3-023,1,52,3,16,2306.142,2312.027,0,0,0,0.267221,0,0.27442,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T052.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T052.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T052.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T052.csv
3_avatartooluse,d3-023,1,53,3,17,2314.982,2322.889,0,0,0,0.267327,0,0.289246,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T053.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T053.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T053.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T053.csv
