experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-002,1,26,2,8,1621.668,1625.577,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T026.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T026.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T026.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T026.csv,,,,
3_avatartooluse,d3-002,1,27,2,9,1628.531,1632.207,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T027.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T027.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T027.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T027.csv,,,,
3_avatartooluse,d3-002,1,28,2,10,1635.161,1638.728,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T028.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T028.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T028.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T028.csv,,,,
3_avatartooluse,d3-002,1,29,2,11,1641.68,1645.192,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T029.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T029.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T029.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T029.csv,,,,
3_avatartooluse,d3-002,1,30,2,12,1648.144,1651.121,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T030.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T030.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T030.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T030.csv,,,,
3_avatartooluse,d3-002,1,31,2,13,1654.075,1657.917,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T031.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T031.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T031.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T031.csv,,,,
3_avatartooluse,d3-002,1,32,2,14,1660.871,1664.292,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T032.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T032.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T032.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T032.csv,,,,
3_avatartooluse,d3-002,1,33,2,15,1667.247,1670.723,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T033.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T033.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T033.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T033.csv,,,,
3_avatartooluse,d3-002,1,34,2,16,1673.676,1677.097,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T034.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T034.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T034.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T034.csv,,,,
3_avatartooluse,d3-002,1,35,2,17,1680.052,1683.216,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T035.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T035.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T035.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T035.csv,,,,
3_avatartooluse,d3-002,1,36,2,18,1686.172,1696.688,,,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_vrpn_movement_T036.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_gaze_data_T036.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T036.csv,3_avatartooluse/d3-002/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T036.csv,,,,
3_avatartooluse,d3-002,1,37,3,1,1924.125,1931.888,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T037.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T037.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T037.csv
3_avatartooluse,d3-002,1,38,3,2,1934.843,1941.532,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T038.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T038.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T038.csv
3_avatartooluse,d3-002,1,39,3,3,1944.482,1949.58,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T039.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T039.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T039.csv
3_avatartooluse,d3-002,1,40,3,4,1952.535,1957.565,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T040.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T040.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T040.csv
3_avatartooluse,d3-002,1,41,3,5,1960.552,1968.672,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T041.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T041.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T041.csv
3_avatartooluse,d3-002,1,42,3,6,1971.625,1978.455,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T042.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T042.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T042.csv
