participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-022,4,100,Wrist,0.0000,startbuffer,0.3041,0.8110,-0.6816
d3-022,4,100,Wrist,6.9816,startbuffer,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,12.9665,startbuffer,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,18.9504,startbuffer,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,25.0195,startbuffer,0.3060,0.8105,-0.6816
d3-022,4,100,Wrist,30.9915,startbuffer,0.3060,0.8105,-0.6816
d3-022,4,100,Wrist,36.9758,startbuffer,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,42.9602,startbuffer,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,48.9440,startbuffer,0.3061,0.8104,-0.6817
d3-022,4,100,Wrist,54.9291,startbuffer,0.3060,0.8105,-0.6816
d3-022,4,100,Wrist,60.9127,startbuffer,0.3061,0.8103,-0.6817
d3-022,4,100,Wrist,66.8979,begin,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,72.8816,begin,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,78.8663,begin,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,84.8502,begin,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,90.8348,begin,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,96.8194,begin,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,102.8032,begin,0.3061,0.8107,-0.6817
d3-022,4,100,Wrist,108.7878,begin,0.3061,0.8107,-0.6817
d3-022,4,100,Wrist,114.7725,begin,0.3062,0.8105,-0.6818
d3-022,4,100,Wrist,120.7572,begin,0.3062,0.8104,-0.6818
d3-022,4,100,Wrist,126.7406,begin,0.3062,0.8106,-0.6818
d3-022,4,100,Wrist,132.7255,begin,0.3061,0.8107,-0.6817
d3-022,4,100,Wrist,138.7093,begin,0.3061,0.8103,-0.6817
d3-022,4,100,Wrist,144.6946,begin,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,150.6783,begin,0.3062,0.8102,-0.6818
d3-022,4,100,Wrist,156.6630,begin,0.3061,0.8107,-0.6817
d3-022,4,100,Wrist,162.6473,begin,0.3061,0.8106,-0.6818
d3-022,4,100,Wrist,168.6316,begin,0.3061,0.8104,-0.6820
d3-022,4,100,Wrist,174.6161,begin,0.3062,0.8104,-0.6818
d3-022,4,100,Wrist,180.6003,begin,0.3061,0.8107,-0.6817
d3-022,4,100,Wrist,186.5853,begin,0.3061,0.8107,-0.6817
d3-022,4,100,Wrist,192.5692,begin,0.3061,0.8104,-0.6820
d3-022,4,100,Wrist,198.5540,begin,0.3062,0.8104,-0.6818
d3-022,4,100,Wrist,204.5377,begin,0.3061,0.8106,-0.6817
d3-022,4,100,Wrist,210.5229,begin,0.3061,0.8107,-0.6817
d3-022,4,100,Wrist,216.5070,begin,0.3061,0.8103,-0.6817
d3-022,4,100,Wrist,222.4915,begin,0.3062,0.8102,-0.6817
d3-022,4,100,Wrist,227.9830,begin,0.3062,0.8102,-0.6817
d3-022,4,100,Wrist,233.9675,begin,0.3062,0.8102,-0.6817
d3-022,4,100,Wrist,239.9517,begin,0.3062,0.8102,-0.6817
d3-022,4,100,Wrist,245.9363,begin,0.3062,0.8102,-0.6817
d3-022,4,100,Wrist,251.9202,begin,0.3062,0.8102,-0.6817
d3-022,4,100,Wrist,257.9049,begin,0.3061,0.8107,-0.6816
d3-022,4,100,Wrist,263.0852,begin,0.3061,0.8107,-0.6816
d3-022,4,100,Wrist,269.0698,begin,0.3061,0.8107,-0.6816
d3-022,4,100,Wrist,275.0546,begin,0.3062,0.8104,-0.6818
d3-022,4,100,Wrist,281.0385,begin,0.3060,0.8104,-0.6819
d3-022,4,100,Wrist,287.0235,begin,0.3060,0.8107,-0.6816
d3-022,4,100,Wrist,293.0074,begin,0.3060,0.8107,-0.6816
d3-022,4,100,Wrist,298.9920,begin,0.3061,0.8102,-0.6816
d3-022,4,100,Wrist,304.9759,begin,0.3061,0.8102,-0.6816
d3-022,4,100,Wrist,310.9609,begin,0.3061,0.8102,-0.6816
d3-022,4,100,Wrist,316.9448,begin,0.3061,0.8102,-0.6816
d3-022,4,100,Wrist,322.9296,begin,0.3061,0.8102,-0.6816
d3-022,4,100,Wrist,328.5405,begin,0.3061,0.8102,-0.6816
d3-022,4,100,Wrist,334.5253,begin,0.3061,0.8102,-0.6816
d3-022,4,100,Wrist,340.5092,begin,0.3060,0.8106,-0.6815
d3-022,4,100,Wrist,346.4938,begin,0.3059,0.8106,-0.6815
d3-022,4,100,Wrist,352.4778,begin,0.3062,0.8103,-0.6816
d3-022,4,100,Wrist,358.4623,begin,0.3062,0.8103,-0.6816
d3-022,4,100,Wrist,364.4031,begin,0.3062,0.8105,-0.6813
d3-022,4,100,Wrist,370.3873,begin,0.3061,0.8106,-0.6811
d3-022,4,100,Wrist,376.3720,begin,0.3063,0.8101,-0.6811
d3-022,4,100,Wrist,382.3557,begin,0.3063,0.8099,-0.6809
d3-022,4,100,Wrist,388.3406,begin,0.3066,0.8101,-0.6806
d3-022,4,100,Wrist,394.3248,begin,0.3069,0.8104,-0.6798
d3-022,4,100,Wrist,400.3094,begin,0.3070,0.8103,-0.6798
d3-022,4,100,Wrist,406.2942,begin,0.3068,0.8097,-0.6799
d3-022,4,100,Wrist,412.2778,begin,0.3071,0.8097,-0.6791
d3-022,4,100,Wrist,418.2626,begin,0.3076,0.8101,-0.6787
d3-022,4,100,Wrist,424.2468,begin,0.3079,0.8100,-0.6779
d3-022,4,100,Wrist,429.6809,begin,0.3079,0.8094,-0.6777
d3-022,4,100,Wrist,435.6652,begin,0.3081,0.8092,-0.6772
d3-022,4,100,Wrist,441.6499,begin,0.3083,0.8093,-0.6762
d3-022,4,100,Wrist,447.6344,begin,0.3084,0.8093,-0.6754
d3-022,4,100,Wrist,453.6185,begin,0.3084,0.8090,-0.6743
d3-022,4,100,Wrist,459.6031,begin,0.3082,0.8087,-0.6739
d3-022,4,100,Wrist,465.5878,begin,0.3082,0.8090,-0.6726
d3-022,4,100,Wrist,471.2584,begin,0.3082,0.8096,-0.6718
d3-022,4,100,Wrist,477.2433,begin,0.3080,0.8100,-0.6711
d3-022,4,100,Wrist,483.2274,begin,0.3078,0.8104,-0.6704
d3-022,4,100,Wrist,489.2119,begin,0.3069,0.8113,-0.6693
d3-022,4,100,Wrist,495.1961,begin,0.3063,0.8128,-0.6676
