experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-020,1,1,1,1,614.5025,625.4091,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T001.csv,,,,,
1_tooluseinVR,d1-020,1,2,1,2,628.3625,635.9612,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T002.csv,,,,,
1_tooluseinVR,d1-020,1,3,1,3,640.2465,648.8312,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T003.csv,,,,,
1_tooluseinVR,d1-020,1,4,1,4,653.3401,661.7033,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T004.csv,,,,,
1_tooluseinVR,d1-020,1,5,1,5,682.4475,689.0918,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T005.csv,,,,,
1_tooluseinVR,d1-020,1,6,1,6,692.3661,698.8969,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T006.csv,,,,,
1_tooluseinVR,d1-020,1,7,1,7,705.4506,712.1251,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T007.csv,,,,,
1_tooluseinVR,d1-020,1,8,1,8,725.9742,734.0938,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T008.csv,,,,,
1_tooluseinVR,d1-020,1,9,1,9,737.0453,742.6104,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T009.csv,,,,,
1_tooluseinVR,d1-020,1,10,1,10,745.5633,751.2605,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T010.csv,,,,,
1_tooluseinVR,d1-020,1,11,1,11,755.7369,761.6337,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T011.csv,,,,,
1_tooluseinVR,d1-020,1,12,1,12,764.5892,771.1627,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T012.csv,,,,,
1_tooluseinVR,d1-020,1,13,1,13,778.9152,784.4572,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T013.csv,,,,,
1_tooluseinVR,d1-020,1,14,1,14,787.4106,793.7498,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T014.csv,,,,,
1_tooluseinVR,d1-020,1,15,1,15,797.505,803.4702,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T015.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T015.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T015.csv,,,,,
1_tooluseinVR,d1-020,1,16,1,16,807.6216,813.8873,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T016.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T016.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T016.csv,,,,,
1_tooluseinVR,d1-020,1,17,1,17,816.842,823.017,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T017.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T017.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T017.csv,,,,,
1_tooluseinVR,d1-020,1,18,1,18,825.9711,831.5245,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T018.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T018.csv,1_tooluseinVR/d1-020/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T018.csv,,,,,
1_tooluseinVR,d1-020,1,19,2,1,1137.336,1140.235,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T019.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T019.csv,,,
1_tooluseinVR,d1-020,1,20,2,2,1144.289,1145.31,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T020.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T020.csv,,,
1_tooluseinVR,d1-020,1,21,2,3,1149.364,1150.419,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T021.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T021.csv,,,
1_tooluseinVR,d1-020,1,22,2,4,1154.472,1156.383,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T022.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T022.csv,,,
1_tooluseinVR,d1-020,1,23,2,5,1160.437,1164.946,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T023.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T023.csv,,,
1_tooluseinVR,d1-020,1,24,2,6,1168.999,1170.699,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T024.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T024.csv,,,
1_tooluseinVR,d1-020,1,25,2,7,1174.752,1175.385,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T025.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T025.csv,,,
1_tooluseinVR,d1-020,1,26,2,8,1179.439,1181.227,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T026.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T026.csv,,,
1_tooluseinVR,d1-020,1,27,2,9,1185.281,1188.068,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T027.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T027.csv,,,
1_tooluseinVR,d1-020,1,28,2,10,1192.122,1192.977,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T028.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T028.csv,,,
1_tooluseinVR,d1-020,1,29,2,11,1197.03,1199.363,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T029.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T029.csv,,,
1_tooluseinVR,d1-020,1,30,2,12,1203.416,1207.303,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T030.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T030.csv,,,
1_tooluseinVR,d1-020,1,31,2,13,1211.357,1212.19,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T031.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T031.csv,,,
1_tooluseinVR,d1-020,1,32,2,14,1216.243,1218.476,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T032.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T032.csv,,,
1_tooluseinVR,d1-020,1,33,2,15,1222.529,1225.106,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T033.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T033.csv,,,
1_tooluseinVR,d1-020,1,34,2,16,1229.16,1233.935,,,,1_tooluseinVR/d1-020/S001/trackers/landmark/landmarkstimulus_estimates_T034.csv,1_tooluseinVR/d1-020/S001/trackers/landmark/landmark_eyeTrackingData_T034.csv,,,
