experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_ppt_hand_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,landmarkstimulus_estimates_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0
2_toolusenotinVR,217,1,1,1,1,372.1145,375.9797,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,,,
2_toolusenotinVR,217,1,2,1,2,378.9329,382.7536,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,,,
2_toolusenotinVR,217,1,3,1,3,385.7072,389.5945,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,,,
2_toolusenotinVR,217,1,4,1,4,392.549,396.2564,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,,,
2_toolusenotinVR,217,1,5,1,5,399.2132,402.7558,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,,,
2_toolusenotinVR,217,1,6,1,6,405.7093,409.3973,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,,,
2_toolusenotinVR,217,1,7,1,7,412.3525,415.9828,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,,,
2_toolusenotinVR,217,1,8,1,8,418.9367,422.6569,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,,,
2_toolusenotinVR,217,1,9,1,9,425.612,429.4545,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,,,
2_toolusenotinVR,217,1,10,1,10,432.4075,436.1955,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,2_toolusenotinVR/217/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,,,
