experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-012,1,1,1,1,658.152,661.5829,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-012,1,2,1,2,665.6249,668.4244,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-012,1,3,1,3,672.4565,676.2993,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-012,1,4,1,4,680.3524,684.2289,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-012,1,5,1,5,688.2708,688.8821,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-012,1,6,1,6,692.9356,696.0007,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-012,1,7,1,7,700.0435,700.6323,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-012,1,8,1,8,704.6746,706.5737,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-012,1,9,1,9,710.6274,713.0597,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-012,1,10,1,10,717.1134,719.0012,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
1_tooluseinVR,d1-012,1,11,1,11,723.0557,725.5093,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
1_tooluseinVR,d1-012,1,12,1,12,729.5632,734.0052,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T012.csv,,,,,,
1_tooluseinVR,d1-012,1,13,1,13,738.048,738.5588,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T013.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T013.csv,,,,,,
1_tooluseinVR,d1-012,1,14,1,14,742.6123,746.1987,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T014.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T014.csv,,,,,,
1_tooluseinVR,d1-012,1,15,1,15,750.2318,755.1064,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T015.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T015.csv,,,,,,
1_tooluseinVR,d1-012,1,16,1,16,759.149,761.7585,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T016.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T016.csv,,,,,,
1_tooluseinVR,d1-012,1,17,1,17,765.8019,767.8783,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T017.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T017.csv,,,,,,
1_tooluseinVR,d1-012,1,18,1,18,771.9208,772.6427,1_tooluseinVR/d1-012/S001/trackers/landmark/landmarkstimulus_estimates_T018.csv,1_tooluseinVR/d1-012/S001/trackers/landmark/landmark_eyeTrackingData_T018.csv,,,,,,
1_tooluseinVR,d1-012,1,19,2,1,1014.569,1021.435,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T019.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T019.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T019.csv,,,
1_tooluseinVR,d1-012,1,20,2,2,1024.387,1031.673,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T020.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T020.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T020.csv,,,
1_tooluseinVR,d1-012,1,21,2,3,1034.951,1041.215,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T021.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T021.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T021.csv,,,
1_tooluseinVR,d1-012,1,22,2,4,1046.546,1051.842,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T022.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T022.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T022.csv,,,
1_tooluseinVR,d1-012,1,23,2,5,1060.772,1066.359,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T023.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T023.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T023.csv,,,
1_tooluseinVR,d1-012,1,24,2,6,1069.311,1075.132,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T024.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T024.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T024.csv,,,
1_tooluseinVR,d1-012,1,25,2,7,1078.086,1083.704,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T025.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T025.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T025.csv,,,
1_tooluseinVR,d1-012,1,26,2,8,1086.66,1091.892,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T026.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T026.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T026.csv,,,
1_tooluseinVR,d1-012,1,27,2,9,1094.845,1100.809,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T027.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T027.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T027.csv,,,
1_tooluseinVR,d1-012,1,28,2,10,1103.761,1109.638,,,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T028.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T028.csv,1_tooluseinVR/d1-012/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T028.csv,,,
