experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-006,1,1,1,1,355.8594,357.4252,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-006,1,2,1,2,361.4789,363.3667,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-006,1,3,1,3,367.4205,368.5423,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-006,1,4,1,4,372.5959,373.5176,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-006,1,5,1,5,377.5715,381.8914,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-006,1,6,1,6,385.9451,386.6336,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-006,1,7,1,7,390.6875,391.1429,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-006,1,8,1,8,395.1964,396.4296,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-006,1,9,1,9,400.4827,402.7484,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-006,1,10,1,10,406.7996,408.1459,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
1_tooluseinVR,d1-006,1,11,1,11,412.1995,414.2873,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
1_tooluseinVR,d1-006,1,12,1,12,418.33,420.3622,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T012.csv,,,,,,
1_tooluseinVR,d1-006,1,13,1,13,424.4051,425.4044,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T013.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T013.csv,,,,,,
1_tooluseinVR,d1-006,1,14,1,14,429.4579,431.2907,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T014.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T014.csv,,,,,,
1_tooluseinVR,d1-006,1,15,1,15,435.3441,437.8207,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T015.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T015.csv,,,,,,
1_tooluseinVR,d1-006,1,16,1,16,441.8749,445.3508,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T016.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T016.csv,,,,,,
1_tooluseinVR,d1-006,1,17,1,17,449.393,450.226,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T017.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T017.csv,,,,,,
1_tooluseinVR,d1-006,1,18,1,18,454.2796,454.7015,1_tooluseinVR/d1-006/S001/trackers/landmark/landmarkstimulus_estimates_T018.csv,1_tooluseinVR/d1-006/S001/trackers/landmark/landmark_eyeTrackingData_T018.csv,,,,,,
