experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-001,1,1,1,1,735.3072,740.5715,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse,d3-001,1,2,1,2,744.622,745.713,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse,d3-001,1,3,1,3,749.7668,753.6117,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse,d3-001,1,4,1,4,757.663,764.871,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse,d3-001,1,5,1,5,768.9133,774.6995,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse,d3-001,1,6,1,6,778.7531,782.4844,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse,d3-001,1,7,1,7,786.5383,788.171,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse,d3-001,1,8,1,8,792.2245,794.1237,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse,d3-001,1,9,1,9,798.1772,803.4415,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse,d3-001,1,10,1,10,807.4945,810.7493,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
3_avatartooluse,d3-001,1,11,1,11,814.8028,818.559,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T011.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T011.csv,,,,,,,,
3_avatartooluse,d3-001,1,12,1,12,822.6101,827.3301,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T012.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T012.csv,,,,,,,,
3_avatartooluse,d3-001,1,13,1,13,831.3841,833.3846,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T013.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T013.csv,,,,,,,,
3_avatartooluse,d3-001,1,14,1,14,837.4368,841.257,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T014.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T014.csv,,,,,,,,
3_avatartooluse,d3-001,1,15,1,15,845.3106,848.3681,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T015.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T015.csv,,,,,,,,
3_avatartooluse,d3-001,1,16,1,16,852.4189,856.6158,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T016.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T016.csv,,,,,,,,
3_avatartooluse,d3-001,1,17,1,17,860.6702,863.8129,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T017.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T017.csv,,,,,,,,
3_avatartooluse,d3-001,1,18,1,18,867.8668,871.6093,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_estimates_T018.csv,3_avatartooluse/d3-001/S001/trackers/landmark/landmark_gaze_data_T018.csv,,,,,,,,
3_avatartooluse,d3-001,1,19,2,1,1010.588,1021.45,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T019.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T019.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T019.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T019.csv,,,,
3_avatartooluse,d3-001,1,20,2,2,1024.404,1030.89,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T020.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T020.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T020.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T020.csv,,,,
3_avatartooluse,d3-001,1,21,2,3,1033.844,1038.064,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T021.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T021.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T021.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T021.csv,,,,
3_avatartooluse,d3-001,1,22,2,4,1041.018,1045.455,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T022.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T022.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T022.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T022.csv,,,,
3_avatartooluse,d3-001,1,23,2,5,1048.415,1052.635,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T023.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T023.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T023.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T023.csv,,,,
3_avatartooluse,d3-001,1,24,2,6,1055.588,1059.954,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T024.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T024.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T024.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T024.csv,,,,
3_avatartooluse,d3-001,1,25,2,7,1062.908,1066.985,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T025.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T025.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T025.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T025.csv,,,,
3_avatartooluse,d3-001,1,26,2,8,1069.938,1073.87,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T026.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T026.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T026.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T026.csv,,,,
3_avatartooluse,d3-001,1,27,2,9,1076.824,1080.877,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T027.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T027.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T027.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T027.csv,,,,
3_avatartooluse,d3-001,1,28,2,10,1083.832,1087.743,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T028.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T028.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T028.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T028.csv,,,,
3_avatartooluse,d3-001,1,29,2,11,1090.695,1094.638,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T029.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T029.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T029.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T029.csv,,,,
3_avatartooluse,d3-001,1,30,2,12,1097.592,1101.323,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T030.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T030.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T030.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T030.csv,,,,
3_avatartooluse,d3-001,1,31,2,13,1104.277,1108.031,,,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_vrpn_movement_T031.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_gaze_data_T031.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T031.csv,3_avatartooluse/d3-001/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T031.csv,,,,
