participant,block,trial,phase,time_ms,tracker,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,velocity_x,velocity_y,velocity_z
d3-012,1,2,startbuffer,1.0000,right_hand,0.2945,0.8201,-0.7421,0.5460,-0.8003,0.1540,-0.1941,0.0045,0.0019,0.0034
d3-012,1,2,startbuffer,1.0000,right_elbow,0.3118,0.8201,-1.0763,0.2933,-0.2913,0.9102,-0.0251,-0.0017,-0.0003,0.0018
d3-012,1,2,startbuffer,1.0000,stimulus,0.0003,0.8083,-0.3492,0.0083,-0.0103,-0.7057,-0.7082,0.0009,0.0008,-0.0004
d3-012,1,2,startbuffer,1.0000,origin,-0.0018,0.7397,0.0012,0.0003,0.0002,0.6090,0.6138,0.0009,-0.0005,0.0002
d3-012,1,2,startbuffer,6.0000,right_hand,0.2945,0.8201,-0.7422,0.5460,-0.8003,0.1540,-0.1940,0.0046,0.0021,0.0035
d3-012,1,2,startbuffer,6.0000,right_elbow,0.3118,0.8201,-1.0763,0.2933,-0.2913,0.9102,-0.0251,-0.0016,-0.0002,0.0017
d3-012,1,2,startbuffer,6.0000,stimulus,0.0004,0.8083,-0.3492,0.0082,-0.0103,-0.7058,-0.7083,0.0015,0.0000,0.0002
d3-012,1,2,startbuffer,6.0000,origin,-0.0018,0.7397,0.0012,0.0003,0.0002,0.5820,0.5866,0.0011,-0.0004,0.0001
d3-012,1,2,startbuffer,11.0000,right_hand,0.2945,0.8201,-0.7422,0.5460,-0.8004,0.1540,-0.1939,0.0046,0.0021,0.0035
d3-012,1,2,startbuffer,11.0000,right_elbow,0.3117,0.8201,-1.0763,0.2933,-0.2913,0.9102,-0.0251,-0.0020,0.0000,0.0012
d3-012,1,2,startbuffer,11.0000,stimulus,0.0004,0.8083,-0.3492,0.0083,-0.0102,-0.7057,-0.7081,0.0013,-0.0002,0.0003
d3-012,1,2,startbuffer,11.0000,origin,-0.0017,0.7398,0.0012,0.0003,0.0002,0.6136,0.6185,0.0015,-0.0003,0.0001
d3-012,1,2,startbuffer,16.0000,right_hand,0.2941,0.8202,-0.7423,0.5460,-0.8004,0.1539,-0.1937,0.0015,0.0024,0.0036
d3-012,1,2,startbuffer,16.0000,right_elbow,0.3117,0.8201,-1.0763,0.2933,-0.2914,0.9102,-0.0251,-0.0017,0.0000,0.0011
d3-012,1,2,startbuffer,16.0000,stimulus,0.0004,0.8083,-0.3492,0.0083,-0.0102,-0.7057,-0.7082,0.0010,0.0004,-0.0004
d3-012,1,2,startbuffer,16.0000,origin,-0.0017,0.7398,0.0012,0.0003,0.0001,0.6052,0.6099,0.0014,-0.0004,-0.0001
d3-012,1,2,startbuffer,21.0000,right_hand,0.2941,0.8202,-0.7423,0.5460,-0.8004,0.1538,-0.1937,0.0017,0.0024,0.0033
d3-012,1,2,startbuffer,21.0000,right_elbow,0.3117,0.8201,-1.0763,0.2932,-0.2914,0.9102,-0.0251,-0.0013,0.0002,0.0012
d3-012,1,2,startbuffer,21.0000,stimulus,0.0004,0.8083,-0.3492,0.0083,-0.0102,-0.7057,-0.7082,0.0010,0.0004,-0.0004
d3-012,1,2,startbuffer,21.0000,origin,-0.0015,0.7398,0.0011,0.0003,0.0001,0.6341,0.6390,0.0025,-0.0004,0.0009
d3-012,1,2,startbuffer,26.0000,right_hand,0.2939,0.8199,-0.7421,0.5460,-0.8004,0.1538,-0.1937,0.0007,0.0004,0.0013
d3-012,1,2,startbuffer,26.0000,right_elbow,0.3117,0.8201,-1.0763,0.2932,-0.2914,0.9102,-0.0251,-0.0005,0.0002,0.0010
d3-012,1,2,startbuffer,26.0000,stimulus,0.0004,0.8083,-0.3492,0.0083,-0.0102,-0.7057,-0.7081,0.0010,0.0002,-0.0004
d3-012,1,2,startbuffer,26.0000,origin,-0.0015,0.7398,0.0011,0.0003,0.0002,0.6325,0.6374,0.0025,-0.0004,0.0009
d3-012,1,2,startbuffer,31.0000,right_hand,0.2939,0.8199,-0.7421,0.5461,-0.8004,0.1537,-0.1937,0.0007,0.0005,0.0011
d3-012,1,2,startbuffer,31.0000,right_elbow,0.3117,0.8201,-1.0763,0.2932,-0.2914,0.9102,-0.0250,-0.0005,0.0002,0.0010
d3-012,1,2,startbuffer,31.0000,stimulus,0.0004,0.8083,-0.3492,0.0083,-0.0102,-0.7057,-0.7082,0.0008,0.0000,-0.0004
d3-012,1,2,startbuffer,31.0000,origin,-0.0015,0.7398,0.0011,0.0003,0.0002,0.6345,0.6393,0.0024,-0.0002,0.0004
d3-012,1,2,startbuffer,36.0000,right_hand,0.2939,0.8199,-0.7421,0.5461,-0.8004,0.1537,-0.1937,0.0011,0.0006,0.0009
d3-012,1,2,startbuffer,36.0000,right_elbow,0.3117,0.8201,-1.0762,0.2933,-0.2914,0.9102,-0.0250,0.0002,-0.0007,-0.0007
d3-012,1,2,startbuffer,36.0000,stimulus,0.0004,0.8083,-0.3492,0.0083,-0.0103,-0.7057,-0.7081,0.0005,-0.0001,-0.0003
d3-012,1,2,startbuffer,36.0000,origin,-0.0015,0.7398,0.0011,0.0003,0.0002,0.5963,0.6009,0.0022,0.0000,0.0004
d3-012,1,2,startbuffer,41.0000,right_hand,0.2939,0.8199,-0.7421,0.5461,-0.8004,0.1536,-0.1937,0.0013,0.0005,0.0008
d3-012,1,2,startbuffer,41.0000,right_elbow,0.3117,0.8201,-1.0762,0.2933,-0.2914,0.9102,-0.0250,0.0003,-0.0008,-0.0010
d3-012,1,2,startbuffer,41.0000,stimulus,0.0004,0.8083,-0.3492,0.0083,-0.0102,-0.7058,-0.7082,0.0003,-0.0003,-0.0004
d3-012,1,2,startbuffer,41.0000,origin,-0.0015,0.7398,0.0011,0.0003,0.0003,0.6467,0.6517,0.0022,0.0000,0.0004
d3-012,1,2,startbuffer,46.0000,right_hand,0.2939,0.8199,-0.7421,0.5461,-0.8004,0.1536,-0.1938,0.0018,0.0010,0.0008
d3-012,1,2,startbuffer,46.0000,right_elbow,0.3117,0.8201,-1.0762,0.2934,-0.2914,0.9101,-0.0250,0.0004,-0.0008,-0.0008
d3-012,1,2,startbuffer,46.0000,stimulus,0.0004,0.8083,-0.3492,0.0083,-0.0102,-0.7057,-0.7081,-0.0001,-0.0002,-0.0005
d3-012,1,2,startbuffer,46.0000,origin,-0.0015,0.7398,0.0011,0.0003,0.0002,0.5964,0.6010,0.0017,0.0001,0.0003
d3-012,1,2,startbuffer,51.0000,right_hand,0.2940,0.8199,-0.7421,0.5462,-0.8003,0.1536,-0.1938,0.0018,0.0010,0.0008
d3-012,1,2,startbuffer,51.0000,right_elbow,0.3118,0.8201,-1.0762,0.2934,-0.2914,0.9101,-0.0250,0.0008,-0.0005,-0.0009
d3-012,1,2,startbuffer,51.0000,stimulus,0.0004,0.8083,-0.3491,0.0083,-0.0102,-0.7057,-0.7081,-0.0004,-0.0004,-0.0007
d3-012,1,2,startbuffer,51.0000,origin,-0.0015,0.7398,0.0012,0.0003,0.0002,0.5941,0.5987,0.0014,-0.0001,-0.0003
d3-012,1,2,startbuffer,56.0000,right_hand,0.2940,0.8198,-0.7419,0.5463,-0.8003,0.1535,-0.1938,0.0025,0.0002,-0.0015
d3-012,1,2,startbuffer,56.0000,right_elbow,0.3118,0.8201,-1.0762,0.2934,-0.2914,0.9101,-0.0250,0.0010,0.0000,-0.0009
d3-012,1,2,startbuffer,56.0000,stimulus,0.0004,0.8083,-0.3491,0.0083,-0.0102,-0.7057,-0.7081,-0.0005,-0.0003,-0.0008
d3-012,1,2,startbuffer,56.0000,origin,-0.0015,0.7398,0.0012,0.0003,0.0002,0.5652,0.5696,0.0012,0.0000,-0.0002
d3-012,1,2,begin,61.0000,right_hand,0.2940,0.8198,-0.7419,0.5463,-0.8003,0.1536,-0.1939,0.0029,0.0002,-0.0013
d3-012,1,2,begin,61.0000,right_elbow,0.3118,0.8201,-1.0762,0.2935,-0.2914,0.9101,-0.0250,0.0006,0.0003,-0.0007
d3-012,1,2,begin,61.0000,stimulus,0.0004,0.8083,-0.3491,0.0083,-0.0102,-0.7057,-0.7082,-0.0006,-0.0001,-0.0009
d3-012,1,2,begin,61.0000,origin,-0.0015,0.7398,0.0012,0.0003,0.0002,0.6007,0.6054,0.0012,0.0000,-0.0001
d3-012,1,2,begin,66.0000,right_hand,0.2940,0.8198,-0.7419,0.5463,-0.8002,0.1536,-0.1939,0.0030,0.0000,-0.0015
d3-012,1,2,begin,66.0000,right_elbow,0.3118,0.8201,-1.0762,0.2935,-0.2914,0.9101,-0.0250,0.0001,0.0007,-0.0007
d3-012,1,2,begin,66.0000,stimulus,0.0003,0.8083,-0.3491,0.0083,-0.0102,-0.7057,-0.7082,-0.0010,-0.0004,-0.0007
d3-012,1,2,begin,66.0000,origin,-0.0015,0.7398,0.0012,0.0003,0.0002,0.6221,0.6271,0.0010,-0.0004,0.0001
d3-012,1,2,begin,71.0000,right_hand,0.2940,0.8198,-0.7419,0.5463,-0.8002,0.1536,-0.1939,0.0026,-0.0002,-0.0016
d3-012,1,2,begin,71.0000,right_elbow,0.3119,0.8201,-1.0762,0.2936,-0.2915,0.9101,-0.0249,0.0004,0.0011,-0.0005
d3-012,1,2,begin,71.0000,stimulus,0.0003,0.8083,-0.3491,0.0083,-0.0102,-0.7057,-0.7082,-0.0010,-0.0004,-0.0007
d3-012,1,2,begin,71.0000,origin,-0.0015,0.7398,0.0012,0.0003,0.0001,0.6160,0.6209,0.0008,-0.0003,0.0001
d3-012,1,2,begin,76.0000,right_hand,0.2940,0.8198,-0.7419,0.5463,-0.8002,0.1536,-0.1940,0.0026,-0.0002,-0.0016
d3-012,1,2,begin,76.0000,right_elbow,0.3118,0.8201,-1.0762,0.2936,-0.2914,0.9101,-0.0249,-0.0008,0.0020,-0.0005
d3-012,1,2,begin,76.0000,stimulus,0.0003,0.8083,-0.3491,0.0083,-0.0102,-0.7057,-0.7082,-0.0009,-0.0006,-0.0010
d3-012,1,2,begin,76.0000,origin,-0.0015,0.7397,0.0011,0.0003,0.0002,0.6430,0.6481,0.0011,-0.0006,0.0003
d3-012,1,2,begin,80.0000,right_hand,0.2940,0.8198,-0.7419,0.5463,-0.8002,0.1536,-0.1940,0.0019,-0.0002,-0.0013
d3-012,1,2,begin,80.0000,right_elbow,0.3118,0.8201,-1.0762,0.2936,-0.2914,0.9101,-0.0249,-0.0011,0.0024,-0.0004
d3-012,1,2,begin,80.0000,stimulus,0.0003,0.8083,-0.3491,0.0083,-0.0102,-0.7057,-0.7082,-0.0008,-0.0007,-0.0009
d3-012,1,2,begin,80.0000,origin,-0.0015,0.7397,0.0011,0.0003,0.0002,0.6366,0.6415,0.0011,-0.0006,0.0003
d3-012,1,2,begin,85.0000,right_hand,0.2940,0.8198,-0.7419,0.5463,-0.8002,0.1536,-0.1940,0.0019,0.0001,-0.0013
d3-012,1,2,begin,85.0000,right_elbow,0.3118,0.8201,-1.0762,0.2936,-0.2914,0.9101,-0.0248,-0.0014,0.0027,-0.0003
d3-012,1,2,begin,85.0000,stimulus,0.0003,0.8083,-0.3491,0.0083,-0.0102,-0.7057,-0.7082,-0.0009,-0.0009,-0.0008
d3-012,1,2,begin,85.0000,origin,-0.0015,0.7397,0.0011,0.0003,0.0003,0.6620,0.6673,0.0016,-0.0007,0.0001
d3-012,1,2,begin,90.0000,right_hand,0.2940,0.8198,-0.7419,0.5463,-0.8002,0.1536,-0.1940,0.0017,0.0003,-0.0013
d3-012,1,2,begin,90.0000,right_elbow,0.3118,0.8202,-1.0761,0.2935,-0.2914,0.9101,-0.0249,-0.0017,0.0032,-0.0007
d3-012,1,2,begin,90.0000,stimulus,0.0002,0.8084,-0.3491,0.0083,-0.0102,-0.7058,-0.7083,-0.0014,-0.0003,-0.0006
d3-012,1,2,begin,90.0000,origin,-0.0015,0.7399,0.0011,0.0003,0.0002,0.6493,0.6545,0.0015,0.0004,0.0001
d3-012,1,2,begin,95.0000,right_hand,0.2939,0.8199,-0.7420,0.5463,-0.8002,0.1536,-0.1940,0.0011,0.0019,0.0001
d3-012,1,2,begin,95.0000,right_elbow,0.3118,0.8202,-1.0761,0.2935,-0.2914,0.9101,-0.0248,-0.0019,0.0030,-0.0009
d3-012,1,2,begin,95.0000,stimulus,0.0002,0.8084,-0.3491,0.0083,-0.0102,-0.7058,-0.7082,-0.0012,-0.0004,-0.0005
d3-012,1,2,begin,95.0000,origin,-0.0015,0.7399,0.0011,0.0003,0.0002,0.6061,0.6110,0.0022,0.0001,0.0002
d3-012,1,2,begin,99.0000,right_hand,0.2939,0.8200,-0.7420,0.5463,-0.8002,0.1536,-0.1940,0.0012,0.0021,0.0004
d3-012,1,2,begin,99.0000,right_elbow,0.3118,0.8202,-1.0761,0.2935,-0.2915,0.9101,-0.0248,-0.0015,0.0029,-0.0009
d3-012,1,2,begin,99.0000,stimulus,0.0002,0.8084,-0.3491,0.0083,-0.0102,-0.7058,-0.7082,-0.0009,-0.0005,-0.0006
d3-012,1,2,begin,99.0000,origin,-0.0015,0.7399,0.0011,0.0003,0.0002,0.6621,0.6673,0.0022,0.0001,0.0002
d3-012,1,2,begin,104.0000,right_hand,0.2939,0.8200,-0.7420,0.5463,-0.8002,0.1537,-0.1939,0.0011,0.0022,0.0004
d3-012,1,2,begin,104.0000,right_elbow,0.3118,0.8202,-1.0761,0.2934,-0.2915,0.9101,-0.0248,-0.0013,0.0025,-0.0010
d3-012,1,2,begin,104.0000,stimulus,0.0002,0.8084,-0.3491,0.0083,-0.0102,-0.7058,-0.7082,-0.0007,-0.0003,-0.0006
d3-012,1,2,begin,104.0000,origin,-0.0014,0.7399,0.0011,0.0003,0.0001,0.5824,0.5870,0.0027,-0.0005,0.0001
d3-012,1,2,begin,109.0000,right_hand,0.2939,0.8200,-0.7420,0.5463,-0.8002,0.1537,-0.1939,0.0012,0.0022,0.0006
d3-012,1,2,begin,109.0000,right_elbow,0.3118,0.8202,-1.0761,0.2934,-0.2915,0.9101,-0.0248,-0.0012,0.0024,-0.0013
d3-012,1,2,begin,109.0000,stimulus,0.0003,0.8084,-0.3492,0.0083,-0.0102,-0.7057,-0.7082,0.0001,-0.0003,0.0003
