participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
d1-020,1,3,wrist,0.2768,0.7356,-1.4393,0.0000,0,start
d1-020,1,3,wrist,0.2723,0.7550,-1.4455,0.0000,4.9862,start
d1-020,1,3,wrist,0.2721,0.7553,-1.4455,0.0000,9.9736,start
d1-020,1,3,wrist,0.2719,0.7554,-1.4455,0.0000,14.9599,start
d1-020,1,3,wrist,0.2719,0.7554,-1.4455,0.0000,19.9462,start
d1-020,1,3,wrist,0.2720,0.7554,-1.4455,0.0000,24.933,start
d1-020,1,3,wrist,0.2720,0.7554,-1.4455,0.0000,29.9192,start
d1-020,1,3,wrist,0.2721,0.7552,-1.4456,0.0000,34.9066,start
d1-020,1,3,wrist,0.2719,0.7555,-1.4455,0.0000,39.8937,start
d1-020,1,3,wrist,0.2719,0.7555,-1.4455,0.0000,44.8804,start
d1-020,1,3,wrist,0.2719,0.7555,-1.4455,0.0000,49.8668,start
d1-020,1,3,wrist,0.2719,0.7555,-1.4455,0.0000,54.8533,start
d1-020,1,3,wrist,0.2719,0.7555,-1.4455,0.0000,59.8408,begin
d1-020,1,3,wrist,0.2717,0.7557,-1.4455,0.0000,64.8272,begin
d1-020,1,3,wrist,0.2717,0.7557,-1.4455,0.0000,69.8134,begin
d1-020,1,3,wrist,0.2721,0.7552,-1.4457,0.0000,74.7994,begin
d1-020,1,3,wrist,0.2721,0.7551,-1.4458,0.0000,79.7864,begin
d1-020,1,3,wrist,0.2721,0.7551,-1.4458,0.0000,84.7732,begin
d1-020,1,3,wrist,0.2720,0.7554,-1.4457,0.0000,89.7599,begin
d1-020,1,3,wrist,0.2719,0.7555,-1.4458,0.0000,94.7465,begin
d1-020,1,3,wrist,0.2720,0.7552,-1.4458,0.0000,99.7334,begin
d1-020,1,3,wrist,0.2721,0.7550,-1.4459,0.0000,104.7197,begin
d1-020,1,3,wrist,0.2721,0.7550,-1.4459,0.0000,109.7069,begin
d1-020,1,3,wrist,0.2718,0.7553,-1.4459,0.0000,114.6938,begin
d1-020,1,3,wrist,0.2718,0.7553,-1.4459,0.0000,119.6796,begin
d1-020,1,3,wrist,0.2718,0.7553,-1.4459,0.0000,124.6667,begin
d1-020,1,3,wrist,0.2718,0.7553,-1.4459,0.0000,129.6534,begin
d1-020,1,3,wrist,0.2720,0.7549,-1.4461,0.0000,134.6398,begin
d1-020,1,3,wrist,0.2720,0.7549,-1.4461,0.0000,139.1342,begin
d1-020,1,3,wrist,0.2717,0.7553,-1.4459,0.0000,144.1209,begin
d1-020,1,3,wrist,0.2717,0.7553,-1.4459,0.0000,149.1076,begin
d1-020,1,3,wrist,0.2721,0.7548,-1.4462,0.0000,154.094,begin
