participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-013,5,112,Wrist,0.9979,startbuffer,0.2459,0.7909,-0.7735
d3-013,5,112,Wrist,6.9814,startbuffer,0.2409,0.7907,-0.7747
d3-013,5,112,Wrist,12.9656,startbuffer,0.2411,0.7899,-0.7745
d3-013,5,112,Wrist,18.9494,startbuffer,0.2411,0.7899,-0.7745
d3-013,5,112,Wrist,24.4740,startbuffer,0.2408,0.7908,-0.7746
d3-013,5,112,Wrist,30.4535,startbuffer,0.2408,0.7908,-0.7746
d3-013,5,112,Wrist,36.4372,startbuffer,0.2410,0.7900,-0.7746
d3-013,5,112,Wrist,42.4213,startbuffer,0.2410,0.7900,-0.7746
d3-013,5,112,Wrist,48.4055,startbuffer,0.2408,0.7906,-0.7745
d3-013,5,112,Wrist,54.3896,begin,0.2408,0.7908,-0.7746
d3-013,5,112,Wrist,60.3734,begin,0.2408,0.7908,-0.7746
d3-013,5,112,Wrist,66.3577,begin,0.2410,0.7903,-0.7743
d3-013,5,112,Wrist,72.3414,begin,0.2410,0.7904,-0.7745
d3-013,5,112,Wrist,78.3286,begin,0.2408,0.7909,-0.7745
d3-013,5,112,Wrist,84.3121,begin,0.2408,0.7909,-0.7745
d3-013,5,112,Wrist,90.2973,begin,0.2408,0.7905,-0.7743
d3-013,5,112,Wrist,95.8263,begin,0.2408,0.7905,-0.7743
d3-013,5,112,Wrist,101.8104,begin,0.2408,0.7908,-0.7745
d3-013,5,112,Wrist,107.7940,begin,0.2409,0.7909,-0.7745
d3-013,5,112,Wrist,113.7782,begin,0.2411,0.7905,-0.7744
d3-013,5,112,Wrist,119.7622,begin,0.2411,0.7903,-0.7743
d3-013,5,112,Wrist,125.7459,begin,0.2410,0.7906,-0.7744
d3-013,5,112,Wrist,131.7309,begin,0.2411,0.7907,-0.7745
d3-013,5,112,Wrist,137.7141,begin,0.2411,0.7907,-0.7745
d3-013,5,112,Wrist,143.6985,begin,0.2411,0.7903,-0.7743
d3-013,5,112,Wrist,149.6823,begin,0.2412,0.7901,-0.7743
d3-013,5,112,Wrist,155.6663,begin,0.2410,0.7908,-0.7745
d3-013,5,112,Wrist,161.6502,begin,0.2409,0.7908,-0.7745
d3-013,5,112,Wrist,167.6344,begin,0.2412,0.7901,-0.7743
d3-013,5,112,Wrist,173.6178,begin,0.2412,0.7901,-0.7744
d3-013,5,112,Wrist,179.1651,begin,0.2410,0.7907,-0.7744
d3-013,5,112,Wrist,185.1493,begin,0.2410,0.7908,-0.7745
d3-013,5,112,Wrist,191.1332,begin,0.2411,0.7904,-0.7744
d3-013,5,112,Wrist,197.1171,begin,0.2412,0.7900,-0.7744
d3-013,5,112,Wrist,203.1010,begin,0.2412,0.7902,-0.7745
d3-013,5,112,Wrist,209.0849,begin,0.2412,0.7904,-0.7746
d3-013,5,112,Wrist,215.0692,begin,0.2412,0.7904,-0.7746
d3-013,5,112,Wrist,221.0534,begin,0.2412,0.7900,-0.7744
d3-013,5,112,Wrist,226.7947,begin,0.2412,0.7900,-0.7744
d3-013,5,112,Wrist,232.7792,begin,0.2412,0.7900,-0.7744
d3-013,5,112,Wrist,238.3073,begin,0.2410,0.7907,-0.7746
d3-013,5,112,Wrist,244.2787,begin,0.2410,0.7907,-0.7746
d3-013,5,112,Wrist,250.2627,begin,0.2412,0.7900,-0.7744
d3-013,5,112,Wrist,256.2468,begin,0.2412,0.7900,-0.7744
d3-013,5,112,Wrist,262.2305,begin,0.2410,0.7907,-0.7746
d3-013,5,112,Wrist,268.2147,begin,0.2410,0.7907,-0.7746
d3-013,5,112,Wrist,274.1991,begin,0.2412,0.7902,-0.7745
d3-013,5,112,Wrist,280.1821,begin,0.2413,0.7899,-0.7744
d3-013,5,112,Wrist,285.2813,begin,0.2413,0.7899,-0.7744
d3-013,5,112,Wrist,291.2653,begin,0.2413,0.7899,-0.7744
d3-013,5,112,Wrist,297.2489,begin,0.2413,0.7899,-0.7744
d3-013,5,112,Wrist,303.2326,begin,0.2413,0.7899,-0.7745
d3-013,5,112,Wrist,309.2172,begin,0.2413,0.7899,-0.7745
d3-013,5,112,Wrist,315.2011,begin,0.2410,0.7906,-0.7746
d3-013,5,112,Wrist,321.1854,begin,0.2410,0.7906,-0.7747
d3-013,5,112,Wrist,326.8456,begin,0.2413,0.7900,-0.7745
d3-013,5,112,Wrist,332.8295,begin,0.2413,0.7899,-0.7745
d3-013,5,112,Wrist,338.8136,begin,0.2411,0.7904,-0.7746
d3-013,5,112,Wrist,344.5575,begin,0.2411,0.7906,-0.7746
