participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
d1-016,2,22,wrist,0.2760,0.7230,-1.4553,0.0000,0,start
d1-016,2,22,wrist,0.2801,0.7169,-1.4589,0.0000,4.9875,start
d1-016,2,22,wrist,0.2801,0.7169,-1.4589,0.0000,9.9745,start
d1-016,2,22,wrist,0.2801,0.7169,-1.4589,0.0000,14.9615,start
d1-016,2,22,wrist,0.2803,0.7166,-1.4590,0.0000,19.9491,start
d1-016,2,22,wrist,0.2803,0.7166,-1.4591,0.0000,24.9364,start
d1-016,2,22,wrist,0.2802,0.7172,-1.4590,0.0000,29.9241,start
d1-016,2,22,wrist,0.2802,0.7172,-1.4590,0.0000,34.9123,start
d1-016,2,22,wrist,0.2806,0.7167,-1.4590,0.0000,39.8988,start
d1-016,2,22,wrist,0.2810,0.7166,-1.4592,0.0000,44.0838,start
d1-016,2,22,wrist,0.2811,0.7166,-1.4592,0.0000,49.0714,start
d1-016,2,22,wrist,0.2811,0.7166,-1.4592,0.0000,54.0594,start
d1-016,2,22,wrist,0.2809,0.7170,-1.4591,0.0000,59.0462,start
d1-016,2,22,wrist,0.2810,0.7170,-1.4590,0.0000,64.0332,begin
d1-016,2,22,wrist,0.2811,0.7167,-1.4592,0.0000,69.0207,begin
d1-016,2,22,wrist,0.2811,0.7167,-1.4592,0.0000,73.6137,begin
d1-016,2,22,wrist,0.2811,0.7167,-1.4592,0.0000,77.9983,begin
d1-016,2,22,wrist,0.2807,0.7174,-1.4591,0.0000,82.9857,begin
d1-016,2,22,wrist,0.2806,0.7175,-1.4591,0.0000,87.9734,begin
d1-016,2,22,wrist,0.2808,0.7171,-1.4592,0.0000,92.9599,begin
d1-016,2,22,wrist,0.2808,0.7171,-1.4592,0.0000,97.948,begin
d1-016,2,22,wrist,0.2808,0.7171,-1.4592,0.0000,102.9349,begin
d1-016,2,22,wrist,0.2807,0.7173,-1.4592,0.0000,107.9222,begin
d1-016,2,22,wrist,0.2806,0.7175,-1.4591,0.0000,112.9099,begin
d1-016,2,22,wrist,0.2810,0.7170,-1.4591,0.0000,117.8975,begin
d1-016,2,22,wrist,0.2810,0.7168,-1.4592,0.0000,122.8852,begin
d1-016,2,22,wrist,0.2810,0.7168,-1.4592,0.0000,127.8716,begin
d1-016,2,22,wrist,0.2810,0.7168,-1.4592,0.0000,132.8595,begin
d1-016,2,22,wrist,0.2807,0.7175,-1.4590,0.0000,137.8472,begin
d1-016,2,22,wrist,0.2806,0.7175,-1.4591,0.0000,142.8349,begin
d1-016,2,22,wrist,0.2806,0.7175,-1.4591,0.0000,147.8212,begin
d1-016,2,22,wrist,0.2806,0.7175,-1.4591,0.0000,152.8086,begin
d1-016,2,22,wrist,0.2806,0.7175,-1.4591,0.0000,157.7961,begin
d1-016,2,22,wrist,0.2803,0.7174,-1.4590,0.0000,162.7844,begin
d1-016,2,22,wrist,0.2803,0.7175,-1.4589,0.0000,167.7724,begin
d1-016,2,22,wrist,0.2807,0.7169,-1.4590,0.0000,172.7582,begin
d1-016,2,22,wrist,0.2807,0.7169,-1.4590,0.0000,177.7468,begin
d1-016,2,22,wrist,0.2811,0.7169,-1.4591,0.0000,182.7332,begin
d1-016,2,22,wrist,0.2811,0.7169,-1.4591,0.0000,187.8531,begin
d1-016,2,22,wrist,0.2811,0.7169,-1.4591,0.0000,192.2166,begin
