participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-017,2,27,Wrist,0.9979,startbuffer,0.2984,0.8030,-0.6636
d3-017,2,27,Wrist,6.9816,startbuffer,0.2986,0.8021,-0.6639
d3-017,2,27,Wrist,12.9660,startbuffer,0.2984,0.8022,-0.6639
d3-017,2,27,Wrist,18.4586,startbuffer,0.2984,0.8022,-0.6639
d3-017,2,27,Wrist,24.4433,startbuffer,0.2984,0.8022,-0.6639
d3-017,2,27,Wrist,30.4278,startbuffer,0.2984,0.8022,-0.6639
d3-017,2,27,Wrist,36.4119,startbuffer,0.2984,0.8022,-0.6639
d3-017,2,27,Wrist,42.3968,startbuffer,0.2984,0.8022,-0.6639
d3-017,2,27,Wrist,47.9660,startbuffer,0.2988,0.8019,-0.6638
d3-017,2,27,Wrist,53.9501,startbuffer,0.2988,0.8019,-0.6638
d3-017,2,27,Wrist,59.4449,begin,0.2985,0.8022,-0.6639
d3-017,2,27,Wrist,65.4286,begin,0.2984,0.8023,-0.6639
d3-017,2,27,Wrist,71.4134,begin,0.2986,0.8021,-0.6639
d3-017,2,27,Wrist,77.3978,begin,0.2987,0.8020,-0.6639
d3-017,2,27,Wrist,83.3825,begin,0.2985,0.8021,-0.6639
d3-017,2,27,Wrist,89.3664,begin,0.2984,0.8023,-0.6639
d3-017,2,27,Wrist,95.3511,begin,0.2985,0.8021,-0.6639
d3-017,2,27,Wrist,101.3355,begin,0.2987,0.8020,-0.6639
d3-017,2,27,Wrist,107.3200,begin,0.2987,0.8020,-0.6639
d3-017,2,27,Wrist,113.3042,begin,0.2984,0.8023,-0.6639
d3-017,2,27,Wrist,119.2886,begin,0.2984,0.8023,-0.6639
d3-017,2,27,Wrist,125.2730,begin,0.2987,0.8019,-0.6638
d3-017,2,27,Wrist,130.3188,begin,0.2987,0.8019,-0.6638
d3-017,2,27,Wrist,136.3032,begin,0.2987,0.8019,-0.6638
d3-017,2,27,Wrist,142.2877,begin,0.2984,0.8023,-0.6639
d3-017,2,27,Wrist,148.2728,begin,0.2984,0.8023,-0.6639
d3-017,2,27,Wrist,154.2565,begin,0.2987,0.8019,-0.6638
d3-017,2,27,Wrist,160.2415,begin,0.2987,0.8019,-0.6638
d3-017,2,27,Wrist,166.2254,begin,0.2984,0.8023,-0.6639
d3-017,2,27,Wrist,172.2098,begin,0.2984,0.8023,-0.6639
d3-017,2,27,Wrist,178.1938,begin,0.2986,0.8021,-0.6639
d3-017,2,27,Wrist,184.1790,begin,0.2986,0.8021,-0.6639
d3-017,2,27,Wrist,190.1630,begin,0.2986,0.8020,-0.6639
d3-017,2,27,Wrist,196.1476,begin,0.2986,0.8021,-0.6639
d3-017,2,27,Wrist,202.1318,begin,0.2986,0.8021,-0.6639
d3-017,2,27,Wrist,208.1164,begin,0.2988,0.8019,-0.6639
d3-017,2,27,Wrist,214.1007,begin,0.2988,0.8019,-0.6639
d3-017,2,27,Wrist,220.0851,begin,0.2984,0.8024,-0.6640
d3-017,2,27,Wrist,226.0696,begin,0.2984,0.8024,-0.6640
d3-017,2,27,Wrist,233.1339,begin,0.2987,0.8020,-0.6640
d3-017,2,27,Wrist,239.1185,begin,0.2987,0.8020,-0.6640
d3-017,2,27,Wrist,245.1032,begin,0.2984,0.8024,-0.6641
d3-017,2,27,Wrist,251.0876,begin,0.2984,0.8024,-0.6641
d3-017,2,27,Wrist,257.0719,begin,0.2984,0.8024,-0.6641
d3-017,2,27,Wrist,263.0562,begin,0.2984,0.8024,-0.6641
d3-017,2,27,Wrist,269.0405,begin,0.2985,0.8022,-0.6641
d3-017,2,27,Wrist,275.0249,begin,0.2983,0.8025,-0.6641
d3-017,2,27,Wrist,281.0092,begin,0.2983,0.8025,-0.6641
d3-017,2,27,Wrist,286.9936,begin,0.2987,0.8020,-0.6640
d3-017,2,27,Wrist,292.9783,begin,0.2987,0.8020,-0.6640
d3-017,2,27,Wrist,298.9624,begin,0.2982,0.8025,-0.6640
d3-017,2,27,Wrist,304.9471,begin,0.2982,0.8025,-0.6640
d3-017,2,27,Wrist,310.4399,begin,0.2985,0.8021,-0.6640
d3-017,2,27,Wrist,316.4244,begin,0.2986,0.8021,-0.6640
d3-017,2,27,Wrist,322.4082,begin,0.2983,0.8023,-0.6640
d3-017,2,27,Wrist,328.3931,begin,0.2983,0.8024,-0.6640
d3-017,2,27,Wrist,334.3775,begin,0.2983,0.8024,-0.6640
