participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-023,2,20,Wrist,0.0000,startbuffer,0.2815,0.7926,-0.7392
d3-023,2,20,Wrist,5.9836,startbuffer,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,11.9679,startbuffer,0.2796,0.7929,-0.7409
d3-023,2,20,Wrist,17.9525,startbuffer,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,23.9359,startbuffer,0.2800,0.7925,-0.7409
d3-023,2,20,Wrist,29.9197,startbuffer,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,35.9038,startbuffer,0.2800,0.7925,-0.7410
d3-023,2,20,Wrist,41.8877,startbuffer,0.2799,0.7926,-0.7411
d3-023,2,20,Wrist,47.8717,startbuffer,0.2798,0.7928,-0.7410
d3-023,2,20,Wrist,53.8566,startbuffer,0.2799,0.7926,-0.7411
d3-023,2,20,Wrist,59.8397,startbuffer,0.2799,0.7926,-0.7411
d3-023,2,20,Wrist,65.8242,begin,0.2797,0.7929,-0.7409
d3-023,2,20,Wrist,71.3171,begin,0.2797,0.7930,-0.7410
d3-023,2,20,Wrist,77.3012,begin,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,83.2848,begin,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,89.2698,begin,0.2798,0.7928,-0.7409
d3-023,2,20,Wrist,95.2532,begin,0.2797,0.7930,-0.7409
d3-023,2,20,Wrist,101.2373,begin,0.2800,0.7925,-0.7409
d3-023,2,20,Wrist,107.2215,begin,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,113.2051,begin,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,119.1891,begin,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,125.1732,begin,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,131.1572,begin,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,137.1408,begin,0.2801,0.7923,-0.7409
d3-023,2,20,Wrist,143.1256,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,149.1091,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,155.0931,begin,0.2799,0.7923,-0.7409
d3-023,2,20,Wrist,161.0771,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,167.0614,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,173.0452,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,179.0291,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,185.0133,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,190.9971,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,196.9812,begin,0.2797,0.7927,-0.7409
d3-023,2,20,Wrist,202.9651,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,208.9491,begin,0.2797,0.7928,-0.7410
d3-023,2,20,Wrist,214.9327,begin,0.2798,0.7927,-0.7411
d3-023,2,20,Wrist,220.9200,begin,0.2798,0.7927,-0.7411
d3-023,2,20,Wrist,226.9040,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,232.8882,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,238.8718,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,244.8565,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,250.8399,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,256.8242,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,262.4506,begin,0.2799,0.7925,-0.7409
d3-023,2,20,Wrist,268.4345,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,274.4188,begin,0.2797,0.7927,-0.7409
d3-023,2,20,Wrist,280.4026,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,286.3866,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,292.3705,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,298.3546,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,304.3384,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,310.3232,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,316.3065,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,322.2908,begin,0.2800,0.7923,-0.7409
d3-023,2,20,Wrist,328.2745,begin,0.2796,0.7929,-0.7409
d3-023,2,20,Wrist,334.2585,begin,0.2796,0.7929,-0.7409
d3-023,2,20,Wrist,340.2424,begin,0.2798,0.7925,-0.7409
d3-023,2,20,Wrist,346.2261,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,352.2105,begin,0.2797,0.7927,-0.7409
d3-023,2,20,Wrist,358.1945,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,364.1784,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,370.1624,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,376.1467,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,382.1304,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,388.1148,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,394.0986,begin,0.2799,0.7924,-0.7409
d3-023,2,20,Wrist,400.0825,begin,0.2799,0.7923,-0.7409
d3-023,2,20,Wrist,406.0667,begin,0.2797,0.7929,-0.7409
d3-023,2,20,Wrist,412.0505,begin,0.2796,0.7930,-0.7409
d3-023,2,20,Wrist,418.0344,begin,0.2798,0.7926,-0.7409
d3-023,2,20,Wrist,424.0188,begin,0.2798,0.7926,-0.7407
d3-023,2,20,Wrist,430.0024,begin,0.2797,0.7927,-0.7409
d3-023,2,20,Wrist,435.9864,begin,0.2796,0.7930,-0.7408
d3-023,2,20,Wrist,441.9707,begin,0.2796,0.7930,-0.7408
d3-023,2,20,Wrist,447.9544,begin,0.2798,0.7927,-0.7406
d3-023,2,20,Wrist,453.9387,begin,0.2798,0.7927,-0.7406
d3-023,2,20,Wrist,459.9224,begin,0.2796,0.7930,-0.7408
d3-023,2,20,Wrist,465.9064,begin,0.2796,0.7930,-0.7408
d3-023,2,20,Wrist,471.3253,begin,0.2796,0.7930,-0.7408
d3-023,2,20,Wrist,477.3091,begin,0.2798,0.7926,-0.7407
d3-023,2,20,Wrist,483.2932,begin,0.2798,0.7926,-0.7407
d3-023,2,20,Wrist,489.2774,begin,0.2796,0.7930,-0.7408
d3-023,2,20,Wrist,495.2614,begin,0.2796,0.7930,-0.7408
d3-023,2,20,Wrist,501.2452,begin,0.2798,0.7926,-0.7407
d3-023,2,20,Wrist,507.2288,begin,0.2798,0.7926,-0.7407
d3-023,2,20,Wrist,513.2133,begin,0.2796,0.7929,-0.7409
d3-023,2,20,Wrist,519.1973,begin,0.2796,0.7929,-0.7409
d3-023,2,20,Wrist,525.1812,begin,0.2796,0.7929,-0.7409
d3-023,2,20,Wrist,531.1651,begin,0.2798,0.7926,-0.7407
d3-023,2,20,Wrist,537.1492,begin,0.2798,0.7926,-0.7407
d3-023,2,20,Wrist,543.1336,begin,0.2795,0.7932,-0.7409
d3-023,2,20,Wrist,549.1172,begin,0.2795,0.7932,-0.7409
d3-023,2,20,Wrist,555.1015,begin,0.2796,0.7930,-0.7407
d3-023,2,20,Wrist,561.0853,begin,0.2796,0.7929,-0.7407
d3-023,2,20,Wrist,567.0695,begin,0.2796,0.7932,-0.7409
d3-023,2,20,Wrist,573.0534,begin,0.2792,0.7926,-0.7416
d3-023,2,20,Wrist,579.0374,begin,0.2794,0.7925,-0.7419
d3-023,2,20,Wrist,585.0212,begin,0.2787,0.7925,-0.7425
d3-023,2,20,Wrist,591.0083,begin,0.2787,0.7927,-0.7428
d3-023,2,20,Wrist,596.9922,begin,0.2786,0.7930,-0.7433
d3-023,2,20,Wrist,602.9762,begin,0.2789,0.7933,-0.7438
d3-023,2,20,Wrist,608.9603,begin,0.2794,0.7933,-0.7438
d3-023,2,20,Wrist,614.9443,begin,0.2798,0.7938,-0.7445
d3-023,2,20,Wrist,620.5410,begin,0.2795,0.7943,-0.7451
d3-023,2,20,Wrist,626.5246,begin,0.2798,0.7951,-0.7458
d3-023,2,20,Wrist,632.5088,begin,0.2799,0.7951,-0.7460
d3-023,2,20,Wrist,638.4925,begin,0.2800,0.7958,-0.7466
d3-023,2,20,Wrist,644.4769,begin,0.2799,0.7966,-0.7470
d3-023,2,20,Wrist,650.4605,begin,0.2798,0.7977,-0.7476
d3-023,2,20,Wrist,656.4447,begin,0.2797,0.7989,-0.7482
d3-023,2,20,Wrist,662.4286,begin,0.2797,0.7995,-0.7483
d3-023,2,20,Wrist,668.4125,begin,0.2792,0.8013,-0.7492
d3-023,2,20,Wrist,674.3965,begin,0.2788,0.8029,-0.7498
d3-023,2,20,Wrist,679.8906,begin,0.2786,0.8040,-0.7501
d3-023,2,20,Wrist,685.8746,begin,0.2780,0.8057,-0.7505
d3-023,2,20,Wrist,691.3678,begin,0.2777,0.8070,-0.7509
d3-023,2,20,Wrist,697.3518,begin,0.2764,0.8101,-0.7516
d3-023,2,20,Wrist,703.3357,begin,0.2758,0.8115,-0.7518
d3-023,2,20,Wrist,709.3196,begin,0.2749,0.8142,-0.7521
d3-023,2,20,Wrist,715.3037,begin,0.2744,0.8153,-0.7521
d3-023,2,20,Wrist,721.2881,begin,0.2736,0.8170,-0.7522
d3-023,2,20,Wrist,727.2717,begin,0.2720,0.8206,-0.7524
d3-023,2,20,Wrist,733.2564,begin,0.2713,0.8223,-0.7524
d3-023,2,20,Wrist,739.2395,begin,0.2698,0.8251,-0.7522
d3-023,2,20,Wrist,745.2242,begin,0.2692,0.8266,-0.7520
d3-023,2,20,Wrist,751.2078,begin,0.2670,0.8306,-0.7518
d3-023,2,20,Wrist,757.1925,out,0.2663,0.8322,-0.7515
d3-023,2,20,Wrist,763.1759,out,0.2652,0.8339,-0.7514
d3-023,2,20,Wrist,769.1598,out,0.2645,0.8351,-0.7507
d3-023,2,20,Wrist,775.1439,out,0.2626,0.8384,-0.7500
d3-023,2,20,Wrist,781.1278,out,0.2603,0.8423,-0.7494
d3-023,2,20,Wrist,786.6049,out,0.2593,0.8439,-0.7489
d3-023,2,20,Wrist,792.1210,out,0.2583,0.8453,-0.7482
d3-023,2,20,Wrist,798.1051,out,0.2563,0.8483,-0.7470
d3-023,2,20,Wrist,804.0889,out,0.2554,0.8500,-0.7466
d3-023,2,20,Wrist,810.0729,out,0.2529,0.8536,-0.7453
d3-023,2,20,Wrist,816.0570,out,0.2518,0.8551,-0.7444
d3-023,2,20,Wrist,822.0411,out,0.2498,0.8576,-0.7429
d3-023,2,20,Wrist,828.0251,out,0.2487,0.8591,-0.7421
d3-023,2,20,Wrist,834.0091,out,0.2464,0.8626,-0.7404
d3-023,2,20,Wrist,839.9939,out,0.2452,0.8642,-0.7395
d3-023,2,20,Wrist,845.9770,out,0.2443,0.8650,-0.7384
d3-023,2,20,Wrist,851.9613,out,0.2422,0.8678,-0.7363
d3-023,2,20,Wrist,857.9450,out,0.2409,0.8694,-0.7355
d3-023,2,20,Wrist,863.9291,out,0.2384,0.8725,-0.7335
d3-023,2,20,Wrist,869.9128,out,0.2372,0.8736,-0.7321
d3-023,2,20,Wrist,875.8969,out,0.2351,0.8758,-0.7298
d3-023,2,20,Wrist,881.8808,out,0.2339,0.8771,-0.7288
d3-023,2,20,Wrist,886.9601,out,0.2325,0.8789,-0.7275
d3-023,2,20,Wrist,894.9290,out,0.2300,0.8813,-0.7248
d3-023,2,20,Wrist,900.9131,out,0.2278,0.8832,-0.7218
d3-023,2,20,Wrist,906.8973,out,0.2267,0.8843,-0.7205
d3-023,2,20,Wrist,912.8811,out,0.2254,0.8862,-0.7190
d3-023,2,20,Wrist,918.0776,out,0.2228,0.8885,-0.7159
d3-023,2,20,Wrist,924.0612,out,0.2218,0.8894,-0.7139
d3-023,2,20,Wrist,930.0453,out,0.2193,0.8915,-0.7106
d3-023,2,20,Wrist,936.0286,out,0.2181,0.8930,-0.7092
d3-023,2,20,Wrist,942.0131,out,0.2166,0.8945,-0.7075
d3-023,2,20,Wrist,947.9965,out,0.2140,0.8968,-0.7036
d3-023,2,20,Wrist,953.9807,out,0.2131,0.8976,-0.7017
d3-023,2,20,Wrist,959.9650,out,0.2104,0.9001,-0.6984
d3-023,2,20,Wrist,965.9490,out,0.2087,0.9015,-0.6966
d3-023,2,20,Wrist,971.9331,out,0.2061,0.9038,-0.6927
d3-023,2,20,Wrist,977.9170,out,0.2048,0.9043,-0.6907
d3-023,2,20,Wrist,983.9013,out,0.2035,0.9052,-0.6887
d3-023,2,20,Wrist,989.0890,out,0.2005,0.9078,-0.6849
d3-023,2,20,Wrist,995.0737,out,0.1993,0.9086,-0.6826
d3-023,2,20,Wrist,1001.0570,out,0.1967,0.9099,-0.6776
d3-023,2,20,Wrist,1007.0411,out,0.1954,0.9104,-0.6755
d3-023,2,20,Wrist,1013.0252,out,0.1941,0.9113,-0.6730
d3-023,2,20,Wrist,1019.0093,out,0.1914,0.9130,-0.6682
d3-023,2,20,Wrist,1024.9930,out,0.1901,0.9134,-0.6657
d3-023,2,20,Wrist,1030.9771,out,0.1878,0.9141,-0.6600
d3-023,2,20,Wrist,1036.9609,out,0.1865,0.9145,-0.6574
d3-023,2,20,Wrist,1042.9450,out,0.1837,0.9157,-0.6523
d3-023,2,20,Wrist,1048.9288,out,0.1823,0.9162,-0.6495
d3-023,2,20,Wrist,1054.9131,out,0.1794,0.9161,-0.6436
d3-023,2,20,Wrist,1060.8971,out,0.1783,0.9163,-0.6409
d3-023,2,20,Wrist,1066.8810,out,0.1764,0.9167,-0.6382
