experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-024,2,1,1,1,136.9305,141.7668,0,0,0,0.134286,2.49,0.144669,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T001.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T001.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T001.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T001.csv,,,,,,
3_avatartooluse,d3-024,2,2,1,2,144.7269,148.6405,0,0,0,0.134286,1.91,0.144669,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T002.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T002.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T002.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T002.csv,,,,,,
3_avatartooluse,d3-024,2,3,1,3,151.6012,155.2335,0,0,0,0.126487,1.91,0.141659,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T003.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T003.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T003.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T003.csv,,,,,,
3_avatartooluse,d3-024,2,4,1,4,158.1874,162.5296,0,0,0,0.126164,1.91,0.144058,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T004.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T004.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T004.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T004.csv,,,,,,
3_avatartooluse,d3-024,2,5,1,5,165.4886,169.3979,0,0,0,0.126164,1.91,0.144058,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T005.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T005.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T005.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T005.csv,,,,,,
3_avatartooluse,d3-024,2,6,1,6,172.3522,176.2693,0,0,0,0.126226,1.91,0.146324,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T006.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T006.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T006.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T006.csv,,,,,,
3_avatartooluse,d3-024,2,7,1,7,179.2271,183.1446,0,0,0,0.124218,1.91,0.141289,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T007.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T007.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T007.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T007.csv,,,,,,
3_avatartooluse,d3-024,2,8,1,8,186.0976,189.8759,0,0,0,0.123098,1.91,0.142178,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T008.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T008.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T008.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T008.csv,,,,,,
3_avatartooluse,d3-024,2,9,1,9,192.8277,196.5583,0,0,0,0.123098,1.91,0.142178,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T009.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T009.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T009.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T009.csv,,,,,,
3_avatartooluse,d3-024,2,10,1,10,199.5172,203.2551,0,0,0,0.123326,1.91,0.143108,1,1,1,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_vrpn_movement_T010.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_gaze_data_T010.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T010.csv,3_avatartooluse/d3-024/S002/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T010.csv,,,,,,
