ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d2-024,15,post,second,977.7402611791013,450,3262.4056220517077,-2948.4231202061787,115,625
d2-024,15,pre,pre,809.9187394737567,545,2207.8852747086476,-2077.742346845801,220,720
d2-024,16,post,second,1033.9080631610834,445,4078.3807878352814,-3474.780862957139,235,605
d2-024,16,pre,pre,793.4721353702755,620,2003.1162203106603,-2004.693546811857,400,715
d2-024,17,post,second,861.2967475258688,540,3089.6082760452423,-2381.8675542510864,175,855
d2-024,17,pre,pre,734.4306713698849,490,2421.3660960212756,-1458.650603922647,175,730
d2-024,18,post,second,1055.4700581390957,390,4064.9393735748267,-3948.400733309557,220,540
d2-024,18,pre,pre,887.3723127674548,495,3389.5283913680305,-2771.7758254145165,225,645
d2-025,1,post,second,862.9327898384763,415,3502.8393482876463,-2339.6523011331938,155,495
d2-025,1,pre,pre,945.8769328211127,475,3367.2838888660112,-3187.2085100162712,375,565
d2-025,2,post,second,1056.0248342932227,385,4735.07018033864,-4371.149442831408,165,460
d2-025,2,pre,pre,745.4290746444688,455,2659.24972630678,-1468.8409778149708,305,830
d2-025,3,post,second,1212.907637404595,390,4680.144804926536,-4154.235288873355,285,510
d2-025,3,pre,pre,690.0480529288602,590,2957.182171799627,-2308.1163214829403,200,700
d2-025,4,post,second,1093.314596619298,550,3899.661052663004,-3726.647125888078,395,700
d2-025,4,pre,pre,859.6852871384849,755,2754.5535997072575,-3099.5772463099947,425,800
d2-025,5,post,second,953.2579343608709,455,3627.5474616342403,-2806.1834847725145,175,595
d2-025,5,pre,pre,899.1188370473474,440,3341.6274956851316,-3317.161368366,225,620
d2-025,6,post,second,1129.5790672035662,405,4592.488701268949,-4642.775998113562,315,535
d2-025,6,pre,pre,854.6624193686409,505,2929.491631280731,-2401.436749966442,190,750
d2-025,7,post,second,1164.1101233121444,355,4596.396490882105,-3951.314179918644,275,555
d2-025,7,pre,pre,1051.2033814733313,410,4031.3323841774927,-3425.74764208771,320,520
d2-025,8,post,second,1050.2094325722105,640,3565.8328549620974,-4514.796024505331,395,795
d2-025,8,pre,pre,990.6056399912247,410,3742.5006596458243,-3686.818606159411,155,580
d2-025,9,post,second,1140.5912525114775,420,4727.7427534850185,-4354.422739176657,285,585
