ppid,trial_num_in_block,time,start_time
d2-007,8,pre,445
d2-007,9,pre,520
d2-007,10,pre,465
d2-007,11,pre,375
d2-007,12,pre,720
d2-007,13,pre,405
d2-007,14,pre,430
d2-007,15,pre,305
d2-007,16,pre,340
d2-007,17,pre,410
d2-007,18,pre,410
d2-008,1,post,555
d2-008,2,post,470
d2-008,3,post,490
d2-008,4,post,370
d2-008,5,post,530
d2-008,6,post,490
d2-008,7,post,470
d2-008,8,post,415
d2-008,9,post,430
d2-008,10,post,450
d2-008,11,post,465
d2-008,12,post,455
d2-008,13,post,585
d2-008,14,post,395
d2-008,15,post,465
d2-008,16,post,400
d2-008,17,post,500
d2-008,18,post,385
d2-008,1,pre,1200
d2-008,2,pre,510
d2-008,3,pre,420
d2-008,4,pre,12965
d2-008,5,pre,2045
d2-008,6,pre,440
d2-008,7,pre,430
d2-008,8,pre,435
d2-008,9,pre,2155
d2-008,10,pre,585
d2-008,11,pre,705
d2-008,12,pre,665
d2-008,13,pre,490
d2-008,14,pre,375
d2-008,15,pre,425
d2-008,16,pre,460
d2-008,17,pre,460
d2-008,18,pre,405
d2-009,1,post,70
d2-009,2,post,230
d2-009,3,post,125
d2-009,4,post,190
d2-009,5,post,195
d2-009,6,post,320
d2-009,7,post,250
d2-009,8,post,165
d2-009,9,post,145
d2-009,10,post,340
d2-009,11,post,190
d2-009,12,post,195
d2-009,13,post,305
d2-009,14,post,280
d2-009,15,post,310
d2-009,16,post,300
d2-009,17,post,315
d2-009,18,post,355
d2-009,1,pre,425
d2-009,2,pre,305
d2-009,3,pre,185
d2-009,4,pre,315
d2-009,5,pre,375
d2-009,6,pre,410
d2-009,7,pre,425
d2-009,8,pre,360
d2-009,9,pre,355
d2-009,10,pre,375
d2-009,11,pre,335
d2-009,12,pre,340
d2-009,13,pre,295
d2-009,14,pre,370
d2-009,15,pre,305
d2-009,16,pre,350
d2-009,17,pre,220
d2-009,18,pre,405
d2-010,1,post,375
d2-010,2,post,395
d2-010,3,post,185
d2-010,4,post,275
d2-010,5,post,345
d2-010,6,post,395
d2-010,7,post,320
d2-010,8,post,425
d2-010,9,post,395
d2-010,10,post,440
d2-010,11,post,380
d2-010,12,post,395
d2-010,13,post,415
d2-010,14,post,520
d2-010,15,post,345
d2-010,16,post,320
d2-010,17,post,365
d2-010,18,post,350
d2-010,1,pre,10385
d2-010,2,pre,585
d2-010,3,pre,375
d2-010,4,pre,555
d2-010,5,pre,560
d2-010,6,pre,460
d2-010,7,pre,490
d2-010,8,pre,485
d2-010,9,pre,450
d2-010,10,pre,640
d2-010,11,pre,520
d2-010,12,pre,430
d2-010,13,pre,525
d2-010,14,pre,455
d2-010,15,pre,435
d2-010,16,pre,440
d2-010,17,pre,405
d2-010,18,pre,430
d2-011,1,post,205
d2-011,2,post,110
d2-011,3,post,330
d2-011,4,post,335
d2-011,5,post,215
d2-011,6,post,300
d2-011,7,post,90
d2-011,8,post,340
d2-011,9,post,310
d2-011,10,post,365
d2-011,11,post,320
d2-011,12,post,295
d2-011,13,post,310
d2-011,14,post,325
d2-011,15,post,260
d2-011,16,post,315
d2-011,17,post,210
d2-011,18,post,340
d2-011,1,pre,885
d2-011,2,pre,465
d2-011,3,pre,330
d2-011,4,pre,355
d2-011,5,pre,385
d2-011,6,pre,380
d2-011,7,pre,365
d2-011,8,pre,385
d2-011,9,pre,355
d2-011,10,pre,350
d2-011,11,pre,190
d2-011,12,pre,515
d2-011,13,pre,335
d2-011,14,pre,390
d2-011,15,pre,410
d2-011,16,pre,360
d2-011,17,pre,380
d2-011,18,pre,330
d2-012,1,post,265
d2-012,2,post,435
d2-012,3,post,280
d2-012,4,post,305
d2-012,5,post,250
d2-012,6,post,195
d2-012,7,post,290
d2-012,8,post,30
d2-012,9,post,510
d2-012,10,post,405
d2-012,11,post,500
d2-012,12,post,195
d2-012,13,post,545
d2-012,14,post,460
d2-012,15,post,240
d2-012,16,post,345
d2-012,17,post,585
d2-012,18,post,410
d2-012,1,pre,410
d2-012,2,pre,365
d2-012,3,pre,430
d2-012,4,pre,520
d2-012,5,pre,340
d2-012,6,pre,265
d2-012,7,pre,325
d2-012,8,pre,330
d2-012,9,pre,75
d2-012,10,pre,330
d2-012,11,pre,320
d2-012,12,pre,185
d2-012,13,pre,375
d2-012,14,pre,360
d2-012,15,pre,385
d2-012,16,pre,365
d2-012,17,pre,335
d2-012,18,pre,280
d2-013,1,post,310
d2-013,2,post,195
d2-013,3,post,275
d2-013,4,post,295
d2-013,5,post,45
d2-013,6,post,155
d2-013,7,post,275
d2-013,8,post,115
d2-013,9,post,175
d2-013,10,post,235
d2-013,11,post,200
d2-013,12,post,185
d2-013,13,post,140
d2-013,14,post,30
d2-013,15,post,35
d2-013,16,post,80
d2-013,17,post,50
d2-013,18,post,145
d2-013,1,pre,425
d2-013,2,pre,235
d2-013,3,pre,60
d2-013,4,pre,295
d2-013,5,pre,330
d2-013,6,pre,370
d2-013,7,pre,30
d2-013,8,pre,335
d2-013,9,pre,345
d2-013,10,pre,375
d2-013,11,pre,170
d2-013,12,pre,390
d2-013,13,pre,400
d2-013,14,pre,320
d2-013,15,pre,200
d2-013,16,pre,330
d2-013,17,pre,115
d2-013,18,pre,340
d2-014,1,post,460
d2-014,2,post,370
d2-014,3,post,310
d2-014,4,post,300
d2-014,5,post,220
d2-014,6,post,210
d2-014,7,post,220
d2-014,8,post,325
d2-014,9,post,320
d2-014,10,post,275
d2-014,11,post,115
d2-014,12,post,290
d2-014,13,post,280
d2-014,14,post,210
d2-014,15,post,120
d2-014,16,post,325
d2-014,17,post,280
d2-014,18,post,225
d2-014,1,pre,465
d2-014,2,pre,435
d2-014,3,pre,410
d2-014,4,pre,400
d2-014,5,pre,340
d2-014,6,pre,345
d2-014,7,pre,315
d2-014,8,pre,380
d2-014,9,pre,335
d2-014,10,pre,330
d2-014,11,pre,90
d2-014,12,pre,320
d2-014,13,pre,265
d2-014,14,pre,230
d2-014,15,pre,325
d2-014,16,pre,185
d2-014,17,pre,335
d2-014,18,pre,170
d2-015,1,post,405
d2-015,2,post,345
d2-015,3,post,380
d2-015,4,post,370
d2-015,5,post,350
d2-015,6,post,310
d2-015,7,post,240
d2-015,8,post,355
d2-015,9,post,320
d2-015,10,post,320
d2-015,11,post,315
d2-015,12,post,285
d2-015,13,post,320
d2-015,14,post,290
d2-015,15,post,350
d2-015,16,post,305
d2-015,17,post,300
d2-015,18,post,240
d2-015,1,pre,770
d2-015,2,pre,425
d2-015,3,pre,450
d2-015,4,pre,365
d2-015,5,pre,415
d2-015,6,pre,445
d2-015,7,pre,435
d2-015,8,pre,300
d2-015,9,pre,420
d2-015,10,pre,425
d2-015,11,pre,400
d2-015,12,pre,395
d2-015,13,pre,390
d2-015,14,pre,415
d2-015,15,pre,395
d2-015,16,pre,370
d2-015,17,pre,300
d2-015,18,pre,345
d2-016,1,post,365
d2-016,2,post,325
d2-016,3,post,290
d2-016,4,post,375
d2-016,5,post,365
d2-016,6,post,295
d2-016,7,post,415
d2-016,8,post,355
d2-016,9,post,365
d2-016,10,post,370
d2-016,11,post,310
d2-016,12,post,355
