participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-008,5,112,Wrist,0.0000,startbuffer,0.2694,0.8134,-0.8183
d3-008,5,112,Wrist,6.9813,startbuffer,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,12.9654,startbuffer,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,18.9492,startbuffer,0.2678,0.8132,-0.8186
d3-008,5,112,Wrist,24.9335,startbuffer,0.2679,0.8132,-0.8186
d3-008,5,112,Wrist,30.0308,startbuffer,0.2679,0.8132,-0.8186
d3-008,5,112,Wrist,36.0150,startbuffer,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,41.9985,startbuffer,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,47.9832,startbuffer,0.2679,0.8132,-0.8186
d3-008,5,112,Wrist,53.9662,startbuffer,0.2679,0.8132,-0.8186
d3-008,5,112,Wrist,59.9510,begin,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,65.9347,begin,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,71.9191,begin,0.2675,0.8136,-0.8187
d3-008,5,112,Wrist,77.9026,begin,0.2676,0.8135,-0.8186
d3-008,5,112,Wrist,83.8870,begin,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,89.8703,begin,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,95.8545,begin,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,101.8388,begin,0.2678,0.8132,-0.8186
d3-008,5,112,Wrist,107.8226,begin,0.2678,0.8132,-0.8186
d3-008,5,112,Wrist,113.8062,begin,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,119.7907,begin,0.2675,0.8137,-0.8187
d3-008,5,112,Wrist,125.7749,begin,0.2678,0.8132,-0.8186
d3-008,5,112,Wrist,131.7585,begin,0.2678,0.8132,-0.8186
d3-008,5,112,Wrist,137.7431,begin,0.2676,0.8135,-0.8186
d3-008,5,112,Wrist,143.7264,begin,0.2674,0.8137,-0.8187
d3-008,5,112,Wrist,149.7107,begin,0.2674,0.8137,-0.8187
d3-008,5,112,Wrist,155.6939,begin,0.2674,0.8137,-0.8187
d3-008,5,112,Wrist,161.6783,begin,0.2674,0.8137,-0.8187
d3-008,5,112,Wrist,167.6624,begin,0.2674,0.8137,-0.8187
d3-008,5,112,Wrist,173.6467,begin,0.2674,0.8137,-0.8187
d3-008,5,112,Wrist,179.6304,begin,0.2678,0.8132,-0.8186
d3-008,5,112,Wrist,185.6143,begin,0.2678,0.8132,-0.8186
d3-008,5,112,Wrist,191.5979,begin,0.2675,0.8136,-0.8187
d3-008,5,112,Wrist,196.8819,begin,0.2674,0.8137,-0.8187
d3-008,5,112,Wrist,202.8495,begin,0.2676,0.8134,-0.8186
d3-008,5,112,Wrist,208.8339,begin,0.2678,0.8132,-0.8186
d3-008,5,112,Wrist,214.8177,begin,0.2677,0.8134,-0.8186
d3-008,5,112,Wrist,220.8018,begin,0.2675,0.8135,-0.8186
d3-008,5,112,Wrist,226.7853,begin,0.2675,0.8135,-0.8186
d3-008,5,112,Wrist,232.7697,begin,0.2675,0.8135,-0.8186
d3-008,5,112,Wrist,238.7537,begin,0.2675,0.8135,-0.8186
