experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0
2_toolusenotinVR,209,2,1,1,1,57.26212,70.878,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T037.csv,,,
2_toolusenotinVR,209,2,2,1,2,73.83179,77.86296,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T038.csv,,,
2_toolusenotinVR,209,2,3,1,3,80.81692,84.64874,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T039.csv,,,
2_toolusenotinVR,209,2,4,1,4,87.60344,91.11243,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T040.csv,,,
2_toolusenotinVR,209,2,5,1,5,94.06697,98.36391,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T041.csv,,,
2_toolusenotinVR,209,2,6,1,6,101.3187,104.4065,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T042.csv,,,
2_toolusenotinVR,209,2,7,1,7,107.3603,110.3587,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T043.csv,,,
2_toolusenotinVR,209,2,8,1,8,113.3132,117.0444,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T044.csv,,,
2_toolusenotinVR,209,2,9,1,9,119.999,123.0086,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T045.csv,,,
2_toolusenotinVR,209,2,10,1,10,125.962,129.9272,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T046.csv,,,
2_toolusenotinVR,209,2,11,1,11,132.8817,136.3354,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T047.csv,,,
2_toolusenotinVR,209,2,12,1,12,139.2889,143.5648,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T048.csv,,,
2_toolusenotinVR,209,2,13,1,13,147.8085,152.6836,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T049.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T049.csv,,,
2_toolusenotinVR,209,2,14,1,14,155.6377,159.2467,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T050.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T050.csv,,,
2_toolusenotinVR,209,2,15,1,15,162.2006,166.2994,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T051.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T051.csv,,,
2_toolusenotinVR,209,2,16,1,16,169.2534,172.9069,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T052.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T052.csv,,,
2_toolusenotinVR,209,2,17,1,17,175.8615,179.6486,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T053.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T053.csv,,,
2_toolusenotinVR,209,2,18,1,18,182.603,185.9565,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,2_toolusenotinVR/209/S002/trackers/tool_reach/tool_reach_ppt_tool_movement_T054.csv,,,
