experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-010,1,1,1,1,1322.081,1325.069,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse,d3-010,1,2,1,2,1329.122,1331.957,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse,d3-010,1,3,1,3,1335.986,1337.019,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse,d3-010,1,4,1,4,1341.061,1347.528,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse,d3-010,1,5,1,5,1351.567,1353.78,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse,d3-010,1,6,1,6,1357.809,1359.9,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse,d3-010,1,7,1,7,1363.94,1368.162,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse,d3-010,1,8,1,8,1372.202,1374.479,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse,d3-010,1,9,1,9,1378.523,1381.569,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse,d3-010,1,10,1,10,1385.596,1393.93,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
3_avatartooluse,d3-010,1,11,1,11,1397.968,1399.856,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T011.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T011.csv,,,,,,,,
3_avatartooluse,d3-010,1,12,1,12,1403.898,1407.28,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T012.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T012.csv,,,,,,,,
3_avatartooluse,d3-010,1,13,1,13,1411.317,1415.728,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T013.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T013.csv,,,,,,,,
3_avatartooluse,d3-010,1,14,1,14,1419.769,1422.728,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T014.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T014.csv,,,,,,,,
3_avatartooluse,d3-010,1,15,1,15,1426.786,1428.109,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T015.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T015.csv,,,,,,,,
3_avatartooluse,d3-010,1,16,1,16,1432.152,1435.033,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T016.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T016.csv,,,,,,,,
3_avatartooluse,d3-010,1,17,1,17,1439.082,1441.945,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T017.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T017.csv,,,,,,,,
3_avatartooluse,d3-010,1,18,1,18,1445.99,1453.279,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_estimates_T018.csv,3_avatartooluse/d3-010/S001/trackers/landmark/landmark_gaze_data_T018.csv,,,,,,,,
3_avatartooluse,d3-010,1,19,2,1,1917.897,1926.031,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T019.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T019.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T019.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T019.csv,,,,
3_avatartooluse,d3-010,1,20,2,2,1944.05,1951.357,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T020.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T020.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T020.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T020.csv,,,,
3_avatartooluse,d3-010,1,21,2,3,1957.222,1961.342,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T021.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T021.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T021.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T021.csv,,,,
3_avatartooluse,d3-010,1,22,2,4,1968.408,1972.202,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T022.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T022.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T022.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T022.csv,,,,
3_avatartooluse,d3-010,1,23,2,5,1977.589,1981.39,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T023.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T023.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T023.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T023.csv,,,,
3_avatartooluse,d3-010,1,24,2,6,1990.461,1994.348,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T024.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T024.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T024.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T024.csv,,,,
3_avatartooluse,d3-010,1,25,2,7,1997.304,2001.087,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T025.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T025.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T025.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T025.csv,,,,
3_avatartooluse,d3-010,1,26,2,8,2016.416,2020.189,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T026.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T026.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T026.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T026.csv,,,,
3_avatartooluse,d3-010,1,27,2,9,2023.147,2027.078,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T027.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T027.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T027.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T027.csv,,,,
3_avatartooluse,d3-010,1,28,2,10,2031.187,2035.003,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T028.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T028.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T028.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T028.csv,,,,
3_avatartooluse,d3-010,1,29,2,11,2040.683,2044.545,,,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_gaze_data_T029.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_vrpn_movement_T029.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T029.csv,3_avatartooluse/d3-010/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T029.csv,,,,
