participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
d1-019,2,34,wrist,0.2819,0.7114,-1.4449,0.0000,0,start
d1-019,2,34,wrist,0.2840,0.7002,-1.4478,0.0000,4.9863,start
d1-019,2,34,wrist,0.2840,0.7002,-1.4478,0.0000,9.4117,start
d1-019,2,34,wrist,0.2841,0.7002,-1.4478,0.0000,14.3982,start
d1-019,2,34,wrist,0.2841,0.7002,-1.4478,0.0000,18.7834,start
d1-019,2,34,wrist,0.2841,0.7002,-1.4478,0.0000,23.7707,start
d1-019,2,34,wrist,0.2843,0.7001,-1.4480,0.0000,29.2639,start
d1-019,2,34,wrist,0.2843,0.7001,-1.4480,0.0000,34.2501,start
d1-019,2,34,wrist,0.2843,0.7001,-1.4480,0.0000,38.4848,start
d1-019,2,34,wrist,0.2839,0.7005,-1.4481,0.0000,43.4713,start
d1-019,2,34,wrist,0.2839,0.7005,-1.4481,0.0000,48.4575,start
d1-019,2,34,wrist,0.2839,0.7005,-1.4481,0.0000,53.4448,start
d1-019,2,34,wrist,0.2844,0.7001,-1.4481,0.0000,57.9408,begin
d1-019,2,34,wrist,0.2844,0.7001,-1.4481,0.0000,62.9271,begin
d1-019,2,34,wrist,0.2841,0.7001,-1.4483,0.0000,67.2759,begin
d1-019,2,34,wrist,0.2840,0.7005,-1.4483,0.0000,72.2452,begin
d1-019,2,34,wrist,0.2820,0.6984,-1.4503,0.0000,77.2318,begin
d1-019,2,34,wrist,0.2844,0.7001,-1.4482,0.0000,82.2182,begin
d1-019,2,34,wrist,0.2844,0.7001,-1.4482,0.0000,87.2052,begin
d1-019,2,34,wrist,0.2844,0.7001,-1.4482,0.0000,92.1914,begin
d1-019,2,34,wrist,0.2841,0.7005,-1.4483,0.0000,97.0132,begin
d1-019,2,34,wrist,0.2841,0.7005,-1.4483,0.0000,101.9906,begin
d1-019,2,34,wrist,0.2848,0.7003,-1.4483,0.0000,106.9779,begin
d1-019,2,34,wrist,0.2849,0.7003,-1.4483,0.0000,111.964,begin
d1-019,2,34,wrist,0.2849,0.7003,-1.4483,0.0000,117.0923,begin
d1-019,2,34,wrist,0.2849,0.7003,-1.4483,0.0000,122.067,begin
d1-019,2,34,wrist,0.2844,0.7009,-1.4483,0.0000,127.0535,begin
d1-019,2,34,wrist,0.2844,0.7009,-1.4483,0.0000,132.0397,begin
d1-019,2,34,wrist,0.2849,0.7004,-1.4483,0.0000,136.9264,begin
d1-019,2,34,wrist,0.2849,0.7004,-1.4483,0.0000,141.9013,begin
d1-019,2,34,wrist,0.2848,0.7006,-1.4484,0.0000,147.3723,begin
d1-019,2,34,wrist,0.2846,0.7009,-1.4484,0.0000,152.3484,begin
d1-019,2,34,wrist,0.2846,0.7009,-1.4484,0.0000,156.8545,begin
d1-019,2,34,wrist,0.2850,0.7005,-1.4483,0.0000,161.8302,begin
d1-019,2,34,wrist,0.2850,0.7005,-1.4483,0.0000,167.2263,begin
d1-019,2,34,wrist,0.2850,0.7005,-1.4483,0.0000,172.2009,begin
d1-019,2,34,wrist,0.2847,0.7010,-1.4483,0.0000,177.1875,begin
d1-019,2,34,wrist,0.2847,0.7010,-1.4483,0.0000,182.1747,begin
d1-019,2,34,wrist,0.2847,0.7010,-1.4483,0.0000,187.1614,begin
d1-019,2,34,wrist,0.2851,0.7005,-1.4482,0.0000,192.1477,begin
d1-019,2,34,wrist,0.2827,0.6988,-1.4504,0.0000,197.2135,begin
d1-019,2,34,wrist,0.2846,0.7011,-1.4481,0.0000,202.166,begin
d1-019,2,34,wrist,0.2845,0.7012,-1.4480,0.0000,206.9541,begin
d1-019,2,34,wrist,0.2847,0.7009,-1.4479,0.0000,211.9296,begin
d1-019,2,34,wrist,0.2849,0.7007,-1.4479,0.0000,216.9337,begin
d1-019,2,34,wrist,0.2849,0.7007,-1.4479,0.0000,221.9068,begin
d1-019,2,34,wrist,0.2848,0.7009,-1.4479,0.0000,227.324,begin
d1-019,2,34,wrist,0.2828,0.6994,-1.4498,0.0000,232.2948,begin
d1-019,2,34,wrist,0.2846,0.7012,-1.4479,0.0000,237.2816,begin
d1-019,2,34,wrist,0.2846,0.7012,-1.4479,0.0000,242.2681,begin
d1-019,2,34,wrist,0.2846,0.7012,-1.4479,0.0000,247.2545,begin
d1-019,2,34,wrist,0.2846,0.7012,-1.4479,0.0000,252.2408,begin
d1-019,2,34,wrist,0.2846,0.7014,-1.4479,0.0000,257.2284,begin
d1-019,2,34,wrist,0.2846,0.7014,-1.4479,0.0000,262.2149,begin
