experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-008,1,1,1,1,1234.705,1246.12,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T001.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T001.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T001.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T001.csv,,,,,,
3_avatartooluse,d3-008,1,2,1,2,1264.235,1271.06,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T002.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T002.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T002.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T002.csv,,,,,,
3_avatartooluse,d3-008,1,3,1,3,1274.013,1279.849,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T003.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T003.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T003.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T003.csv,,,,,,
3_avatartooluse,d3-008,1,4,1,4,1282.804,1288.308,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T004.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T004.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T004.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T004.csv,,,,,,
3_avatartooluse,d3-008,1,5,1,5,1299.652,1305.125,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T005.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T005.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T005.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T005.csv,,,,,,
3_avatartooluse,d3-008,1,6,1,6,1311.244,1316.566,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T006.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T006.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T006.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T006.csv,,,,,,
3_avatartooluse,d3-008,1,7,1,7,1336.241,1342.801,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T007.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T007.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T007.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T007.csv,,,,,,
3_avatartooluse,d3-008,1,8,1,8,1345.763,1351.097,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T008.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T008.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T008.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T008.csv,,,,,,
3_avatartooluse,d3-008,1,9,1,9,1354.055,1359.622,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T009.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T009.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T009.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T009.csv,,,,,,
3_avatartooluse,d3-008,1,10,1,10,1362.577,1368.216,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_vrpn_movement_T010.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_gaze_data_T010.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T010.csv,3_avatartooluse/d3-008/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T010.csv,,,,,,
