experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-021,1,1,1,1,1720.66,1722.263,0,0,0,0.229213,0,0.002082,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse,d3-021,1,2,1,2,1726.286,1729.662,0,0,0,0.247082,0,0.006284,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse,d3-021,1,3,1,3,1733.797,1740.628,0,0,0,0.263629,0,0.003613,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse,d3-021,1,4,1,4,1749.979,1753.797,0,0,0,0.276864,0,-0.000347,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse,d3-021,1,5,1,5,1757.837,1758.999,0,0,0,0.292438,-0.000004,0.00647,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse,d3-021,1,6,1,6,1763.037,1768.693,0,0,0,0.274131,0,0.002493,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse,d3-021,1,7,1,7,1772.746,1775.434,0,0,0,0.287172,0.000004,-0.001651,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse,d3-021,1,8,1,8,1779.487,1780.598,0,0,0,0.287172,0.000004,-0.001651,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse,d3-021,1,9,1,9,1784.64,1788.439,0,0,0,0.287172,0.000004,-0.001651,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse,d3-021,1,10,1,10,1792.481,1795.269,0,0,0,0.28304,0.000005,-0.004595,1,1,1,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse/d3-021/S001/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
