experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d-1-002,1,89,4,5,564.7861,571.0595,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T053.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T053.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T053.csv,,
1_tooluseinVR,d-1-002,1,90,4,6,572.0924,578.3365,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T054.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T054.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T054.csv,,
1_tooluseinVR,d-1-002,1,91,4,7,579.3685,585.0765,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T055.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T055.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T055.csv,,
1_tooluseinVR,d-1-002,1,92,4,8,586.3652,587.42,,,,,,,,
1_tooluseinVR,d-1-002,1,93,4,9,587.42,593.4855,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T057.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T057.csv,,,
1_tooluseinVR,d-1-002,1,94,4,10,594.5165,601.0709,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T058.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T058.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T058.csv,,
1_tooluseinVR,d-1-002,1,95,4,11,602.1019,608.2653,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T059.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T059.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T059.csv,,
1_tooluseinVR,d-1-002,1,96,4,12,609.2982,615.4604,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T060.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T060.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T060.csv,,
1_tooluseinVR,d-1-002,1,97,4,13,616.4955,622.8057,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T061.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T061.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T061.csv,,
1_tooluseinVR,d-1-002,1,98,4,14,623.8351,629.9002,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T062.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T062.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T062.csv,,
1_tooluseinVR,d-1-002,1,99,4,15,630.9328,636.8649,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T063.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T063.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T063.csv,,
1_tooluseinVR,d-1-002,1,100,4,16,637.8968,644.0421,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T064.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T064.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T064.csv,,
1_tooluseinVR,d-1-002,1,101,4,17,645.0697,651.3566,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T065.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T065.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T065.csv,,
1_tooluseinVR,d-1-002,1,102,4,18,652.3889,658.9423,,,,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T066.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T066.csv,1_tooluseinVR/d-1-002/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T066.csv,,
