experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-023,1,1,1,1,702.5855,708.7169,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T001.csv,,,,,
1_tooluseinVR,d1-023,1,2,1,2,715.5461,721.2316,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T002.csv,,,,,
1_tooluseinVR,d1-023,1,3,1,3,724.1868,729.8606,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T003.csv,,,,,
1_tooluseinVR,d1-023,1,4,1,4,732.8162,737.9025,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T004.csv,,,,,
1_tooluseinVR,d1-023,1,5,1,5,740.8553,745.9656,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T005.csv,,,,,
1_tooluseinVR,d1-023,1,6,1,6,748.9193,753.8036,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T006.csv,,,,,
1_tooluseinVR,d1-023,1,7,1,7,756.7604,761.0358,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T007.csv,,,,,
1_tooluseinVR,d1-023,1,8,1,8,763.9898,768.2217,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T008.csv,,,,,
1_tooluseinVR,d1-023,1,9,1,9,771.1753,775.3956,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T009.csv,,,,,
1_tooluseinVR,d1-023,1,10,1,10,783.7483,788.2234,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T010.csv,,,,,
1_tooluseinVR,d1-023,1,11,1,11,792.41,796.9611,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T011.csv,,,,,
1_tooluseinVR,d1-023,1,12,1,12,799.9187,805.8593,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T012.csv,,,,,
1_tooluseinVR,d1-023,1,13,1,13,808.8142,813.412,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T013.csv,,,,,
1_tooluseinVR,d1-023,1,14,1,14,816.3662,820.7531,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T014.csv,,,,,
1_tooluseinVR,d1-023,1,15,1,15,823.708,828.3495,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T015.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T015.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T015.csv,,,,,
1_tooluseinVR,d1-023,1,16,1,16,831.8151,836.0231,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T016.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T016.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T016.csv,,,,,
1_tooluseinVR,d1-023,1,17,1,17,839.1779,843.5649,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T017.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T017.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T017.csv,,,,,
1_tooluseinVR,d1-023,1,18,1,18,850.1174,854.4377,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T018.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T018.csv,1_tooluseinVR/d1-023/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T018.csv,,,,,
1_tooluseinVR,d1-023,1,19,2,1,1038.552,1039.906,,,,1_tooluseinVR/d1-023/S001/trackers/landmark/landmarkstimulus_estimates_T019.csv,1_tooluseinVR/d1-023/S001/trackers/landmark/landmark_eyeTrackingData_T019.csv,,,
1_tooluseinVR,d1-023,1,20,2,2,1043.948,1047.836,,,,1_tooluseinVR/d1-023/S001/trackers/landmark/landmarkstimulus_estimates_T020.csv,1_tooluseinVR/d1-023/S001/trackers/landmark/landmark_eyeTrackingData_T020.csv,,,
1_tooluseinVR,d1-023,1,21,2,3,1051.89,1054.465,,,,1_tooluseinVR/d1-023/S001/trackers/landmark/landmarkstimulus_estimates_T021.csv,1_tooluseinVR/d1-023/S001/trackers/landmark/landmark_eyeTrackingData_T021.csv,,,
1_tooluseinVR,d1-023,1,22,2,4,1058.508,1059.908,,,,1_tooluseinVR/d1-023/S001/trackers/landmark/landmarkstimulus_estimates_T022.csv,1_tooluseinVR/d1-023/S001/trackers/landmark/landmark_eyeTrackingData_T022.csv,,,
1_tooluseinVR,d1-023,1,23,2,5,1063.961,1065.916,,,,1_tooluseinVR/d1-023/S001/trackers/landmark/landmarkstimulus_estimates_T023.csv,1_tooluseinVR/d1-023/S001/trackers/landmark/landmark_eyeTrackingData_T023.csv,,,
1_tooluseinVR,d1-023,1,24,2,6,1069.958,1072.069,,,,1_tooluseinVR/d1-023/S001/trackers/landmark/landmarkstimulus_estimates_T024.csv,1_tooluseinVR/d1-023/S001/trackers/landmark/landmark_eyeTrackingData_T024.csv,,,
