experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-003,1,1,1,1,1339.686,1346.728,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T001.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T001.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T001.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T001.csv,,,,,,
3_avatartooluse,d3-003,1,2,1,2,1349.682,1355.623,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T002.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T002.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T002.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T002.csv,,,,,,
3_avatartooluse,d3-003,1,3,1,3,1365.33,1370.55,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T003.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T003.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T003.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T003.csv,,,,,,
3_avatartooluse,d3-003,1,4,1,4,1373.504,1378.657,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T004.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T004.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T004.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T004.csv,,,,,,
3_avatartooluse,d3-003,1,5,1,5,1381.611,1386.676,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T005.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T005.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T005.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T005.csv,,,,,,
3_avatartooluse,d3-003,1,6,1,6,1389.63,1394.605,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T006.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T006.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T006.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T006.csv,,,,,,
3_avatartooluse,d3-003,1,7,1,7,1397.559,1402.202,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T007.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T007.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T007.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T007.csv,,,,,,
3_avatartooluse,d3-003,1,8,1,8,1405.156,1410.109,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T008.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T008.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T008.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T008.csv,,,,,,
3_avatartooluse,d3-003,1,9,1,9,1421.67,1426.901,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T009.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T009.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T009.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T009.csv,,,,,,
3_avatartooluse,d3-003,1,10,1,10,1429.856,1434.409,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_vrpn_movement_T010.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_gaze_data_T010.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T010.csv,3_avatartooluse/d3-003/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T010.csv,,,,,,
