experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-016,1,1,1,1,814.1147,816.3806,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T001.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T001.csv,,,,,,
1_tooluseinVR,d1-016,1,2,1,2,820.4337,821.6665,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T002.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T002.csv,,,,,,
1_tooluseinVR,d1-016,1,3,1,3,825.7202,826.9641,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T003.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T003.csv,,,,,,
1_tooluseinVR,d1-016,1,4,1,4,831.0176,832.3839,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T004.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T004.csv,,,,,,
1_tooluseinVR,d1-016,1,5,1,5,836.4376,838.7475,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T005.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T005.csv,,,,,,
1_tooluseinVR,d1-016,1,6,1,6,842.801,844.4557,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T006.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T006.csv,,,,,,
1_tooluseinVR,d1-016,1,7,1,7,848.5094,849.5978,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T007.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T007.csv,,,,,,
1_tooluseinVR,d1-016,1,8,1,8,853.6518,854.962,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T008.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T008.csv,,,,,,
1_tooluseinVR,d1-016,1,9,1,9,859.0156,862.5583,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T009.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T009.csv,,,,,,
1_tooluseinVR,d1-016,1,10,1,10,866.6121,867.7115,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T010.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T010.csv,,,,,,
1_tooluseinVR,d1-016,1,11,1,11,871.7544,875.5856,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
1_tooluseinVR,d1-016,1,12,1,12,879.6392,881.2829,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T012.csv,,,,,,
1_tooluseinVR,d1-016,1,13,1,13,885.3367,886.325,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T013.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T013.csv,,,,,,
1_tooluseinVR,d1-016,1,14,1,14,890.3787,890.9672,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T014.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T014.csv,,,,,,
1_tooluseinVR,d1-016,1,15,1,15,895.021,896.1649,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T015.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T015.csv,,,,,,
1_tooluseinVR,d1-016,1,16,1,16,900.2185,901.8065,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T016.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T016.csv,,,,,,
1_tooluseinVR,d1-016,1,17,1,17,905.8605,908.3372,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T017.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T017.csv,,,,,,
1_tooluseinVR,d1-016,1,18,1,18,912.3906,917.5215,1_tooluseinVR/d1-016/S001/trackers/landmark/landmarkstimulus_estimates_T018.csv,1_tooluseinVR/d1-016/S001/trackers/landmark/landmark_eyeTrackingData_T018.csv,,,,,,
1_tooluseinVR,d1-016,1,19,2,1,1137.406,1144.26,,,1_tooluseinVR/d1-016/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T019.csv,1_tooluseinVR/d1-016/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T019.csv,1_tooluseinVR/d1-016/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T019.csv,,,
1_tooluseinVR,d1-016,1,20,2,2,1147.212,1152.245,,,1_tooluseinVR/d1-016/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T020.csv,1_tooluseinVR/d1-016/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T020.csv,1_tooluseinVR/d1-016/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T020.csv,,,
