experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-021,1,1,1,1,649.9022,656.1559,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T001.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,,,,,
1_tooluseinVR,d1-021,1,2,1,2,659.1096,665.2631,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T002.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,,,,,
1_tooluseinVR,d1-021,1,3,1,3,670.8823,677.3121,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T003.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,,,,,
1_tooluseinVR,d1-021,1,4,1,4,680.2664,686.0863,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T004.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,,,,,
1_tooluseinVR,d1-021,1,5,1,5,690.6177,695.8149,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T005.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,,,,,
1_tooluseinVR,d1-021,1,6,1,6,700.3231,706.5516,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T006.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,,,,,
1_tooluseinVR,d1-021,1,7,1,7,712.7071,717.7686,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T007.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,,,,,
1_tooluseinVR,d1-021,1,8,1,8,723.6564,728.7431,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T008.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,,,,,
1_tooluseinVR,d1-021,1,9,1,9,731.6985,736.4844,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T009.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,,,,,
1_tooluseinVR,d1-021,1,10,1,10,744.1376,748.7119,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T010.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,,,,,
1_tooluseinVR,d1-021,1,11,1,11,753.0652,757.7747,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T011.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,,,,,
1_tooluseinVR,d1-021,1,12,1,12,760.7289,765.549,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T012.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,,,,,
1_tooluseinVR,d1-021,1,13,1,13,768.5034,773.9232,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T013.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,,,,,
1_tooluseinVR,d1-021,1,14,1,14,776.8775,781.9286,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T014.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,,,,,
1_tooluseinVR,d1-021,1,15,1,15,784.8841,789.5823,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T015.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T015.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T015.csv,,,,,
1_tooluseinVR,d1-021,1,16,1,16,796.5009,802.0986,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T016.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T016.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T016.csv,,,,,
1_tooluseinVR,d1-021,1,17,1,17,806.941,811.9484,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T017.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T017.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T017.csv,,,,,
1_tooluseinVR,d1-021,1,18,1,18,821.5555,826.6078,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T018.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T018.csv,1_tooluseinVR/d1-021/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T018.csv,,,,,
