participant,block,trial,phase,time_ms,tracker,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,velocity_x,velocity_y,velocity_z
d3-007,4,86,startbuffer,2.0000,right_hand,0.3049,0.7825,-0.9331,0.5231,-0.7726,0.3132,-0.1769,-0.0037,-0.0028,-0.0013
d3-007,4,86,startbuffer,2.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-007,4,86,startbuffer,2.0000,stimulus,-0.0063,0.8053,-0.4932,0.0080,-0.0119,0.7084,0.7057,-0.0016,0.0013,0.0005
d3-007,4,86,startbuffer,2.0000,origin,-0.0001,0.0090,0.0000,0.0015,0.0015,0.7034,0.7091,-0.0005,0.0009,-0.0016
d3-007,4,86,startbuffer,7.0000,right_hand,0.3048,0.7825,-0.9331,0.5231,-0.7727,0.3132,-0.1768,-0.0039,-0.0024,-0.0014
d3-007,4,86,startbuffer,7.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-007,4,86,startbuffer,7.0000,stimulus,-0.0062,0.8052,-0.4930,0.0080,-0.0118,0.7083,0.7057,-0.0006,0.0012,-0.0006
d3-007,4,86,startbuffer,7.0000,origin,-0.0001,0.0090,0.0000,0.0015,0.0015,0.7033,0.7090,-0.0008,0.0007,-0.0017
d3-007,4,86,startbuffer,12.0000,right_hand,0.3048,0.7825,-0.9331,0.5231,-0.7727,0.3131,-0.1767,-0.0042,-0.0020,-0.0016
d3-007,4,86,startbuffer,12.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-007,4,86,startbuffer,12.0000,stimulus,-0.0062,0.8052,-0.4930,0.0080,-0.0118,0.7083,0.7058,-0.0006,0.0010,-0.0005
d3-007,4,86,startbuffer,12.0000,origin,-0.0001,0.0090,0.0000,0.0015,0.0015,0.7047,0.7104,-0.0007,0.0006,-0.0016
d3-007,4,86,startbuffer,17.0000,right_hand,0.3048,0.7825,-0.9331,0.5232,-0.7728,0.3129,-0.1767,-0.0042,-0.0015,-0.0013
d3-007,4,86,startbuffer,17.0000,right_elbow,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
d3-007,4,86,startbuffer,17.0000,stimulus,-0.0062,0.8052,-0.4930,0.0080,-0.0118,0.7083,0.7057,-0.0005,0.0011,-0.0006
d3-007,4,86,startbuffer,17.0000,origin,-0.0001,0.0090,0.0000,0.0015,0.0015,0.7032,0.7088,-0.0007,0.0007,-0.0017
d3-007,4,86,startbuffer,22.0000,right_hand,0.3048,0.7825,-0.9331,0.5232,-0.7728,0.3128,-0.1766,-0.0043,-0.0011,-0.0015
