participant,block,trial,tracked,pos_x,pos_y,pos_z,aperture,time_ms,phase
d1-011,5,111,wrist,0.3089,0.7658,-1.4626,0.0000,0,start
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,6.981,start
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,11.9679,start
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,16.9541,start
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,21.9415,start
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,26.9282,start
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,31.915,start
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,36.9017,start
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,41.8885,start
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,46.8752,start
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,51.8621,start
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,56.8498,begin
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,61.8354,begin
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,66.8229,begin
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,71.8096,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,76.7962,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,81.783,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,86.7697,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,91.7568,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,96.7426,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,101.7306,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,106.7173,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,111.7036,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,116.69,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,121.678,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,126.6639,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,131.1725,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,136.1461,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,141.1328,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,146.1201,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,151.107,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,156.0939,begin
d1-011,5,111,wrist,0.3089,0.7721,-1.4613,0.0000,161.0799,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,166.0679,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,171.0536,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,176.0404,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,181.0273,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,186.0139,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,191.001,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,195.9874,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,200.9746,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,205.9609,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,210.9483,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,215.9347,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,221.9195,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,226.9056,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,231.4146,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,236.3893,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,241.3755,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,246.3625,begin
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,251.3494,begin
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,256.3369,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,261.3231,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,266.3105,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,271.2967,begin
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,276.284,begin
d1-011,5,111,wrist,0.3091,0.7721,-1.4615,0.0000,281.2707,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,286.2573,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,291.2439,begin
d1-011,5,111,wrist,0.3090,0.7721,-1.4615,0.0000,296.2307,begin
