experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-005,1,13,1,13,1183.605,1188.969,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T013.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T013.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T013.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T013.csv,,,,,,
3_avatartooluse,d3-005,1,14,1,14,1191.923,1197.098,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T014.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T014.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T014.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T014.csv,,,,,,
3_avatartooluse,d3-005,1,15,1,15,1200.053,1205.261,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T015.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T015.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T015.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T015.csv,,,,,,
3_avatartooluse,d3-005,1,16,1,16,1208.215,1213.29,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T016.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T016.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T016.csv,,,,,,,
3_avatartooluse,d3-005,1,17,1,17,1216.245,1221.398,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T017.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T017.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T017.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T017.csv,,,,,,
3_avatartooluse,d3-005,1,18,1,18,1224.353,1237.19,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_gaze_data_T018.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_vrpn_movement_T018.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T018.csv,3_avatartooluse/d3-005/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T018.csv,,,,,,
3_avatartooluse,d3-005,1,19,2,1,1424.502,1432.043,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T019.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T019.csv,,,,
3_avatartooluse,d3-005,1,20,2,2,1436.097,1437.963,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T020.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T020.csv,,,,
3_avatartooluse,d3-005,1,21,2,3,1442.017,1444.404,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T021.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T021.csv,,,,
3_avatartooluse,d3-005,1,22,2,4,1448.458,1452.545,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T022.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T022.csv,,,,
3_avatartooluse,d3-005,1,23,2,5,1456.598,1459.075,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T023.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T023.csv,,,,
3_avatartooluse,d3-005,1,24,2,6,1463.129,1464.95,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T024.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T024.csv,,,,
3_avatartooluse,d3-005,1,25,2,7,1469.004,1475.223,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T025.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T025.csv,,,,
3_avatartooluse,d3-005,1,26,2,8,1479.276,1481.365,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T026.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T026.csv,,,,
3_avatartooluse,d3-005,1,27,2,9,1485.418,1488.439,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T027.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T027.csv,,,,
3_avatartooluse,d3-005,1,28,2,10,1492.493,1496.791,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T028.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T028.csv,,,,
3_avatartooluse,d3-005,1,29,2,11,1500.844,1503.976,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T029.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T029.csv,,,,
3_avatartooluse,d3-005,1,30,2,12,1508.03,1510.407,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T030.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T030.csv,,,,
3_avatartooluse,d3-005,1,31,2,13,1514.46,1517.092,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T031.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T031.csv,,,,
3_avatartooluse,d3-005,1,32,2,14,1521.146,1525.744,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T032.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T032.csv,,,,
3_avatartooluse,d3-005,1,33,2,15,1529.797,1533.329,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T033.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T033.csv,,,,
3_avatartooluse,d3-005,1,34,2,16,1537.383,1541.77,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T034.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T034.csv,,,,
3_avatartooluse,d3-005,1,35,2,17,1545.824,1549.888,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T035.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T035.csv,,,,
3_avatartooluse,d3-005,1,36,2,18,1553.942,1559.462,,,,,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_estimates_T036.csv,3_avatartooluse/d3-005/S001/trackers/landmark/landmark_gaze_data_T036.csv,,,,
3_avatartooluse,d3-005,1,37,3,1,1821.217,1829.168,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T037.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T037.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T037.csv
