participant,block,trial,tracked,time_ms,phase,pos_x,pos_y,pos_z
d3-003,1,17,Wrist,0.0000,startbuffer,0.2764,0.8359,-0.8343
d3-003,1,17,Wrist,5.9838,startbuffer,0.2754,0.8361,-0.8331
d3-003,1,17,Wrist,11.9676,startbuffer,0.2754,0.8361,-0.8331
d3-003,1,17,Wrist,17.9515,startbuffer,0.2753,0.8361,-0.8331
d3-003,1,17,Wrist,23.9360,startbuffer,0.2754,0.8361,-0.8331
d3-003,1,17,Wrist,29.9203,startbuffer,0.2754,0.8361,-0.8331
d3-003,1,17,Wrist,35.9037,startbuffer,0.2752,0.8363,-0.8328
d3-003,1,17,Wrist,41.8883,startbuffer,0.2751,0.8363,-0.8328
d3-003,1,17,Wrist,47.8717,startbuffer,0.2751,0.8361,-0.8330
d3-003,1,17,Wrist,53.8562,startbuffer,0.2751,0.8361,-0.8330
d3-003,1,17,Wrist,59.8399,startbuffer,0.2752,0.8362,-0.8328
d3-003,1,17,Wrist,65.8239,begin,0.2752,0.8363,-0.8327
d3-003,1,17,Wrist,71.3498,begin,0.2740,0.8353,-0.8320
d3-003,1,17,Wrist,77.3340,begin,0.2741,0.8351,-0.8320
d3-003,1,17,Wrist,82.9400,begin,0.2741,0.8353,-0.8320
d3-003,1,17,Wrist,88.9239,begin,0.2741,0.8353,-0.8318
d3-003,1,17,Wrist,93.9106,begin,0.2741,0.8353,-0.8318
d3-003,1,17,Wrist,99.8946,begin,0.2741,0.8353,-0.8318
d3-003,1,17,Wrist,105.8787,begin,0.2741,0.8353,-0.8318
d3-003,1,17,Wrist,111.8634,begin,0.2738,0.8353,-0.8318
d3-003,1,17,Wrist,117.8465,begin,0.2738,0.8353,-0.8318
d3-003,1,17,Wrist,123.3383,begin,0.2738,0.8353,-0.8318
d3-003,1,17,Wrist,129.3224,begin,0.2741,0.8351,-0.8320
d3-003,1,17,Wrist,135.3065,begin,0.2741,0.8351,-0.8320
d3-003,1,17,Wrist,141.2911,begin,0.2741,0.8353,-0.8318
d3-003,1,17,Wrist,147.2751,begin,0.2741,0.8353,-0.8318
d3-003,1,17,Wrist,152.2988,begin,0.2740,0.8353,-0.8318
d3-003,1,17,Wrist,158.2827,begin,0.2741,0.8353,-0.8318
d3-003,1,17,Wrist,164.2674,begin,0.2741,0.8353,-0.8318
d3-003,1,17,Wrist,170.2611,begin,0.2738,0.8353,-0.8317
d3-003,1,17,Wrist,176.2374,begin,0.2738,0.8353,-0.8317
d3-003,1,17,Wrist,182.2219,begin,0.2738,0.8351,-0.8319
d3-003,1,17,Wrist,188.2060,begin,0.2738,0.8351,-0.8319
d3-003,1,17,Wrist,194.0350,begin,0.2737,0.8355,-0.8318
d3-003,1,17,Wrist,200.0196,begin,0.2737,0.8355,-0.8318
d3-003,1,17,Wrist,206.0033,begin,0.2739,0.8353,-0.8321
d3-003,1,17,Wrist,211.9875,begin,0.2740,0.8353,-0.8321
d3-003,1,17,Wrist,217.9709,begin,0.2739,0.8354,-0.8319
d3-003,1,17,Wrist,223.9553,begin,0.2737,0.8355,-0.8318
d3-003,1,17,Wrist,229.9393,begin,0.2739,0.8355,-0.8319
d3-003,1,17,Wrist,235.9238,begin,0.2740,0.8355,-0.8319
d3-003,1,17,Wrist,241.9068,begin,0.2740,0.8355,-0.8319
d3-003,1,17,Wrist,247.8915,begin,0.2737,0.8355,-0.8318
d3-003,1,17,Wrist,253.8752,begin,0.2737,0.8355,-0.8318
d3-003,1,17,Wrist,259.8594,begin,0.2736,0.8353,-0.8320
d3-003,1,17,Wrist,265.8434,begin,0.2736,0.8353,-0.8320
d3-003,1,17,Wrist,271.0255,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,276.9997,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,282.9848,begin,0.2738,0.8353,-0.8320
d3-003,1,17,Wrist,288.9679,begin,0.2739,0.8353,-0.8321
d3-003,1,17,Wrist,294.9526,begin,0.2739,0.8353,-0.8321
d3-003,1,17,Wrist,300.9359,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,306.9203,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,312.9041,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,318.8885,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,324.8723,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,330.8562,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,336.8402,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,342.8243,begin,0.2737,0.8351,-0.8319
d3-003,1,17,Wrist,348.8083,begin,0.2737,0.8351,-0.8319
d3-003,1,17,Wrist,354.3473,begin,0.2736,0.8355,-0.8317
d3-003,1,17,Wrist,359.9092,begin,0.2736,0.8355,-0.8317
d3-003,1,17,Wrist,365.8953,begin,0.2738,0.8355,-0.8318
d3-003,1,17,Wrist,371.8792,begin,0.2739,0.8354,-0.8318
d3-003,1,17,Wrist,377.8633,begin,0.2738,0.8354,-0.8318
d3-003,1,17,Wrist,383.8478,begin,0.2739,0.8355,-0.8318
d3-003,1,17,Wrist,389.8307,begin,0.2739,0.8355,-0.8318
d3-003,1,17,Wrist,394.9531,begin,0.2739,0.8355,-0.8318
d3-003,1,17,Wrist,400.9364,begin,0.2739,0.8355,-0.8318
d3-003,1,17,Wrist,406.9209,begin,0.2736,0.8355,-0.8317
d3-003,1,17,Wrist,412.0426,begin,0.2736,0.8355,-0.8317
d3-003,1,17,Wrist,418.0266,begin,0.2738,0.8353,-0.8320
d3-003,1,17,Wrist,424.0107,begin,0.2738,0.8353,-0.8320
d3-003,1,17,Wrist,429.9949,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,435.9787,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,441.9626,begin,0.2736,0.8355,-0.8318
d3-003,1,17,Wrist,447.9466,begin,0.2738,0.8355,-0.8318
d3-003,1,17,Wrist,453.9303,begin,0.2738,0.8355,-0.8318
d3-003,1,17,Wrist,460.1001,begin,0.2738,0.8355,-0.8318
d3-003,1,17,Wrist,466.0667,begin,0.2738,0.8355,-0.8318
d3-003,1,17,Wrist,472.0539,begin,0.2738,0.8355,-0.8318
d3-003,1,17,Wrist,478.0376,begin,0.2738,0.8355,-0.8318
d3-003,1,17,Wrist,484.0218,begin,0.2735,0.8355,-0.8317
d3-003,1,17,Wrist,490.0053,begin,0.2735,0.8355,-0.8317
d3-003,1,17,Wrist,495.9899,begin,0.2739,0.8352,-0.8318
