experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-007,1,1,1,1,339.3504,342.4908,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T001.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T001.csv,,,,,,,,
3_avatartooluse,d3-007,1,2,1,2,351.7129,359.6823,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T002.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T002.csv,,,,,,,,
3_avatartooluse,d3-007,1,3,1,3,363.7171,368.6549,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T003.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T003.csv,,,,,,,,
3_avatartooluse,d3-007,1,4,1,4,372.6886,381.5421,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T004.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T004.csv,,,,,,,,
3_avatartooluse,d3-007,1,5,1,5,385.5753,387.1255,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T005.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T005.csv,,,,,,,,
3_avatartooluse,d3-007,1,6,1,6,391.1618,394.9745,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T006.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T006.csv,,,,,,,,
3_avatartooluse,d3-007,1,7,1,7,399.0027,405.4888,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T007.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T007.csv,,,,,,,,
3_avatartooluse,d3-007,1,8,1,8,409.537,410.3589,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T008.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T008.csv,,,,,,,,
3_avatartooluse,d3-007,1,9,1,9,414.3794,418.1272,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T009.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T009.csv,,,,,,,,
3_avatartooluse,d3-007,1,10,1,10,422.1682,430.4391,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T010.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T010.csv,,,,,,,,
3_avatartooluse,d3-007,1,11,1,11,434.47,438.4401,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T011.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T011.csv,,,,,,,,
3_avatartooluse,d3-007,1,12,1,12,451.0063,456.9145,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T012.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T012.csv,,,,,,,,
3_avatartooluse,d3-007,1,13,1,13,460.9493,462.6393,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T013.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T013.csv,,,,,,,,
3_avatartooluse,d3-007,1,14,1,14,466.6883,472.774,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T014.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T014.csv,,,,,,,,
3_avatartooluse,d3-007,1,15,1,15,476.8017,478.0394,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T015.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T015.csv,,,,,,,,
3_avatartooluse,d3-007,1,16,1,16,482.0749,484.0614,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T016.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T016.csv,,,,,,,,
3_avatartooluse,d3-007,1,17,1,17,488.0942,489.6245,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T017.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T017.csv,,,,,,,,
3_avatartooluse,d3-007,1,18,1,18,493.6538,499.7484,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_estimates_T018.csv,3_avatartooluse/d3-007/S001/trackers/landmark/landmark_gaze_data_T018.csv,,,,,,,,
3_avatartooluse,d3-007,1,19,2,1,669.7597,681.4184,,,3_avatartooluse/d3-007/S001/trackers/manual_reach/manual_reach_gaze_data_T019.csv,3_avatartooluse/d3-007/S001/trackers/manual_reach/manual_reach_vrpn_movement_T019.csv,3_avatartooluse/d3-007/S001/trackers/manual_reach/manual_reach_openvr_movement_steamvr_T019.csv,3_avatartooluse/d3-007/S001/trackers/manual_reach/manual_reach_manus_movement_manus_Bip01 R Hand_T019.csv,,,,
